Species,Compatibility,Reference_compatibility_level,Aut_selfing_qualitative,Average_fruits,Average_seeds
Anemonoides sylvestris,Partially_self_compatible,https://doi.org/10.1007/BF01086381,low,13,NA
Asarum caudatum,Self_compatible,https://doi.org/10.2307/2418323,high,88,NA
Betonica officinalis,Self_compatible,https://www.jstor.org/stable/40606653,low,13,NA
Cyclamen coum,Self_compatible,Bot_garden,high,88,NA
Hepatica nobilis,Self_compatible,"Kameoka et al., 2019 Bull. Natl. Mus. Nat. Sci., Ser. B, 45(1), pp. 17–27; https://naturalist-club.org/wp-content/uploads/2017/02/Hepatica-Hepatica-nobilis.pdf",high,88,NA
Origanum vulgare,Self_compatible,https://doi.org/10.1371/journal.pone.0067255,low,13,NA
Puschkinia scilloides,Partially_self_compatible,https://doi.org/10.1111/evo.13501,low,13,NA
Trillium sessile,Self_compatible,https://doi.org/10.1111/j.1442-1984.1990.tb00194.x,high,88,NA
Vincetoxicum hirundinaria,Self_compatible,https://doi.org/10.1093/aob/mcr174,high,88,NA
Achillea millefolium,Self_incompatible,Bot_garden,none,0,0
Aconitum lycoctonum,Self_compatible,http://dx.doi.org/10.1034/j.1600-0706.2000.890305.x,none,0,0
Allium ursinum,Self_compatible,https://doi.org/10.1556/abot.53.2011.3-4.18,none,0,0
Anemone hupehensis,Self_incompatible,https://doi.org/10.1007/BF01086381; https://doi.org/10.1002/j.1537-2197.1994.tb15449.x;,none,0,0
Anemonoides nemorosa,Self_incompatible,https://doi.org/10.1111/plb.13702,none,0,0
Anthericum ramosum,Self_compatible,https://doi.org/10.1034/j.1600-0706.2001.920117.x,low,0.06349206349206349,0.23809523809523805
Aquilegia chrysantha,Self_compatible,https://doi.org/10.1086/733068,medium,0.5333333333333333,2.733333333333333
Asphodelus albus,Self_compatible,https://doi.org/10.1111/j.1469-8137.1993.tb04542.x,none,0,0
Bergenia purpurascens,Self_incompatible,https://doi.org/10.2307/4117326,none,0,0
Brunnera macrophylla,Self_incompatible,https://doi.org/10.1093/aob/mcl167,none,0,0
Caltha palustris,Partially_self_compatible,https://doi.org/10.1111/j.1601-5223.1992.tb00168.x,medium,0.6,7.8
Campanula rotundifolia,Self_incompatible,https://doi.org/10.1111/j.1365-2745.2012.01963.x,none,0,0
Centranthus ruber,Self_compatible,https://doi.org/10.1111/j.1442-1984.2010.00280.x,low,0.12380952380952409,0.12380952380952409
Chelidonium majus,Self_compatible,https://doi.org/10.1002/j.1537-2197.1991.tb12595.x,high,0.8333333333333334,19.666666666666668
Clematis integrifolia,Self_compatible,https://www.jstor.org/stable/24333229,low,0.23529411764705876,0.11764705882352938
Clematis recta,Self_compatible,Bot_garden,low,0.19999999999999993,0.6000000000000002
Convallaria majalis,Self_incompatible,https://doi.org/10.1093/aob/mcq042,none,0,0
Coronilla varia,Partially_self_compatible,https://doi.org/10.2135/cropsci1973.0011183X001300030005x,none,0,0
Dianthus carthusianorum,Self_compatible,https://doi.org/10.1111/j.1469-8137.2006.01653.x,low,0.20000000000000004,1.5
Dictamnus albus,Self_compatible,https://hdl.handle.net/11585/110590,none,0,0
Dryas octopetala,Self_compatible,https://doi.org/10.2307/2258146,high,0.8,23
Fragaria vesca,Self_compatible,https://doi.org/10.1007/s00425-011-1562-1,none,0,0
Fuchsia magellanica,Self_compatible,https://doi.org/10.1046/j.1365-2435.1998.00212.x,none,0,0
Galega officinalis,Self_incompatible,https://doi.org/10.1139/cjps-2020-0327,none,0,0
Genista tinctoria,Self_incompatible,https://doi.org/10.1016/j.flora.2010.05.004,none,0,0
Geranium sanguineum,Self_compatible,https://doi.org/10.1111/j.1756-1051.2000.tb01556.x,none,0,0
Geum rivale,Self_compatible,https://doi.org/10.1111/mec.14426,low,0.10000000000000002,1.6000000000000003
Gratiola officinalis,Self_incompatible,https://doi.org/10.1186/s12870-015-0497-2,none,0,0
Helianthemum nummularium,Self_incompatible,https://doi.org/10.1007/s00606-015-1198-x,none,0,0
Helleborus foetidus,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,0.5714285714285714,8
Hemerocallis dumortieri,Self_incompatible,Bot_garden,none,0,0
Hemerocallis fulva,Self_incompatible,https://www.jstor.org/stable/40596351,none,0,0
Hypericum olympicum,Self_compatible,Bot_garden,low,0.049999999999999996,7.199999999999999
Hypericum perforatum,Self_compatible,https://doi.org/10.1186/s12864-015-1439-y,high,0.8333333333333334,16.88888888888889
Iberis sempervirens,Self_incompatible,Bot_garden,none,0,0
Lamium album,Self_compatible,https://doi.org/10.5091/plecevo.2021.1642,none,0,0
Lathyrus vernus,Self_compatible,https://doi.org/10.2307/3545307,none,0,0
Lavandula angustifolia,Partially_self_compatible,https://peercommunityjournal.org/articles/10.24072/pcjournal.1/,none,0,0
Leucanthemum vulgare,Self_incompatible,https://doi.org/10.3732/ajb.0800087,none,0,0
Linum perenne,Self_compatible,Bot_garden,high,1,5.933333333333334
Lotus corniculatus,Self_incompatible,https://doi.org/10.1139/b80-091,none,0,0
Lotus maritimus,Partially_self_compatible,https://doi.org/10.1139/b58-006; https://api.semanticscholar.org/CorpusID:54577419,none,0,0
Menyanthes trifoliata,Self_incompatible,https://doi.org/10.1111/j.1095-8339.1989.tb01726.x,none,0,0
Narcissus pseudonarcissus,Self_incompatible,https://doi.org/10.1038/sj.hdy.6800441,none,0,0
Oxalis acetosella,Self_compatible,https://doi.org/10.1016/S1146-609X(00)00118-1,none,0,0
Paeonia delavayi,Self_incompatible,https://doi.org/10.1007/s11629-016-4030-3,none,0,0
Paeonia officinalis,Partially_self_compatible,https://doi.org/10.1007/s00442-007-0662-x,low,1,8.333333333333334
Penstemon grandiflorus,Self_compatible,https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.93.11.1699; https://doi.org/10.3389/fevo.2019.00299; https://doi.org/10.3732/ajb.94.10.1594,medium,0.5714285714285714,1.357142857142857
Persicaria bistorta,Self_compatible,https://doi.org/10.2307/2256567,low,0.25,0.25
Platycodon grandiflorus,Self_compatible,Bot_garden,high,0.8095238095238095,48.80952380952381
Primula denticulata,Self_incompatible,Bot_garden,none,0,0
Primula veris,Self_incompatible,Bot_garden,none,0,0
Psephellus dealbatus,Self_incompatible,Bot_garden,none,0,0
Pulsatilla vulgaris,Self_compatible,https://doi.org/10.2307/2258467,none,0,0
Salvia officinalis,Self_compatible,http://dx.doi.org/10.1080/14620316.2001.11511349,none,0,0
Salvia pratensis,Self_compatible,https://doi.org/10.1111/1365-2745.13805,none,0,0
Saponaria officinalis,Self_compatible,https://doi.org/10.1111/j.1438-8677.1996.tb00579.x,medium,0.7666666666666667,7.133333333333334
Scabiosa ochroleuca,Self_compatible,https://doi.org/10.1002/ece3.8501,none,0,0
Scopolia carniolica,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0
Silene coronaria,Self_compatible,Bot_garden,high,1,65.8
Silene nutans,Self_compatible,https://doi.org/10.1086/647916,none,0,0
Silene viscaria,Self_compatible,https://doi.org/10.1093/aob/mcv078,none,0,0
Silene vulgaris,Self_compatible,https://doi.org/10.1016/j.ecolind.2017.04.030,none,0,0
Solanum dulcamara,Self_compatible,https://doi.org/10.1007/BF00241885,medium,0.39999999999999997,3.239999999999999
Tanacetum vulgare,Self_incompatible,Bot_garden,none,0,0
Tulipa sylvestris,Self_incompatible,Bot_garden,none,0,0
Tussilago farfara,Self_incompatible,https://doi.org/10.1127/0006-8152/2003/0124-0273,none,0,0
