Accepted_name
Cyclamen coum
Tussilago farfara
Helleborus foetidus
Scopolia carniolica
Vinca minor
Scopolia carniolica
Viola odorata
Puschkinia scilloides
Hepatica nobilis
Primula denticulata
Pulsatilla vulgaris
Iberis sempervirens
Narcissus pseudonarcissus
Lathyrus vernus
Anemonoides nemorosa
Primula veris
Caltha palustris
Tulipa sylvestris
Trillium sessile
Oxalis acetosella
Silene viscaria
Lamium album
Fragaria vesca
Bergenia purpurascens
Geum rivale
Dryas octopetala
Asarum caudatum
Brunnera macrophylla
Paeonia officinalis
Menyanthes trifoliata
Aquilegia chrysantha
Allium ursinum
Anemonoides sylvestris
Paeonia delavayi
Chelidonium majus
Asphodelus albus
Linum perenne
Geranium sanguineum
Convallaria majalis
Aconitum lycoctonum
Dictamnus albus
Persicaria bistorta
Vincetoxicum hirundinaria
Helianthemum nummularium
Salvia officinalis
Lotus corniculatus
Campanula rotundifolia
Lotus maritimus
Gratiola officinalis
Solanum dulcamara
Hemerocallis dumortieri
Silene vulgaris
Penstemon grandiflorus
Psephellus dealbatus
Centranthus ruber
Silene nutans
Hypericum perforatum
Hypericum olympicum
Clematis recta
Salvia pratensis
Silene coronaria
Genista tinctoria
Fuchsia magellanica
Hemerocallis fulva
Dianthus carthusianorum
Anthericum ramosum
Saponaria officinalis
Coronilla varia
Clematis integrifolia
Lavandula angustifolia
Anemone hupehensis
Galega officinalis
Platycodon grandiflorus
Betonica officinalis
Origanum vulgare

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































