Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Menyanthes trifoliata;Halle;Men_tri_Hal;2019;93;100;114;114;80;135;21;163;163;184;330;100;330
Menyanthes trifoliata;Leipzig;Men_tri_Lei;2019;37;NA;107;120;NA;135;28;163;NA;219;240;NA;NA
Menyanthes trifoliata;Jena;Men_tri_Jen;2019;100;100;NA;NA;NA;NA;NA;NA;NA;296;332;95;332
Mercurialis perennis;Jena;Mer_per_Jen;2019;72;72;170;170;5;170;0;NA;NA;NA;NA;NA;NA
Myriophyllum aquaticum;Leipzig;Myr_aqu_Lei;2019;NA;170;NA;NA;NA;NA;NA;NA;NA;247;338;NA;NA
Narcissus pseudonarcissus;Halle;Nar_pse_Hal;2019;NA;93;79;86;100;86;7;NA;NA;128;170;100;184
Oenothera biennis;Jena;Oen_bie_Jen;2019;80;80;164;164;50;324;160;254;324;282;310;50;332
Oenothera fruticosa;Halle;Oen_fru_Hal;2019;58;72;163;163;70;177;14;226;247;184;282;75;303
Oenothera macrocarpa;Halle;Oen_mac_Hal;2019;93;114;163;177;80;275;112;NA;NA;247;324;95;330
Oxalis acetosella;Halle;Oxa_ace_Hal;2019;NA;93;79;86;100;122;43;156;296;198;345;75;352
Paeonia daurica;Halle;Pae_dau_Hal;2019;107;114;NA;NA;NA;NA;NA;NA;NA;191;275;100;282
Paeonia daurica;Jena;Pae_dau_Jen;2019;65;80;115;128;25;128;13;205;219;219;282;100;317
Paeonia daurica subsp. mlokosewitschii;Jena;Pae_dau_mlo_Jen;2019;65;80;115;128;95;128;13;205;296;219;303;95;317
Paeonia daurica subsp. tomentosa;Halle;Pae_dau_tom_Hal;2019;NA;289;114;114;95;122;8;191;226;198;275;99;289
Paeonia delavayi;Halle;Pae_del_Hal;2019;86;93;93;93;80;149;56;254;289;220;330;100;330
Paeonia officinalis;Leipzig;Pae_off_Lei;2019;16;NA;NA;128;NA;142;NA;163;NA;212;219;NA;NA
Paeonia officinalis;Jena;Pae_off_Jen;2019;72;80;120;128;75;135;15;205;288;219;310;75;332
Paeonia officinalis;Halle;Pae_off_Hal;2019;79;107;122;135;100;198;76;205;226;184;220;80;226
Paeonia peregrina;Halle;Pae_per_Hal;2019;45;86;128;135;100;135;7;205;226;177;262;100;345
Paeonia peregrina;Leipzig;Pae_per_Lei;2019;16;NA;NA;NA;NA;149;NA;163;NA;212;219;NA;NA
Paeonia peregrina;Jena;Pae_per_Jen;2019;80;100;120;135;75;142;22;205;288;219;317;100;317
Penstemon grandiflorus;Leipzig;Pen_gra_Lei;2019;72;100;NA;156;NA;184;NA;177;NA;247;268;NA;NA
Petasites hybridus;Jena;Pet_hyb_Jen;2019;80;80;65;86;95;107;42;NA;NA;212;282;75;332
Phlomis russeliana;Halle;Phl_rus_Hal;2019;NA;79;156;163;100;282;126;191;268;177;330;75;352
Phlomis russeliana;Jena;Phl_rus_Jen;2019;45;80;156;170;75;205;49;219;353;282;282;25;353
Plantago lanceolata;Jena;Pla_lan_Jen;2019;17;115;156;156;50;288;132;219;288;192;198;50;353
Plantago lanceolata;Halle;Pla_lan_Hal;2019;45;65;135;156;70;254;119;170;289;191;268;75;352
Plantago lanceolata;Leipzig;Pla_lan_Lei;2019;37;149;NA;170;NA;191;NA;191;NA;254;268;NA;NA
Platycodon grandiflorus;Halle;Pla_gra_Hal;2019;86;122;177;184;80;233;56;240;289;220;289;100;289
Podophyllum peltatum;Leipzig;Pod_pel_Lei;2019;16;100;NA;135;NA;142;NA;NA;NA;156;163;NA;NA
Podophyllum peltatum;Halle;Pod_pel_Hal;2019;72;93;122;128;100;149;27;NA;NA;177;268;100;268
Polygonatum multiflorum;Halle;Pol_mul_Hal;2019;79;107;135;149;90;149;14;233;324;268;296;100;324
Polygonatum multiflorum;Jena;Pol_mul_Jen;2019;100;100;142;156;25;170;28;212;310;240;317;100;338
Polygonatum verticillatum;Leipzig;Pol_ver_Lei;2019;93;107;120;135;NA;149;29;198;NA;254;303;NA;NA
Primula denticulata;Halle;Pri_den_Hal;2019;65;72;79;86;100;114;35;128;163;184;324;95;330
Primula denticulata;Leipzig;Pri_den_Lei;2019;65;NA;NA;100;NA;120;NA;NA;NA;219;310;NA;NA
Primula denticulata;Jena;Pri_den_Jen;2019;17;219;58;86;95;128;70;135;142;219;346;100;346
Primula veris;Jena;Pri_ver_Jen;2019;17;30;100;107;95;254;154;177;198;185;338;50;353
Primula veris;Halle;Pri_ver_Hal;2019;45;65;72;107;60;135;63;156;156;149;220;80;317
Primula acaulis;Jena;Pri_aca_Jen;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Primula acaulis;Halle;Pri_aca_Hal;2019;NA;122;45;86;100;352;307;NA;NA;163;275;80;352
Prunella grandiflora;Jena;Pru_gra_Jen;2019;58;65;164;177;75;332;168;219;353;282;310;95;353
Prunella grandiflora;Halle;Pru_gra_Hal;2019;51;72;156;163;80;324;168;184;289;184;275;50;352
Prunella grandiflora;Leipzig;Pru_gra_Lei;2019;37;86;163;177;NA;191;28;191;NA;247;323;NA;NA
Prunella vulgaris;Jena;Pru_vul_Jen;2019;65;65;170;192;25;233;63;212;233;226;261;95;353
Puschkinia scilloides;Halle;Pus_sci_Hal;2019;NA;NA;79;79;90;100;21;NA;NA;114;149;100;156
Ranunculus acris;Jena;Ran_acr_Jen;2019;30;17;115;156;75;338;223;164;317;192;353;75;353
Ranunculus acris;Halle;Ran_acr_Hal;2019;NA;37;114;122;50;198;84;191;191;177;345;95;352
Ranunculus lanuginosus;Jena;Ran_lan_Jen;2019;17;30;107;115;95;156;49;142;164;185;353;75;353
Rheum palmatum;Jena;Rhe_pal_Jen;2019;100;93;NA;NA;NA;NA;NA;NA;NA;185;240;100;282
Rheum rhabarbarum;Jena;Rhe_rha_Jen;2019;45;86;120;135;100;156;36;NA;NA;192;296;50;317
Roscoea purpurea;Leipzig;Ros_pur_Lei;2019;NA;170;191;205;NA;226;35;NA;NA;240;268;NA;NA
Rubus chamaemorus;Jena;Rub_cha_Jen;2019;100;100;128;128;5;142;14;NA;NA;212;212;5;226
Rumex acetosa;Jena;Rum_ace_Jen;2019;17;17;120;135;95;205;85;149;226;233;332;100;346
Salvia amplexicaulis;Leipzig;Sal_amp_Lei;2019;51;93;NA;184;NA;191;NA;191;NA;268;283;NA;NA
Salvia nemorosa;Jena;Sal_nem_Jen;2019;17;30;170;170;50;267;97;192;338;254;338;95;338
Salvia officinalis;Leipzig;Sal_off_Lei;2019;72;100;142;149;NA;170;28;177;NA;268;317;NA;NA
Salvia officinalis;Jena;Sal_off_Jen;2019;17;17;149;156;50;332;183;192;353;288;324;25;353
Salvia officinalis;Halle;Sal_off_Hal;2019;65;65;135;149;100;212;77;170;191;184;220;80;352
Saponaria officinalis;Halle;Sap_off_Hal;2019;45;79;177;191;95;275;98;220;268;220;275;60;296
Saponaria officinalis;Jena;Sap_off_Jen;2019;65;37;177;192;75;267;90;226;261;254;254;25;254
Saponaria officinalis;Leipzig;Sap_off_Lei;2019;58;100;NA;NA;NA;NA;NA;NA;NA;226;310;NA;NA
Saxifraga paniculata;Jena;Sax_pan_Jen;2019;115;120;128;142;95;156;28;177;192;282;296;50;353
Saxifraga paniculata;Halle;Sax_pan_Hal;2019;45;65;135;156;95;163;28;170;198;184;289;15;352
Saxifraga paniculata;Leipzig;Sax_pan_Lei;2019;51;NA;NA;156;NA;184;NA;191;NA;226;NA;NA;NA
Saxifraga rotundifolia;Halle;Sax_rot_Hal;2019;NA;79;114;135;95;163;49;184;240;184;247;25;324
Scabiosa ochroleuca;Leipzig;Sca_och_Lei;2019;72;100;198;212;NA;310;112;240;NA;283;310;NA;NA
Scopolia carniolica;Jena;Sco_car_Jen;2019;72;72;100;NA;NA;107;7;NA;NA;164;177;100;185
Scopolia carniolica;Halle;Sco_car_Hal;2019;NA;NA;79;86;90;163;84;NA;NA;156;226;100;233
Scopolia carniolica;Leipzig;Sco_car_Lei;2019;72;NA;NA;93;NA;113;NA;NA;NA;170;177;NA;NA
Securigera varia;Halle;Sec_var_Hal;2019;51;58;163;170;95;205;42;212;226;177;275;95;352
