Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Dryas octopetala;Leipzig;Dry_oct_Lei;2019;51;93;NA;128;NA;142;NA;NA;NA;283;310;NA;NA
Dryas octopetala;Halle;Dry_oct_Hal;2019;23;65;114;122;100;233;119;163;296;191;317;50;324
Epilobium angustifolium;Halle;Epi_ang_Hal;2019;93;100;163;177;90;240;77;198;268;184;268;100;275
Epilobium angustifolium;Jena;Epi_ang_Jen;2019;72;86;164;170;50;261;97;212;282;282;296;75;296
Eranthis hyemalis;Jena;Era_hye_Jen;2019;30;37;37;51;100;72;35;115;128;120;135;100;288
Eranthis hyemalis;Halle;Era_hye_Hal;2019;NA;65;37;72;90;65;28;114;198;114;135;100;135
Eranthis hyemalis;Leipzig;Era_hye_Lei;2019;NA;30;30;37;NA;72;42;NA;NA;NA;113;NA;NA
Erica tetralix;Jena;Eri_tet_Jen;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;346;346;50;346
Eryngium campestre;Leipzig;Ery_cam_Lei;2019;100;128;212;226;NA;240;28;240;NA;226;NA;NA;NA
Eryngium campestre;Halle;Ery_cam_Hal;2019;100;79;NA;NA;NA;NA;NA;NA;NA;220;275;100;345
Eryngium maritimum;Halle;Ery_mar_Hal;2019;86;93;170;205;20;310;140;220;310;220;345;100;345
Eupatorium cannabinum;Jena;Eup_can_Jen;2019;37;93;198;212;75;233;35;226;288;240;338;100;338
Eupatorium cannabinum;Leipzig;Eup_can_Lei;2019;NA;128;184;198;NA;NA;NA;205;NA;247;283;NA;NA
Eupatorium cannabinum;Halle;Eup_can_Hal;2019;93;93;177;184;80;212;35;220;268;233;282;75;296
Filipendula vulgaris;Leipzig;Fil_vul_Lei;2019;37;93;142;149;NA;170;28;170;NA;219;296;NA;NA
Fragaria vesca;Halle;Fra_ves_Hal;2019;58;65;86;128;80;275;189;NA;NA;198;296;25;352
Fragaria vesca;Leipzig;Fra_ves_Lei;2019;51;93;NA;120;NA;NA;NA;149;NA;184;283;NA;NA
Fragaria vesca;Jena;Fra_ves_Jen;2019;37;51;128;135;50;261;133;261;261;240;353;75;353
Fuchsia magellanica;Jena;Fuc_mag_Jen;2019;NA;NA;NA;212;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fuchsia magellanica;Halle;Fuc_mag_Hal;2019;93;114;177;212;100;296;119;NA;NA;254;275;5;296
Galanthus ikariae;Halle;Gal_ika_Hal;2019;NA;NA;37;51;50;58;21;NA;NA;114;142;100;163
Galanthus nivalis;Jena;Gal_niv_Jen;2019;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Galanthus nivalis;Halle;Gal_niv_Hal;2019;345;324;65;65;70;65;0;114;135;114;135;20;135
Galanthus nivalis;Leipzig;Gal_niv_Lei;2019;16;37;44;51;NA;79;35;NA;NA;120;128;NA;NA
Galanthus plicatus;Halle;Gal_pli_Hal;2019;NA;93;NA;NA;NA;NA;NA;NA;NA;114;149;100;163
Galega officinalis;Jena;Gal_off_Jen;2019;17;17;164;177;75;261;97;233;353;282;346;95;353
Galega officinalis;Halle;Gal_off_Hal;2019;45;72;163;177;95;262;99;198;296;191;282;75;303
Galium mollugo;Leipzig;Gal_mol_Lei;2019;NA;93;149;163;NA;184;35;191;NA;323;338;NA;NA
Galium odoratum;Halle;Gal_odo_Hal;2019;NA;79;107;122;90;163;56;184;268;184;330;95;352
Gaultheria shallon;Leipzig;Gau_sha_Lei;2019;16;NA;135;149;NA;170;35;191;NA;261;NA;NA;NA
Gaultheria shallon;Jena;Gau_sha_Jen;2019;142;142;149;164;75;288;139;212;296;282;296;50;353
Genista tinctoria;Leipzig;Gen_tin_Lei;2019;58;93;NA;156;NA;184;NA;198;NA;219;247;NA;NA
Genista tinctoria;Halle;Gen_tin_Hal;2019;45;72;163;177;95;233;70;198;240;184;352;50;352
Genista tinctoria;Jena;Gen_tin_Jen;2019;72;86;NA;NA;NA;NA;NA;288;288;282;282;100;353
Gentiana cruciata;Jena;Gen_cru_Jen;2019;17;93;192;212;10;219;27;240;353;254;338;100;353
Gentiana lutea;Jena;Gen_lut_Jen;2019;17;93;NA;NA;NA;NA;NA;NA;NA;212;353;95;353
Gentiana lutea;Leipzig;Gen_lut_Lei;2019;65;113;NA;NA;NA;NA;NA;NA;NA;205;247;NA;NA
Gentiana tibetica;Leipzig;Gen_tib_Lei;2019;65;100;NA;NA;NA;NA;NA;NA;NA;247;296;NA;NA
Geranium sanguineum;Jena;Ger_san_Jen;2019;65;72;128;142;75;205;77;NA;NA;212;296;75;353
Geranium sanguineum;Leipzig;Ger_san_Lei;2019;51;93;120;142;NA;170;50;177;NA;247;268;NA;NA
Geum rivale;Jena;Geu_riv_Jen;2019;100;17;115;120;95;142;27;142;288;192;303;50;353
Geum rivale;Halle;Geu_riv_Hal;2019;45;65;107;122;80;149;42;156;198;184;345;75;352
Geum rivale;Leipzig;Geu_riv_Lei;2019;44;93;107;120;NA;149;42;156;NA;191;219;NA;NA
Geum urbanum;Halle;Geu_urb_Hal;2019;NA;79;135;149;30;170;35;177;254;184;247;50;352
Globularia cordifolia;Jena;Glo_cor_Jen;2019;37;24;115;128;75;156;41;NA;NA;296;310;25;353
Globularia cordifolia;Halle;Glo_cor_Hal;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Globularia cordifolia;Leipzig;Glo_cor_Lei;2019;72;100;NA;128;NA;149;NA;163;NA;296;283;NA;NA
Glycyrrhiza glabra;Jena;Gly_gla_Jen;2019;100;100;170;177;25;185;15;233;317;282;303;75;317
Glycyrrhiza glabra;Halle;Gly_gla_Hal;2019;86;114;163;177;95;184;21;191;303;184;296;25;303
Gratiola officinalis;Jena;Gra_off_Jen;2019;93;100;156;164;75;226;70;233;296;247;303;95;332
Gratiola officinalis;Halle;Gra_off_Hal;2019;45;107;149;149;90;233;84;220;268;184;289;100;289
Gunnera manicata;Halle;Gun_man_Hal;2019;93;107;135;156;100;156;21;275;310;205;310;50;310
Gunnera manicata;Leipzig;Gun_man_Lei;2019;93;NA;128;142;NA;191;63;NA;NA;290;NA;NA;NA
Gunnera manicata;Jena;Gun_man_Jen;2019;296;NA;NA;NA;NA;NA;NA;288;296;296;296;5;296
Helianthemum nummularium;Jena;Hel_num_Jen;2019;45;45;128;149;50;332;204;177;353;296;353;75;353
Helianthemum nummularium;Halle;Hel_num_Hal;2019;79;86;122;156;80;310;188;177;310;184;262;50;352
Helianthemum nummularium;Leipzig;Hel_num_Lei;2019;37;86;120;135;NA;170;50;170;NA;317;NA;NA;NA
Helichrysum arenarium;Jena;Hel_are_Jen;2019;72;72;185;185;75;338;153;NA;NA;288;303;25;353
Helleborus niger;Leipzig;Hel_nig_Lei;2019;37;58;NA;NA;NA;NA;NA;NA;NA;226;247;NA;NA
Helleborus niger;Jena;Hel_nig_Jen;2019;51;30;30;30;50;346;316;NA;NA;288;310;25;353
Helleborus orientalis;Halle;Hel_ori_Hal;2019;NA;107;45;79;100;100;55;156;163;114;310;75;310
Helleborus orientalis;Jena;Hel_ori_Jen;2019;80;80;51;65;95;120;69;149;164;310;353;25;353
