Species,Botanic_Garden,Species_ID,mean_Leaf_area_one_leaf_mm2,mean_SLA_mm2_mg,mean_LDMC_mg_g,mean_veg_height_cm,mean_gen_height_cm,mean_stomataldensity_number_mm,mean_stomatallength_mikrom,mean_stomatalwidth_mikrom,mean_weight_per_seed_mg,mean_CN_ratio
Achillea millefolium,Halle,Ach_mil_Hal,1735.457,13.75754559,81.9935065,90.2,93.2,46.72709063,20.9421875,10.034375,2.81,11.73
Achillea millefolium,Jena,Ach_mil_Jen,148.50625,18.717,209.185,54.11111111,58.33333333,NA,NA,NA,0.252,12.91
Aconitum lycoctonum,Halle,Aco_lyc_Hal,NA,20.84,160.64,27.1,32.6,36.74376,23.57,12.84,2.8,NA
Aconitum lycoctonum,Jena,Aco_lyc_Jen,NA,20.362,181.8562952,70.6,98.2,61.74993,24.6375,23.6075,3.4333,NA
Acorus calamus,Halle,Aco_cal_Hal,NA,7.989960607,211.1467916,63.6,35.6,43.7607975,21.4025,12.205,6.46,33.48
Acorus calamus,Jena,Aco_cal_Jen,NA,NA,NA,NA,NA,132.3030525,26.0225,16.0775,0.6775,NA
Acorus calamus,Leipzig,Aco_cal_Lei,5175.67,12.45804788,213.981848,60.5,23.5,NA,NA,NA,1.8,14.46
Actaea spicata,Jena,Act_spi_Jen,NA,27.005,266.7379573,34.8,38.2,25.7291375,31.9125,32.73333333,23.2786,NA
Adonis amurensis,Leipzig,Ado_amu_Lei,3852.735126,23.23970638,231.1052445,32.6,32.1,29.08881,45.02,25.05,NA,17.05
Adonis vernalis,Halle,Ado_ver_Hal,NA,20.06,271.86,25,25.9,28.06815,32.4,19.235,4.31,NA
Adonis vernalis,Jena,Ado_ver_Jen,76.88926667,23.144,266.972,10.8,12.9,NA,NA,NA,12.17,10.77
Aegopodium podagraria,Halle,Aeg_pod_Hal,NA,29.654,139.162,57.4,68.6,65.15213,18.94333333,10.68166667,1.67,15.93
Aegopodium podagraria,Jena,Aeg_pod_Jen,5365.336,18.132,197.13,68.4,79.2,121.8412875,18.97,12.17,0.5,23.44
Aegopodium podagraria,Leipzig,Aeg_pod_Lei,10019.43324,26.18031977,30.37241125,16.3,NA,60.133885,17.83916667,10.75166667,NA,32.26
Agrimonia eupatoria,Jena,Agr_eup_Jen,1497.141,18.21,342.256,98.8,140.6,NA,NA,NA,20.83,16.64
Ajuga pyramidalis,Jena,Aju_pyr_Jen,NA,22.4,175.13,13.4,11.8,NA,NA,NA,NA,NA
Alchemilla vulgaris,Halle,Alc_vul_Hal,NA,NA,NA,NA,NA,92.114565,20.9775,10.9975,NA,NA
Alchemilla vulgaris,Leipzig,Alc_vul_Lei,1612.566667,18.69496905,250.8610853,5.9,13.8,22.00798125,15.48125,8.833333333,0.3,13.19
Alchemilla xanthochlora,Halle,Alc_xan_Hal,NA,15.158,247.504,26.8,28.6,NA,NA,NA,0.32,NA
Alchemilla xanthochlora,Jena,Alc_xan_Jen,475.931,32.46,267.864,36.625,38.5,97.47303,17.69,9.965,0.59,16.07
Allium flavum,Halle,All_fla_Hal,NA,NA,NA,NA,NA,66.85323,31.595,23.57,NA,NA
Allium schoenoprasum,Halle,All_sch_Hal,313.047,24.35389297,113.6595376,19.1,25.8,126.6894225,28.63875,10.6175,0.89,17.13
Allium ursinum,Halle,All_urs_Hal,NA,26.43,106.72,20.6,25.8,31.385295,17.63,7.6525,NA,16.43
Allium ursinum,Jena,All_urs_Jen,2880.493,27.252,107.332,21.2,27.4,46.5676125,24.1425,9.96,7.405,12.74
Allium ursinum,Leipzig,All_urs_Lei,5404.937576,23.09400458,110.5994853,26.5,33,34.3196925,19.045,6.8275,6.036,32.36
Allium victorialis,Halle,All_vic_Hal,5727.0835,36.48610213,134.7218376,47.8,70.6,45.41937,28.30875,9.68375,8.26,19.55
Allium victorialis,Jena,All_vic_Jen,8189.935,17.976,161.768,44.6,69.8,44.5262925,31.5325,18.3525,8.6567,13.55
Althaea officinalis,Halle,Alt_off_Hal,NA,14.126,314.064,137.4,142.8,69.21350625,24.303125,15.515625,0.5,13.09
Althaea officinalis,Jena,Alt_off_Jen,NA,18.844,276.606,126.2,127,NA,NA,NA,4.65,NA
Amorpha canescens,Halle,Amo_can_Hal,NA,25.89137703,274.3543723,118.5,128.25,NA,NA,NA,0.01,18.71
Anemone hepatica,Jena,Ane_hep_Jen,NA,NA,NA,12.5,11.8,34.3196925,31.66,22.23625,3.725,NA
Anemone hepatica,Leipzig,Ane_hep_Lei,NA,NA,NA,NA,NA,41.251675,34.19375,23.65416667,NA,16.75
Anemone hupehensis,Halle,Ane_hup_Hal,NA,10.18,332.82,62.6,79.2,42.4849725,44.553125,28.109375,0.1,27.44
Anemone hupehensis,Leipzig,Ane_hup_Lei,NA,NA,295.0392858,50,80.5,25.8992475,42.41,24.825,NA,20.85
Anemone nemorosa,Halle,Ane_nem_Hal,1984.919,35.28121486,259.3636567,18.6,18.6,28.06815,36.4,16.11,3.29,15.31
Anemone nemorosa,Jena,Ane_nem_Jen,505.484,26.262,218.676,11.7,14.5,33.8093625,41.6325,40.665,NA,12.42
Anemone nemorosa,Leipzig,Ane_nem_Lei,1823.456031,36.07017921,193.2859153,14.6,18.8,29.7267225,33.0025,12.59,0.6,18.21
