Species,Botanic_Garden,Species_ID,mean_Leaf_area_one_leaf_mm2,mean_SLA_mm2_mg,mean_LDMC_mg_g,mean_veg_height_cm,mean_gen_height_cm,mean_stomataldensity_number_mm,mean_stomatallength_mikrom,mean_stomatalwidth_mikrom,mean_weight_per_seed_mg,mean_CN_ratio
Anemone sylvestris,Halle,Ane_syl_Hal,NA,16.43,321.418,12,25.3,96.707535,29.61,22.635,0.05,19.62
Anemone sylvestris,Jena,Ane_syl_Jen,NA,21.6,245.57,13.4,26.2,NA,NA,NA,0.5667,NA
Anemone sylvestris,Leipzig,Ane_syl_Lei,1134.84791,23.1202628,237.1635427,12,21.9,77.05983,29.69,22.78,NA,21.17
Anemone transsilvanica,Halle,Ane_tra_Hal,NA,14.66222065,148.5951523,15.6,12.4,39.29541,26.19,14.57,NA,22.54
Anemone transsilvanica,Leipzig,Ane_tra_Lei,2491.69884,11.06025205,358.82444,9.3,11.2,NA,NA,NA,NA,NA
Angelica archangelica,Halle,Ang_arc_Hal,NA,NA,NA,70,97,NA,NA,NA,NA,NA
Angelica archangelica,Jena,Ang_arc_Jen,NA,NA,NA,96.8,129.4,135.23745,20.14,13.745,4.135,NA
Antennaria dioica,Jena,Ant_dio_Jen,24.89733333,17.338,228.844,3,6.3,NA,NA,NA,0.1126,22.82
Anthericum ramosum,Leipzig,Ant_ram_Lei,1754.679616,22.07762195,185.121163,2.6,50.6,55.7535525,20.74,9.005,4.5,28.98
Aquilegia chrysantha,Leipzig,Aqu_chr_Lei,3896.959948,19.46587996,256.7357516,31.7,90,50.267505,24.5,17.67,1.5,17.67
Aquilegia vulgaris,Halle,Aqu_vul_Hal,NA,15.234,215.32,56.6,64.8,64.556745,19.89,16.895,1.67,NA
Aquilegia vulgaris,Jena,Aqu_vul_Jen,7211.044815,28.83,204.944,84.64,82.1,95.8144575,19.3325,14.20833333,1.66,NA
Arctostaphylos uva-ursi,Halle,Arc_uva_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctostaphylos uva-ursi,Jena,Arc_uva_Jen,86.565,8.34,384.312,20.7,NA,122.3516175,31.4675,21.965,NA,43.88
Armoracia rusticana,Halle,Arm_rus_Hal,NA,5.061413238,790.1658945,NA,NA,NA,NA,NA,NA,NA
Armoracia rusticana,Jena,Arm_rus_Jen,27926.445,15.5125,139.525,97.6,118.4,204.2595825,20.61166667,15.46083333,NA,7.99
Arnica longifolia,Jena,Arn_lon_Jen,725.476,21.728,215.068,38.5,43.4,NA,NA,NA,0.4167,18.61
Arnica longifolia,Leipzig,Arn_lon_Lei,1598.784616,19.25670927,207.4675813,20,25,32.916285,31.03,18.61,1.282,20.42
Arrhenatherum elatius,Halle,Arr_ela_Hal,1319.823496,34.82512729,271.2997462,90.2,111.2,60.474105,44.9425,9.78,NA,14.29
Artemisia absinthium,Halle,Art_abs_Hal,NA,26.19321267,135.9144543,133,133,31.895625,21.375,16.325,NA,11.94
Artemisia absinthium,Jena,Art_abs_Jen,14.01333333,73.12,66.73,104,105,NA,NA,NA,0.036,13.75
Arum italicum,Halle,Aru_ita_Hal,9642.989187,19.18903144,86.62114748,30,14.2,NA,NA,NA,NA,NA
Arum italicum,Jena,Aru_ita_Jen,NA,16.665,92.2375,29.75,NA,44.653875,35.4359375,23.8265625,NA,11.64
Arum maculatum,Halle,Aru_mac_Hal,NA,23.416,105.318,18.8,23,50.437615,28.03458333,14.69041667,20.53,12.1
Arum maculatum,Leipzig,Aru_mac_Lei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asarum canadense,Leipzig,Asa_can_Lei,4448.862299,29.09082767,122.2544549,11.4,4.1,32.2783725,23.7,15.26,NA,NA
Asarum europaeum,Halle,Asa_eur_Hal,840.1945,26.77061672,243.9782155,9.9,2.64,56.64663,21.7625,11.51,NA,14.84
Asarum europaeum,Jena,Asa_eur_Jen,527.564,21.958,140.29,9.6,3.8,91.2214875,29.98,22.04625,3.89,13.11
Asarum europaeum,Leipzig,Asa_eur_Lei,2134.404333,23.11773225,172.5148202,8,NA,50.55456563,27.64375,18.153125,NA,9.98
Asphodelus albus,Halle,Asp_alb_Hal,2771.52,29.62779229,279.2256411,43,76,15.3099,24.2125,11.0125,11.02,17.48
Asphodelus albus,Jena,Asp_alb_Jen,6027.612222,10.53111111,139.6133333,61.8,93.2,64.9394925,29.1825,12.47375,15.4667,12.5
Atropa belladonna,Halle,Atr_bel_Hal,3463.9075,24.87080194,215.2467001,80,77.8,64.30158,30.5075,18.2875,1.41,13.76
Aurinia saxatilis,Halle,Aur_sax_Hal,NA,13.728,191.328,13.4,18.6,NA,NA,NA,0.81,8.04
Bergenia purpurascens,Jena,Ber_pur_Jen,5903.94,11.55,181.008,15.2,26.2,96.9627,21.815625,15.8515625,0.005,26.39
Bergenia purpurascens,Leipzig,Ber_pur_Lei,22240.22075,6.895477183,233.3484889,33.5,54.5,88.882475,22.54791667,15.85208333,0.1,14.77
Bistorta officinalis,Halle,Bis_off_Hal,NA,19.844,169.852,42,46.8,49.757175,26.2475,14.5025,5,13.62
Bistorta officinalis,Jena,Bis_off_Jen,3164.045,15.662,202.986,20.4,25,125.4135975,18.8975,13.44875,1.8396,10.16
Bromus erectus,Halle,Bro_ere_Hal,1148.382922,17.38900351,339.5531898,86.2,112.8,35.0851875,49,8.145,NA,28.71
Brunnera macrophylla,Halle,Bru_mac_Hal,NA,38.146,155.808,15.6,20,83.438955,21.3725,11.375,NA,13.57
Brunnera macrophylla,Jena,Bru_mac_Jen,1320.254,20.652,157.806,23,26,NA,NA,NA,0.7563,11.85
Bunias orientalis,Halle,Bun_ori_Hal,NA,20.598,144.37,96.4,106.2,170.705385,19.75,13.82,27.92,NA
Bunias orientalis,Jena,Bun_ori_Jen,2676.003,21.187,148.45,96.6,99.6,192.4369375,19.17416667,13.35541667,32.885,6.94
Bunias orientalis,Leipzig,Bun_ori_Lei,5480.760543,32.41070315,118.198246,76.5,88.5,174.4690688,20.134375,13.21875,NA,25.03
Cakile maritima,Halle,Cak_mar_Hal,NA,16.61167886,149.9678474,18.25,22.75,63.1533375,24.15,12.0125,6.35,10.56
Calla palustris,Halle,Cal_pal_Hal,35516.428,18.36552167,241.0801311,31,25,59.453445,30.1675,12.3325,32.58,17.81951641
Calla palustris,Jena,Cal_pal_Jen,2944.33,20.772,117.586,19.7,14.9,48.226185,26.3675,14.4625,3.3,13.53
Calla palustris,Leipzig,Cal_pal_Lei,NA,NA,NA,NA,NA,32.21458125,34.834375,27.771875,NA,15.20446097
Caltha palustris,Halle,Cal_pal_Hal,NA,26.79612427,110.3889188,33,39.5,41.78326875,32.021875,11.85,1.23,31.29
Caltha palustris,Leipzig,Cal_pal_Lei,824.7617913,22.28583394,152.0728207,3.6,7,48.48135,27.85208333,20.8875,NA,NA
Camassia cusickii,Halle,Cam_cus_Hal,NA,NA,NA,43.6,74.8,NA,NA,NA,5.5,NA
Camassia cusickii,Jena,Cam_cus_Jen,2917.16,17.456,152.172,45.4,79,52.05366,31.43375,11.765,5.2,24.96
Campanula rotundifolia,Halle,Cam_rot_Hal,NA,37.528,163.304,26.4,40.4,121.203375,27.33,18.935,0.07,NA
Campanula rotundifolia,Jena,Cam_rot_Jen,28.9565,23.746,284.054,23.1,27,143.7854775,17.965,10.39125,0.054,18.07
Campanula rotundifolia,Leipzig,Cam_rot_Lei,NA,NA,270.3974005,4.14,16.16,130.2617325,21.63625,12.56625,NA,23.06
Carex sylvatica,Halle,Car_syl_Hal,NA,25.04498347,82.2621076,22,62.5,34.957605,23.9575,10.7375,1.8,27.51
Centaurea cineraria,Leipzig,Cen_cin_Lei,2009.058374,19.12273372,5.239734794,65.7,69.2,NA,NA,NA,NA,NA
Centaurea jacea,Jena,Cen_jac_Jen,204.444,16.47,299.808,123.8,128.8,95.94204,21.49,15.2075,2.48,21.42
Centaurea scabiosa,Jena,Cen_sca_Jen,1421.0435,9.899,271.923,113.4,121.8,168.5364825,20.015,12.145,4.04,12.86
Centranthus ruber,Halle,Cen_rub_Hal,NA,20.376,151.482,65.5,90,108.70029,24.92,17.04,2.04,NA
Centranthus ruber,Jena,Cen_rub_Jen,440.88725,16.834,163.42,56.6,64.8,186.9083625,24.6575,13.6325,1.96,13.49
Cephalaria gigantea,Halle,Cep_gig_Hal,NA,NA,NA,NA,NA,94.73000625,29.525,20.10625,NA,NA
Chelidonium majus,Halle,Che_maj_Hal,1626.3055,23.70698629,150.1397389,46.4,49.4,100.02468,10.68,6.215,0.48,15.04
Chelidonium majus,Jena,Che_maj_Jen,851.089,18.434,220.12,26,28.9,56.901795,15.1275,11.375,0.84,14.45
Clematis integrifolia,Halle,Cle_int_Hal,NA,21.886,191.96,58.8,65,71.191035,28.73,19.255,0.67,NA
Clematis recta,Halle,Cle_rec_Hal,NA,19.58,265.052,121.8,137.8,68.129055,26.165,18.015,0.54,NA
Clematis recta,Jena,Cle_rec_Jen,5015.226,21.85,259.506,123.8,139.6,67.7463075,20.5875,12.405,7.6,15.01
Clematis stans,Leipzig,Cle_sta_Lei,36537.70196,20.94691393,236.8428199,79.25,79.1,70.32985313,28.615625,19.115625,NA,24.48
Colchicum autumnale,Halle,Col_aut_Hal,NA,16.90045024,286.2903277,47.7,13.56,45.164205,28.2775,12.725,NA,13.61
Colchicum autumnale,Jena,Col_aut_Jen,17624.128,24.142,108.166,35.8,24.4,45.674535,42.885,27.64375,NA,10.71
Colchicum autumnale,Leipzig,Col_aut_Lei,NA,NA,NA,NA,11.25,NA,NA,NA,NA,NA
Comarum palustre,Halle,Com_pal_Hal,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA
Comarum palustre,Jena,Com_pal_Jen,NA,15.525,388.71,12.5,16,NA,NA,NA,0.34,29.77
Conium maculatum,Halle,Con_mac_Hal,NA,20.5551259,243.4552548,52.25,59.5,163.3056,15.115625,12.109375,1.37,10.15
Conium maculatum,Jena,Con_mac_Jen,NA,25.148,214.314,107,104.4,NA,NA,NA,0.6467,10.66
Convallaria majalis,Halle,Con_maj_Hal,NA,21.91,183.294,24,22,38.9126625,21.97375,10.72875,21.6,14.16
Convallaria majalis,Jena,Con_maj_Jen,7529.22,19.602,256.886,31.7,27.6,42.2298075,27.615,16.81125,17.9545,15.77
Convallaria majalis,Leipzig,Con_maj_Lei,5116.870052,11.85439013,316.4565446,18,16,42.86772,27.8975,16.14125,8.8,12.6
Corydalis solida,Halle,Cor_sol_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corydalis solida,Jena,Cor_sol_Jen,NA,32.276,170.306,14.5,21,NA,NA,NA,0.746,NA
Crocus speciosus,Halle,Cro_spe_Hal,605.265,22.8237355,252.946029,12.6,NA,57.15696,19.645,11.235,NA,25.56
Crocus speciosus,Jena,Cro_spe_Jen,195.033,14.888,236.004,14.6,NA,60.9419075,22.52,11.06666667,8.3,16.09
Crocus vernus,Leipzig,Cro_ver_Lei,1113.106017,25.58980594,164.2786612,17.7,NA,127.327335,13.83,7.8925,NA,11.28
Cuphea ignea,Leipzig,Cup_ign_Lei,839.0821928,16.62290359,293.5151093,21.8,17.7,171.0881325,22.3875,14.5075,NA,14.88
Cyclamen coum,Jena,Cyc_cou_Jen,600.116,14.002,172.522,4,7.7,96.707535,22.4525,11.84,4.8733,19.02
Cyclamen coum,Leipzig,Cyc_cou_Lei,1521.092298,16.22288329,154.0277475,6.5,NA,82.2907125,31.2475,18.645,NA,18.04
Cyclamen hederifolium,Leipzig,Cyc_hed_Lei,1495.317439,10.24827465,193.5462412,5.5,9.4,96.197205,19.675,12.65875,NA,24.11
Dactylis glomerata,Halle,Dac_glo_Hal,NA,16.9746395,183.8574036,89.6,103.6,152.333505,35.52125,13.2675,NA,25.87
Dactylorhiza majalis,Jena,Dac_maj_Jen,1268.791,27.458,102.438,25.8,32,45.8021175,50.53625,32.61125,0.0341,14.35
Daphne laureola,Halle,Dap_lau_Hal,NA,4.87,363.64,62,60,73.99785,22.7125,12.4,NA,NA
Dianthus carthusianorum,Halle,Dia_car_Hal,NA,15.20417654,336.6057513,62.1,70.7,179.5085775,19.6675,10.89125,NA,19.8
Dianthus deltoides,Halle,Dia_del_Hal,NA,NA,NA,16.4,18.5,140.34075,17.93125,11.1125,0.09,NA
Dianthus gratianopolitanus,Halle,Dia_gra_Hal,NA,NA,NA,NA,NA,110.23128,35.0425,20.685,NA,NA
Dianthus plumarius,Leipzig,Dia_plu_Lei,99.14675511,16.6557816,245.2966812,17.5,19.3,195.96672,26.31333333,13.77875,NA,16.84
Dianthus superbus,Jena,Dia_sup_Jen,NA,16.4,262.13,31,36.4,96.28226,31.35875,20.75666667,0.606,NA
Dianthus superbus,Leipzig,Dia_sup_Lei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictamnus albus,Halle,Dic_alb_Hal,NA,14.3525,280.7425,43.65,65.6,59.00690625,26.125,17.296875,15.12,15.66
Dictamnus albus,Jena,Dic_alb_Jen,NA,12.7,291.25,41.5,52.4,60.6016875,28.575,17.7,24.555,NA
Dictamnus albus,Leipzig,Dic_alb_Lei,3335.864296,16.30950674,255.5194486,54,70,59.113225,29.94166667,20.30416667,2.9,24.8
Doronicum austriacum,Halle,Dor_aus_Hal,NA,NA,NA,107.2,124,17.35122,38.05,21.765,NA,20.9
Doronicum pardalianches,Halle,Dor_par_Hal,3649.846,15.41930217,153.0290154,NA,NA,NA,NA,NA,0.82,NA
Dryas octopetala,Halle,Dry_oct_Hal,NA,12.888,313.252,6.7,9.6,NA,NA,NA,0.44,18.06
Dryas octopetala,Jena,Dry_oct_Jen,179.751,11.32,365.986,7.2,10.4,NA,NA,NA,0.4333,18.06
Dryas octopetala,Leipzig,Dry_oct_Lei,124.9660583,13.46798592,312.8630258,5.9,10.4,NA,NA,NA,0.4,17.53
Epilobium angustifolium,Halle,Epi_ang_Hal,NA,17.75,280.668,126,167.4,255.67533,20.75,13.895,0.02,NA
Epilobium angustifolium,Jena,Epi_ang_Jen,636.174,19.336,253.99,126.4,157.6,233.475975,24.42,14.745,0.0316,13.8
Eranthis hyemalis,Halle,Era_hye_Hal,NA,30.738,163.342,16.2,NA,25.6440825,29.2675,12.4375,3.8,23.54
Eranthis hyemalis,Jena,Era_hye_Jen,359.427,29.938,139.792,10.8,12.6,24.8785875,34.25625,16.203125,3.1714,14.31
Eranthis hyemalis,Leipzig,Era_hye_Lei,1171.913427,23.86087419,167.875382,24.5,27.2,25.771665,46.31,34.62,4.4,15.08
Erica tetralix,Jena,Eri_tet_Jen,NA,NA,NA,15.4,16.4,NA,NA,NA,0.024,NA
Eryngium campestre,Halle,Ery_cam_Hal,NA,17.31727621,193.2945367,62.5,62.5,160.24362,16.26625,10.19375,1.27,19.34
Eryngium campestre,Leipzig,Ery_cam_Lei,17077.43227,7.613593304,252.0020576,19,55.33333333,138.1718475,17.3725,10.075,2.708,50.52
Eryngium maritimum,Halle,Ery_mar_Hal,NA,25.18858814,191.5342403,35.2,36.4,128.9859075,19.3625,12.6325,9.45,28.31
Eupatorium cannabinum,Halle,Eup_can_Hal,NA,26.418,197.7,118.6,146.4,43.88838,27.695,17.125,0.08,NA
Eupatorium cannabinum,Jena,Eup_can_Jen,5473.57,26.702,216.018,132.2,138.8,116.9931525,21.59,14.2075,0.36,11.49
Eupatorium cannabinum,Leipzig,Eup_can_Lei,6581.996155,36.42774412,189.0293155,144,150,62.77059,24.25875,16.6825,0.2,21.60406091
Filipendula vulgaris,Leipzig,Fil_vul_Lei,3688.505885,13.44753724,344.8643246,53,90.5,NA,NA,NA,1.2,15
Fragaria vesca,Halle,Fra_ves_Hal,NA,21.536,254.268,24.2,27.4,58.943115,17.225,11.25,0.24,NA
Fragaria vesca,Jena,Fra_ves_Jen,3239.85,16.33,265.492,30.8,24.2,54.60531,15.0125,7.6875,NA,16.79
Fragaria vesca,Leipzig,Fra_ves_Lei,2393.124963,25.42744589,289.3314861,18.3,22.5,46.184865,15.755,8.065,0.4,34.67
Fuchsia magellanica,Halle,Fuc_mag_Hal,149.06895,22.18825768,111.9932144,118,114.8,123.3722775,18.09,13.7275,NA,14.11
Galanthus ikariae,Halle,Gal_ika_Hal,NA,18.88666667,161.7766667,11,NA,64.6418,28.77708333,16.86666667,NA,14.4
Galanthus nivalis,Halle,Gal_niv_Hal,670.4735,27.24269233,303.0232238,19.56,15.6,20.25372188,31.61875,10.575,NA,15.06342922
Galanthus nivalis,Jena,Gal_niv_Jen,298.064,19.904,156.32,9.4,14.1,29.59914,27.5775,11.3725,13.6867,11.21
Galanthus nivalis,Leipzig,Gal_niv_Lei,1097.607841,22.15871302,141.1125598,15,NA,45.61074375,30.803125,10.471875,NA,29.26
Galanthus plicatus,Halle,Gal_pli_Hal,1558.075,26.85290103,272.5269238,31.3,25.4,28.57848,29.37,12.565,NA,18.09
Galega officinalis,Halle,Gal_off_Hal,NA,NA,NA,NA,NA,129.2410725,15.39625,11.25375,8.28,NA
Galega officinalis,Jena,Gal_off_Jen,NA,NA,NA,64.2,69.9,53.839815,22.29625,13.6125,7.875,NA
Galium glaucum,Halle,Gal_gla_Hal,NA,NA,NA,NA,NA,122.7981563,28.440625,12.446875,NA,NA
Galium mollugo,Jena,Gal_mol_Jen,NA,47.898,185.874,27.1,NA,NA,NA,NA,NA,NA
Galium mollugo,Leipzig,Gal_mol_Lei,45.03288485,20.80028491,233.5724086,48.5,53.5,64.046415,30.8075,18.06375,0.5,14.67
Galium odoratum,Halle,Gal_odo_Hal,NA,28.69,210.964,19.6,22,58.3052025,24.5,12.865,0.13,17.71
Galium odoratum,Jena,Gal_odo_Jen,NA,NA,NA,NA,NA,52.308825,27.155,17.29,NA,NA
Gaultheria shallon,Jena,Gau_sha_Jen,922.885,13.63,321.215,41.75,42.75,177.339675,14.925,8.50625,0.08,37.46
Gaultheria shallon,Leipzig,Gau_sha_Lei,2076.992979,4.965563143,514.0827789,35.6,36.3,115.84491,21.8025,15.54,0.2,20.34
Genista tinctoria,Halle,Gen_tin_Hal,NA,14.058,290.73,71.2,76.8,177.850005,27.7775,18,NA,NA
Genista tinctoria,Jena,Gen_tin_Jen,NA,NA,NA,64,59.7,156.0333975,24.28916667,16.23625,0.321,NA
Genista tinctoria,Leipzig,Gen_tin_Lei,168.3208103,18.86621033,273.3664082,96,95,103.7245725,29.82125,19.4325,3.9,10.5
Gentiana cruciata,Jena,Gen_cru_Jen,1251.025,12.884,213.372,38.2,40,61.3671825,30.8875,19.1375,0.1171,28.93
Gentiana lutea,Leipzig,Gen_lut_Lei,4325.975961,13.53039728,223.192871,8.64,NA,55.28575,27.80625,19.22291667,NA,34.76
Gentiana tibetica,Leipzig,Gen_tib_Lei,9102.082022,10.45413367,199.4228885,2.44,32,50.52267,24.3025,16.025,NA,33.15
Geranium sanguineum,Jena,Ger_san_Jen,388.0978,17.592,277.356,28.4,30.6,127.07217,19.2375,11.6075,11.9111,16.8
Geranium sanguineum,Leipzig,Ger_san_Lei,1521.362474,30.50933486,191.3605708,52,45,97.6006125,20.115,11.6875,9.7,54.66
Geum rivale,Halle,Geu_riv_Hal,NA,15.298,211.298,31.4,38.8,81.14247,21.0175,15.045,1.74,16.95
Geum rivale,Jena,Geu_riv_Jen,703.2446667,16.8025,252.365,NA,NA,103.341825,18.2175,11.7325,0.88,20.25
Geum rivale,Leipzig,Geu_riv_Lei,1465.893126,23.23088184,218.9865531,6.5,21,182.6556125,18.26666667,14.20416667,1.1,14.8
Geum urbanum,Halle,Geu_urb_Hal,2649.268,26.97210917,133.7649612,43.6,47,86.500935,17.505,9.03,2.65,36.88
Glechoma hederacea,Jena,Gle_hed_Jen,NA,27.95125,226.5375,3.875,4.25,NA,NA,NA,0.76,NA
Globularia cordifolia,Halle,Glo_cor_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Globularia cordifolia,Jena,Glo_cor_Jen,15.90983333,10.652,263.184,6,15.5,204.47222,37.62541667,27.58625,0.615,22.27
Globularia cordifolia,Leipzig,Glo_cor_Lei,109.2908209,12.29307993,263.8040229,4.5,8,154.7575725,27.1625,19.80625,NA,17.55
Glycyrrhiza glabra,Halle,Gly_gla_Hal,5851.9665,18.47003289,209.5804134,172.2,159.6,239.8551,16.33125,8.2375,6.96,11.18
Glycyrrhiza glabra,Jena,Gly_gla_Jen,NA,17.5,299.24,NA,NA,105.2555625,21.3875,13.41875,4.018,NA
Gratiola officinalis,Halle,Gra_off_Hal,NA,26.394,151.372,36.6,34,82.16313,29.1175,18.6825,0.03,NA
Gratiola officinalis,Jena,Gra_off_Jen,56.81266667,17.942,315.6,38.8,36.5,76.5495,23.49875,12.1825,0.0079,49.1
Gunnera manicata,Halle,Gun_man_Hal,NA,14.12528824,293.6794582,179,51,NA,NA,NA,0.29,16.55413751
Gunnera manicata,Jena,Gun_man_Jen,NA,NA,NA,NA,NA,105.893475,41.68125,32.04375,2.35,13.99
Gunnera manicata,Leipzig,Gun_man_Lei,9485.50361,11.42355242,122.2286471,149.1,92.2,NA,NA,NA,NA,20.09
Helianthemum nummularium,Halle,Hel_num_Hal,NA,13.978,291.218,16.4,25,199.0287,22.7325,16.825,0.89,NA
Helianthemum nummularium,Jena,Hel_num_Jen,45.069,13.762,264.586,19.8,21.4,229.13817,18.5475,12.41625,1.2,13.06
Helianthemum nummularium,Leipzig,Hel_num_Lei,NA,13.5970779,258.4434194,45,47,NA,NA,NA,1.4,31.38
Helichrysum arenarium,Jena,Hel_are_Jen,137.934,21.966,212.748,32.8,37.1,NA,NA,NA,7.2741,19.35
Heliosperma pusillum,Leipzig,Hel_pus_Lei,NA,21.81410463,205.8596071,17,20,114.9518325,29.21875,17.74375,NA,18.48
Helleborus niger,Jena,Hel_nig_Jen,4464.7325,7.07,280.49,11,11.75,48.056075,32.1,20.4125,NA,28.98
Helleborus niger,Leipzig,Hel_nig_Lei,6953.32086,7.825469428,263.4262759,3.25,NA,66.3429,32.1125,19.7,NA,27.07
Helleborus orientalis,Halle,Hel_ori_Hal,NA,9.786,237.47,21.6,23,64.30158,25.735,18.795,12.91,19.22
Helleborus orientalis,Jena,Hel_ori_Jen,5011.68,8.896,302.692,34.1,31.5,71.191035,24.17,16.3575,10.4,29.97
Helleborus viridis,Halle,Hel_vir_Hal,NA,10.67227442,208.4794321,42.5,37.5,33.8093625,32.4125,14.775,NA,25.22
Helleborus viridis,Leipzig,Hel_vir_Lei,NA,11.48813054,231.0999159,20,10.5,53.90360625,33.94375,23.475,NA,32.87
