Species
Acorus calamus
Adonis amurensis
Aegopodium podagraria
Alchemilla vulgaris
Allium ursinum
Anemone hepatica
Anemone hupehensis
Anemone nemorosa
Anemone sylvestris
Anemone transsilvanica
Anthericum ramosum
Aquilegia chrysantha
Arnica longifolia
Arum maculatum
Asarum canadense
Asarum europaeum
Bergenia purpurascens
Bunias orientalis
Calla palustris
Caltha palustris
Campanula rotundifolia
Centaurea cineraria
Clematis stans
Colchicum autumnale
Convallaria majalis
Crocus vernus
Cuphea ignea
Cyclamen coum
Cyclamen hederifolium
Dianthus plumarius
Dianthus superbus
Dictamnus albus
Dryas octopetala
Eranthis hyemalis
Eryngium campestre
Eupatorium cannabinum
Filipendula vulgaris
Fragaria vesca
Galanthus nivalis
Galium mollugo
Gaultheria shallon
Genista tinctoria
Gentiana lutea
Gentiana tibetica
Geranium sanguineum
Geum rivale
Globularia cordifolia
Gunnera manicata
Helianthemum nummularium
Heliosperma pusillum
Helleborus niger
Helleborus viridis
Hemerocallis dumortieri
Hibiscus moschatus
Humulus lupulus
Hydrocotyle vulgaris
Hypericum olympicum
Iberis sempervirens
Iris pseudacorus
Lathyrus vernus
Lavandula angustifolia
Leonurus cardiaca
Leonurus quinquelobatus
Leucojum vernum
Linum usitatissimum
Lupinus polyphyllus
Lysichiton americanus
Menyanthes trifoliata
Myriophyllum aquaticum
Paeonia officinalis
Paeonia peregrina
Penstemon grandiflorus
Phedimus stoloniferus
Phedimus stoloniferus
Plantago lanceolata
Podophyllum peltatum
Polygonatum multiflorum
Polygonatum verticillatum
Primula denticulata
Prunella grandiflora
Pulsatilla vulgaris
Roscoea purpurea
Salvia amplexicaulis
Salvia officinalis
Saponaria officinalis
Saxifraga paniculata
Scabiosa ochroleuca
Scopolia carniolica
Silene coronaria
Silene nutans
Silene vulgaris
Tanacetum vulgare
Thalictrum minus
Trapa natans
Trillium sessile
Trollius europaeus
Tussilago farfara
Urtica dioica
Vaccinium myrtillus
Vaccinium oxycoccos
Veratrum nigrum
Vinca minor
Vincetoxicum hirundinaria
