Plant_accepted_name,Plant_genus,Plant_family,Plant_order,Leipzig,Halle,Jena,Total_sampling_time
Lamium flexuosum,Lamium,Lamiaceae,Lamiales,3,0,0,3
Lamium hybridum,Lamium,Lamiaceae,Lamiales,10,0,0,10
Lathyrus roseus,Lathyrus,Fabaceae,Fabales,3,0,0,3
Lomelosia cretica,Lomelosia,Caprifoliaceae,Dipsacales,6,0,0,6
Lomelosia olgae,Lomelosia,Caprifoliaceae,Dipsacales,6,0,0,6
Lotus herbaceus,Lotus,Fabaceae,Fabales,3,0,0,3
Lunaria rediviva,Lunaria,Brassicaceae,Brassicales,3,0,0,3
Mahonia aquifolium,Mahonia,Berberidaceae,Ranunculales,6,0,0,6
Medicago falcata,Medicago,Fabaceae,Fabales,3,0,0,3
Monarda fistulosa,Monarda,Lamiaceae,Lamiales,3,0,0,3
Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,3,0,0,3
Papaver orientale,Papaver,Papaveraceae,Ranunculales,3,0,0,3
Phlomis russeliana,Phlomis,Lamiaceae,Lamiales,3,0,0,3
Polygonatum biflorum,Polygonatum,Asparagaceae,Asparagales,6,0,0,6
Potentilla kurdica,Potentilla,Rosaceae,Rosales,9,0,0,9
Potentilla recta,Potentilla,Rosaceae,Rosales,3,0,0,3
Pycnanthemum tenuifolium,Pycnanthemum,Lamiaceae,Lamiales,6,0,0,6
Rhaponticoides ruthenica,Rhaponticoides,Asteraceae,Asterales,3,0,0,3
Rhododendron brachycarpum,Rhododendron,Ericaceae,Ericales,6,0,0,6
Rhododendron degronianum,Rhododendron,Ericaceae,Ericales,3,0,0,3
Rhododendron thomsonii,Rhododendron,Ericaceae,Ericales,3,0,0,3
Rhododendron wadanum,Rhododendron,Ericaceae,Ericales,6,0,0,6
Ribes sanguineum,Ribes,Grossulariaceae,Saxifragales,15,0,0,15
Salvia ringens,Salvia,Lamiaceae,Lamiales,3,0,0,3
Salvia verticillata,Salvia,Lamiaceae,Lamiales,6,0,0,6
Saponaria sicula,Saponaria,Caryophyllaceae,Caryophyllales,6,0,0,6
Scabiosa triandra,Scabiosa,Caprifoliaceae,Dipsacales,3,0,0,3
Scilla luciliae,Scilla,Asparagaceae,Asparagales,15,0,0,15
Silene latifolia,Silene,Caryophyllaceae,Caryophyllales,3,0,0,3
Silene schafta,Silene,Caryophyllaceae,Caryophyllales,3,0,0,3
Silphium integrifolium,Silphium,Asteraceae,Asterales,6,0,0,6
Solanum incanum,Solanum,Solanaceae,Solanales,3,0,0,3
Succisa pratensis,Succisa,Caprifoliaceae,Dipsacales,6,0,0,6
Syringa persica,Syringa,Oleaceae,Lamiales,3,0,0,3
Tanacetum coccineum,Tanacetum,Asteraceae,Asterales,3,0,0,3
Taraxacum sonchoides,Taraxacum,Asteraceae,Asterales,3,0,0,3
Tetradium daniellii,Tetradium,Rutaceae,Sapindales,3,0,0,3
Teucrium marum,Teucrium,Lamiaceae,Lamiales,3,0,0,3
Thunbergia alata,Thunbergia,Acanthaceae,Lamiales,3,0,0,3
Thymus praecox,Thymus,Lamiaceae,Lamiales,3,0,0,3
Thymus pulegioides,Thymus,Lamiaceae,Lamiales,3,0,0,3
Tropaeolum majus,Tropaeolum,Tropaeolaceae,Brassicales,3,0,0,3
Verbascum nigrum,Verbascum,Scrophulariaceae,Lamiales,3,0,0,3
Verbena hastata,Verbena,Verbenaceae,Lamiales,3,0,0,3
Vernonia fasciculata,Vernonia,Asteraceae,Asterales,3,0,0,3
Veronica austriaca,Veronica,Plantaginaceae,Lamiales,3,0,0,3
Veronica chamaedrys,Veronica,Plantaginaceae,Lamiales,3,0,0,3
Veronica longifolia,Veronica,Plantaginaceae,Lamiales,3,0,0,3
Veronica orchidea,Veronica,Plantaginaceae,Lamiales,3,0,0,3
Vicia oroboides,Vicia,Fabaceae,Fabales,3,0,0,3
Vicia tenuifolia,Vicia,Fabaceae,Fabales,6,0,0,6
Viola striata,Viola,Violaceae,Malpighiales,9,0,0,9
Vitex negundo,Vitex,Lamiaceae,Lamiales,12,0,0,12
Weigela florida,Weigela,Caprifoliaceae,Dipsacales,3,0,0,3
Xanthoceras sorbifolium,Xanthoceras,Poaceae,Poales,5,0,0,5
