Botanical_garden,Pollinator,Total_visited_plant_richness,Total_plant_richness,percentage_vivited_plant_sp
Halle,Aglais io,4,167,0.023952095808383235
Halle,Aglais urticae,1,167,0.005988023952095809
Halle,Ammophila sabulosa,1,167,0.005988023952095809
Halle,Ancistrocerus claripennis,1,167,0.005988023952095809
Halle,Ancistrocerus gazella,2,167,0.011976047904191617
Halle,Ancistrocerus nigricornis,1,167,0.005988023952095809
Halle,Andrena bicolor,3,167,0.017964071856287425
Halle,Andrena flavipes,12,167,0.0718562874251497
Halle,Andrena hattorfiana,1,167,0.005988023952095809
Halle,Andrena minutula,3,167,0.017964071856287425
Halle,Andrena minutuloides,2,167,0.011976047904191617
Halle,Andrena pilipes,2,167,0.011976047904191617
Halle,Andrena strohmella,5,167,0.029940119760479042
Halle,Anthaxia nitidula,1,167,0.005988023952095809
Halle,Anthidium manicatum,17,167,0.10179640718562874
Halle,Anthidium oblongatum,3,167,0.017964071856287425
Halle,Anthocharis cardamines,4,167,0.023952095808383235
Halle,Anthomyia procellaris,1,167,0.005988023952095809
Halle,Anthophora aestivalis,3,167,0.017964071856287425
Halle,Anthophora furcata,1,167,0.005988023952095809
Halle,Anthophora plumipes,35,167,0.20958083832335328
Halle,Anthophora quadrimaculata,10,167,0.059880239520958084
Halle,Anthrenus scrophulariae,1,167,0.005988023952095809
Halle,Anthrenus verbasci,2,167,0.011976047904191617
Halle,Apis mellifera,83,167,0.49700598802395207
Halle,Bellardia viarum,1,167,0.005988023952095809
Halle,Bellardia vulgaris,1,167,0.005988023952095809
Halle,Bombus hortorum,3,167,0.017964071856287425
Halle,Bombus hypnorum,5,167,0.029940119760479042
Halle,Bombus lapidarius,27,167,0.16167664670658682
Halle,Bombus lucorum,4,167,0.023952095808383235
Halle,Bombus pascuorum,23,167,0.1377245508982036
Halle,Bombus pratorum,3,167,0.017964071856287425
Halle,Bombus rupestris,7,167,0.041916167664670656
Halle,Bombus subterraneus,1,167,0.005988023952095809
Halle,Bombus terrestris,36,167,0.2155688622754491
Halle,Bombus vestalis,10,167,0.059880239520958084
Halle,Bombylius discolor,3,167,0.017964071856287425
Halle,Bombylius major,24,167,0.1437125748502994
Halle,Bombylius venosus,5,167,0.029940119760479042
Halle,Cerceris rybyensis,8,167,0.04790419161676647
Halle,Cetonia aurata,6,167,0.03592814371257485
Halle,Chelostoma florisomne,2,167,0.011976047904191617
Halle,Chelostoma rapunculi,2,167,0.011976047904191617
Halle,Coccinella septempunctata,7,167,0.041916167664670656
Halle,Coelioxys afra,2,167,0.011976047904191617
Halle,Coelioxys aurolimbatus,1,167,0.005988023952095809
Halle,Coelioxys elongatus,1,167,0.005988023952095809
Halle,Coelioxys rufescens,2,167,0.011976047904191617
Halle,Colletes daviesanus,8,167,0.04790419161676647
Halle,Colletes hederae,2,167,0.011976047904191617
Halle,Crossocerus podagricus,1,167,0.005988023952095809
Halle,Cylindromyia brevicornis,2,167,0.011976047904191617
Halle,Dinetus pictus,1,167,0.005988023952095809
Halle,Dolichovespula saxonica,1,167,0.005988023952095809
Halle,Entomophaga nigrohalterata,1,167,0.005988023952095809
Halle,Episyrphus balteatus,25,167,0.1497005988023952
Halle,Eristalinus aeneus,1,167,0.005988023952095809
Halle,Eristalis pertinax,2,167,0.011976047904191617
Halle,Eristalis tenax,3,167,0.017964071856287425
Halle,Eucera nigrescens,4,167,0.023952095808383235
Halle,Eupeodes corollae,9,167,0.05389221556886228
Halle,Eurychaeta palpalis,1,167,0.005988023952095809
Halle,Formica,1,167,0.005988023952095809
Halle,Gonepteryx rhamni,1,167,0.005988023952095809
Halle,Graphomya maculata,2,167,0.011976047904191617
Halle,Gymnosoma clavatum,1,167,0.005988023952095809
Halle,Halictus scabiosae,15,167,0.08982035928143713
Halle,Halictus subauratus,15,167,0.08982035928143713
Halle,Halictus tumulorum,3,167,0.017964071856287425
Halle,Harmonia axyridis,1,167,0.005988023952095809
Halle,Hedychrum gerstaeckeri,1,167,0.005988023952095809
Halle,Hedychrum nobile,1,167,0.005988023952095809
Halle,Hemipenthes morio,1,167,0.005988023952095809
Halle,Heriades truncorum,3,167,0.017964071856287425
Halle,Hoplitis adunca,1,167,0.005988023952095809
Halle,Hylaeus communis,8,167,0.04790419161676647
Halle,Hylaeus gredleri,1,167,0.005988023952095809
Halle,Hylaeus nigritus,3,167,0.017964071856287425
Halle,Hylaeus punctatus,2,167,0.011976047904191617
Halle,Hylaeus signatus,1,167,0.005988023952095809
Halle,Lasioglossum calceatum,4,167,0.023952095808383235
Halle,Lasioglossum fulvicorne,1,167,0.005988023952095809
Halle,Lasioglossum laticeps,8,167,0.04790419161676647
Halle,Lasioglossum leucozonium,1,167,0.005988023952095809
Halle,Lasioglossum morio,7,167,0.041916167664670656
Halle,Lasioglossum nitidiusculum,1,167,0.005988023952095809
Halle,Lasioglossum nitidulum,5,167,0.029940119760479042
Halle,Lasioglossum pauxillum,5,167,0.029940119760479042
Halle,Lasioglossum politum,14,167,0.08383233532934131
Halle,Lasioglossum villosulum,1,167,0.005988023952095809
Halle,Litophasia hyalipennis,2,167,0.011976047904191617
Halle,Lucilia sericata,32,167,0.19161676646706588
Halle,Macroglossum stellatarum,1,167,0.005988023952095809
Halle,Malachius bipustulatus,1,167,0.005988023952095809
Halle,Maniola jurtina,8,167,0.04790419161676647
Halle,Megachile centuncularis,1,167,0.005988023952095809
Halle,Megachile ericetorum,6,167,0.03592814371257485
Halle,Megachile lagopoda,1,167,0.005988023952095809
Halle,Megachile maritima,1,167,0.005988023952095809
Halle,Megachile pilidens,4,167,0.023952095808383235
Halle,Megachile rotundata,1,167,0.005988023952095809
Halle,Megachile willughbiella,9,167,0.05389221556886228
Halle,Melecta albifrons,2,167,0.011976047904191617
Halle,Melitta nigricans,2,167,0.011976047904191617
Halle,Merziella longirostris,1,167,0.005988023952095809
Halle,Miltogramma germari,1,167,0.005988023952095809
Halle,Miltogramma punctata,5,167,0.029940119760479042
Halle,Myathropa florea,9,167,0.05389221556886228
Halle,Nomada bifasciata,1,167,0.005988023952095809
Halle,Nomada flavoguttata,3,167,0.017964071856287425
Halle,Nomada fulvicornis,1,167,0.005988023952095809
Halle,Nomada lathburiana,2,167,0.011976047904191617
Halle,Nowickia ferox,2,167,0.011976047904191617
Halle,Oedemera femorata,2,167,0.011976047904191617
Halle,Oedemera lurida,2,167,0.011976047904191617
Halle,Oedemera podagrariae,2,167,0.011976047904191617
Halle,Osmia aurulenta,5,167,0.029940119760479042
Halle,Osmia bicolor,1,167,0.005988023952095809
Halle,Osmia bicornis,13,167,0.07784431137724551
Halle,Osmia brevicornis,2,167,0.011976047904191617
Halle,Osmia caerulescens,4,167,0.023952095808383235
Halle,Osmia cornuta,13,167,0.07784431137724551
Halle,Oxythyrea funesta,15,167,0.08982035928143713
Halle,Philanthus triangulum,3,167,0.017964071856287425
Halle,Physocephala rufipes,1,167,0.005988023952095809
Halle,Pieris napi,6,167,0.03592814371257485
Halle,Pieris rapae,13,167,0.07784431137724551
Halle,Polistes dominula,7,167,0.041916167664670656
Halle,Pollenia amentaria,1,167,0.005988023952095809
Halle,Pollenia pediculata,1,167,0.005988023952095809
Halle,Pollenia vagabunda,1,167,0.005988023952095809
Halle,Polygonia c-album,3,167,0.017964071856287425
Halle,Polyommatus icarus,1,167,0.005988023952095809
Halle,Prosena siberita,1,167,0.005988023952095809
Halle,Pseudovadonia livida,2,167,0.011976047904191617
Halle,Pyrrhocoris apterus,2,167,0.011976047904191617
Halle,Sapygina decemguttata,1,167,0.005988023952095809
Halle,Sarcophaga incisilobata,2,167,0.011976047904191617
Halle,Sarcophaga subvicina,5,167,0.029940119760479042
Halle,Scaeva pyrastri,3,167,0.017964071856287425
Halle,Scolia hirta,7,167,0.041916167664670656
Halle,Sicus ferrugineus,1,167,0.005988023952095809
Halle,Sphaerophoria scripta,10,167,0.059880239520958084
Halle,Sphecodes albilabris,9,167,0.05389221556886228
Halle,Sphecodes ferruginatus,2,167,0.011976047904191617
Halle,Sphecodes monilicornis,1,167,0.005988023952095809
Halle,Sphecodes pellucidus,1,167,0.005988023952095809
Halle,Sphecodes puncticeps,1,167,0.005988023952095809
Halle,Sphex funerarius,5,167,0.029940119760479042
Halle,Stenurella melanura,1,167,0.005988023952095809
Halle,Syritta pipiens,6,167,0.03592814371257485
Halle,Syrphus vitripennis,4,167,0.023952095808383235
Halle,Tachina fera,2,167,0.011976047904191617
Halle,Tachina nupta,1,167,0.005988023952095809
Halle,Thyreus orbatus,1,167,0.005988023952095809
Halle,Tiphia femorata,2,167,0.011976047904191617
Halle,Trichius gallicus,1,167,0.005988023952095809
Halle,Trichopsomyia flavitarsis,1,167,0.005988023952095809
Halle,Tropinota hirta,1,167,0.005988023952095809
Halle,Valgus hemipterus,3,167,0.017964071856287425
Halle,Vespa crabro,2,167,0.011976047904191617
Halle,Vespula germanica,3,167,0.017964071856287425
Halle,Xylocopa violacea,19,167,0.11377245508982035
Jena,Aglais io,2,152,0.013157894736842105
Jena,Andrena flavipes,9,152,0.05921052631578947
Jena,Andrena gelriae,2,152,0.013157894736842105
Jena,Andrena minutula,1,152,0.006578947368421052
Jena,Andrena nitida,1,152,0.006578947368421052
Jena,Anthidium manicatum,6,152,0.039473684210526314
Jena,Anthocharis cardamines,1,152,0.006578947368421052
Jena,Anthophora aestivalis,2,152,0.013157894736842105
Jena,Anthophora plumipes,37,152,0.24342105263157895
Jena,Anthophora quadrimaculata,7,152,0.046052631578947366
Jena,Anthrenus verbasci,1,152,0.006578947368421052
Jena,Apis mellifera,60,152,0.39473684210526316
Jena,Argynnis paphia,1,152,0.006578947368421052
Jena,Aricia agestis,1,152,0.006578947368421052
Jena,Autographa gamma,1,152,0.006578947368421052
Jena,Bombus hortorum,13,152,0.08552631578947369
Jena,Bombus hypnorum,10,152,0.06578947368421052
Jena,Bombus lapidarius,19,152,0.125
Jena,Bombus lucorum,2,152,0.013157894736842105
Jena,Bombus pascuorum,33,152,0.21710526315789475
Jena,Bombus pratorum,12,152,0.07894736842105263
Jena,Bombus soroeensis,2,152,0.013157894736842105
Jena,Bombus terrestris,37,152,0.24342105263157895
Jena,Bombus vestalis,5,152,0.03289473684210526
Jena,Bombylius discolor,1,152,0.006578947368421052
Jena,Bombylius major,11,152,0.07236842105263158
Jena,Bombylius venosus,2,152,0.013157894736842105
Jena,Botanophila striolata,3,152,0.019736842105263157
Jena,Carpocoris fuscispinus,1,152,0.006578947368421052
Jena,Cerceris quadricincta,1,152,0.006578947368421052
Jena,Cerceris rybyensis,1,152,0.006578947368421052
Jena,Cetonia aurata,1,152,0.006578947368421052
Jena,Chelostoma florisomne,1,152,0.006578947368421052
Jena,Chelostoma rapunculi,5,152,0.03289473684210526
