Pollinator,Families_visited,Genera_visited,Lecticity
Bombylius venosus,7,10,Polylectic
Botanophila depressa,1,1,Oligolectic
Botanophila striolata,5,5,Polylectic
Calliphora vicina,1,1,Oligolectic
Carpocoris fuscispinus,1,1,Oligolectic
Ceratina cyanea,4,4,Polylectic
Cerceris quadricincta,1,1,Oligolectic
Cerceris quinquefasciata,1,1,Oligolectic
Cerceris rybyensis,10,17,Polylectic
Cetonia aurata,7,7,Polylectic
Chelostoma florisomne,1,1,Oligolectic
Chelostoma rapunculi,5,6,Polylectic
Chrysogaster virescens,1,2,Oligolectic
Coccinella septempunctata,8,15,Polylectic
Coelioxys afra,2,2,Polylectic
Coelioxys aurolimbatus,1,1,Oligolectic
Coelioxys elongatus,3,3,Polylectic
Coelioxys rufescens,2,2,Polylectic
Colletes daviesanus,4,8,Polylectic
Colletes hederae,2,2,Polylectic
Crossocerus podagricus,1,1,Oligolectic
Cydalima perspectalis,1,1,Oligolectic
Cylindromyia brevicornis,3,5,Polylectic
Dalmannia marginata,1,1,Oligolectic
Dinetus pictus,2,2,Polylectic
Dolichovespula saxonica,1,1,Oligolectic
Dryas iulia,1,1,Oligolectic
Ectemnius lituratus,1,1,Oligolectic
Entomophaga nigrohalterata,2,2,Polylectic
Episyrphus balteatus,21,47,Polylectic
Eristalinus aeneus,1,1,Oligolectic
Eristalis pertinax,3,3,Polylectic
Eristalis tenax,4,8,Polylectic
Eucera nigrescens,8,14,Polylectic
Eupeodes corollae,17,27,Polylectic
Eurychaeta palpalis,3,3,Polylectic
Gonepteryx rhamni,1,1,Oligolectic
Graphomya maculata,1,2,Oligolectic
Graphosoma italicum,1,1,Oligolectic
Gymnomerus laevipes,2,3,Polylectic
Gymnosoma clavatum,1,2,Oligolectic
Gymnosoma nudifrons,1,1,Oligolectic
Halictus scabiosae,8,19,Polylectic
Halictus subauratus,10,17,Polylectic
Halictus tumulorum,8,10,Polylectic
Harmonia axyridis,2,2,Polylectic
Hebia flavipes,1,1,Oligolectic
Hedychrum gerstaeckeri,1,1,Oligolectic
Hedychrum nobile,1,1,Oligolectic
Hemipenthes maura,1,1,Oligolectic
Hemipenthes morio,1,1,Oligolectic
Heriades truncorum,3,10,Polylectic
Holopyga ignicollis,2,2,Polylectic
Hoplitis adunca,5,5,Polylectic
Hylaeus brevicornis,1,1,Oligolectic
Hylaeus communis,9,12,Polylectic
Hylaeus confusus,1,1,Oligolectic
Hylaeus gredleri,2,2,Polylectic
Hylaeus hyalinatus,1,1,Oligolectic
Hylaeus nigritus,5,7,Polylectic
Hylaeus punctatus,8,12,Polylectic
Hylaeus signatus,1,1,Oligolectic
Hylaeus sinuatus,1,1,Oligolectic
Hylaeus styriacus,1,1,Oligolectic
Issoria lathonia,1,1,Oligolectic
Lapposyrphus lapponicus,1,1,Oligolectic
Lasioglossum calceatum,4,5,Polylectic
Lasioglossum fulvicorne,1,1,Oligolectic
Lasioglossum interruptum,1,1,Oligolectic
Lasioglossum laticeps,11,16,Polylectic
Lasioglossum leucozonium,3,3,Polylectic
Lasioglossum minutissimum,2,3,Polylectic
Lasioglossum morio,11,16,Polylectic
Lasioglossum nitidiusculum,1,1,Oligolectic
Lasioglossum nitidulum,5,5,Polylectic
Lasioglossum pallens,2,3,Polylectic
Lasioglossum pauxillum,7,8,Polylectic
Lasioglossum politum,11,16,Polylectic
Lasioglossum pygmaeum,1,1,Oligolectic
Lasioglossum villosulum,2,3,Polylectic
Leucophora personata,3,3,Polylectic
Litophasia hyalipennis,2,2,Polylectic
Lucilia sericata,19,52,Polylectic
Lygaeus equestris,2,2,Polylectic
Macroglossum stellatarum,4,4,Polylectic
Macropis fulvipes,1,1,Oligolectic
Malachius bipustulatus,1,1,Oligolectic
Maniola jurtina,8,11,Polylectic
Megachile alpicola,1,1,Oligolectic
Megachile centuncularis,2,2,Polylectic
Megachile circumcincta,2,2,Polylectic
Megachile ericetorum,4,9,Polylectic
Megachile lagopoda,3,7,Polylectic
Megachile maritima,2,4,Polylectic
Megachile pilidens,3,5,Polylectic
Megachile rotundata,4,7,Polylectic
Megachile versicolor,2,2,Polylectic
Megachile willughbiella,11,18,Polylectic
Melecta albifrons,4,5,Polylectic
Meliscaeva auricollis,1,1,Oligolectic
Melitta haemorrhoidalis,2,2,Polylectic
Melitta nigricans,2,2,Polylectic
Merodon equestris,3,3,Polylectic
Merziella longirostris,1,1,Oligolectic
Microphthalma europaea,1,1,Oligolectic
Miltogramma germari,1,1,Oligolectic
Miltogramma punctata,2,5,Polylectic
Minettia longipennis,1,1,Oligolectic
Myathropa florea,9,17,Polylectic
Myopa testacea,2,2,Polylectic
Nomada bifasciata,1,1,Oligolectic
Nomada fabriciana,1,1,Oligolectic
Nomada flavoguttata,6,7,Polylectic
Nomada fulvicornis,1,1,Oligolectic
Nomada lathburiana,2,2,Polylectic
Nomada zonata,1,1,Oligolectic
Nowickia ferox,2,2,Polylectic
Nysson maculosus,1,1,Oligolectic
Oedemera femorata,2,2,Polylectic
Oedemera lurida,5,8,Polylectic
Oedemera podagrariae,1,2,Oligolectic
Osmia aurulenta,6,9,Polylectic
Osmia bicolor,1,1,Oligolectic
Osmia bicornis,12,24,Polylectic
Osmia brevicornis,4,6,Polylectic
Osmia caerulescens,3,5,Polylectic
Osmia cornuta,14,20,Polylectic
Oxythyrea funesta,13,18,Polylectic
Paragus constrictus,1,1,Oligolectic
Phasia barbifrons,1,1,Oligolectic
Phasia pusilla,1,1,Oligolectic
Philanthus triangulum,3,4,Polylectic
Physocephala rufipes,2,2,Polylectic
Pieris brassicae,2,2,Polylectic
Pieris napi,10,12,Polylectic
Pieris rapae,11,19,Polylectic
Platystoma seminationis,1,1,Oligolectic
Polistes dominula,7,11,Polylectic
Pollenia amentaria,1,1,Oligolectic
Pollenia pediculata,1,1,Oligolectic
Pollenia vagabunda,1,1,Oligolectic
Polygonia c-album,2,3,Polylectic
Polyommatus icarus,5,8,Polylectic
Prosena siberita,1,1,Oligolectic
Pseudovadonia livida,9,10,Polylectic
Pyrrhocoris apterus,2,2,Polylectic
Pyrrhocoris marginatus,1,1,Oligolectic
Sapygina decemguttata,1,1,Oligolectic
Sarcophaga haemorrhoa,1,1,Oligolectic
Sarcophaga incisilobata,3,3,Polylectic
Sarcophaga subvicina,3,5,Polylectic
Scaeva pyrastri,6,6,Polylectic
Scolia hirta,5,6,Polylectic
Sicus ferrugineus,3,4,Polylectic
Sphaerophoria rueppellii,2,2,Polylectic
Sphaerophoria scripta,17,39,Polylectic
Sphecodes albilabris,6,10,Polylectic
Sphecodes ferruginatus,2,2,Polylectic
Sphecodes monilicornis,1,1,Oligolectic
Sphecodes pellucidus,2,2,Polylectic
Sphecodes puncticeps,2,2,Polylectic
Sphex funerarius,4,6,Polylectic
Stelis punctulatissima,2,2,Polylectic
Stenurella melanura,1,1,Oligolectic
Syritta pipiens,5,8,Polylectic
Syrphus vitripennis,8,11,Polylectic
Tachina fera,2,2,Polylectic
Tachina nupta,2,2,Polylectic
Thyreus orbatus,1,1,Oligolectic
Timarcha goettingensis,1,1,Oligolectic
Tiphia femorata,1,3,Oligolectic
Trichius gallicus,2,3,Polylectic
Trichodes apiarius,1,1,Oligolectic
Trichopsomyia flavitarsis,1,1,Oligolectic
Tropinota hirta,1,1,Oligolectic
Valgus hemipterus,4,5,Polylectic
Vespa crabro,4,4,Polylectic
Vespula germanica,7,9,Polylectic
Villa modesta,1,3,Oligolectic
Volucella inanis,1,1,Oligolectic
Volucella pellucens,1,1,Oligolectic
Volucella zonaria,9,13,Polylectic
Xylocopa violacea,20,45,Polylectic
