Pollinator,Families_visited,Genera_visited,Lecticity
Aglais io,6,8,Polylectic
Aglais urticae,1,1,Oligolectic
Ammophila sabulosa,1,1,Oligolectic
Ancistrocerus claripennis,1,1,Oligolectic
Ancistrocerus gazella,2,2,Polylectic
Ancistrocerus nigricornis,1,1,Oligolectic
Andrena bicolor,7,10,Polylectic
Andrena chrysopus,1,1,Oligolectic
Andrena curvungula,1,1,Oligolectic
Andrena flavipes,13,24,Polylectic
Andrena fulvago,1,1,Oligolectic
Andrena gelriae,2,2,Polylectic
Andrena gravida,3,5,Polylectic
Andrena hattorfiana,2,2,Polylectic
Andrena labiata,2,2,Polylectic
Andrena minutula,5,6,Polylectic
Andrena minutuloides,3,5,Polylectic
Andrena nitida,1,1,Oligolectic
Andrena pilipes,3,3,Polylectic
Andrena strohmella,5,5,Polylectic
Anthaxia nitidula,1,1,Oligolectic
Anthidium manicatum,9,25,Polylectic
Anthidium oblongatum,4,4,Polylectic
Anthocharis cardamines,4,5,Polylectic
Anthomyia procellaris,1,1,Oligolectic
Anthophora aestivalis,6,9,Polylectic
Anthophora furcata,1,1,Oligolectic
Anthophora plumipes,26,60,Polylectic
Anthophora quadrimaculata,11,15,Polylectic
Anthrenus scrophulariae,1,1,Oligolectic
Anthrenus verbasci,2,2,Polylectic
Apis mellifera,49,162,Polylectic
Argynnis paphia,1,1,Oligolectic
Aricia agestis,1,1,Oligolectic
Autographa gamma,1,1,Oligolectic
Bellardia viarum,1,1,Oligolectic
Bellardia vulgaris,2,2,Polylectic
Bombus bohemicus,1,1,Oligolectic
Bombus campestris,1,1,Oligolectic
Bombus hortorum,8,17,Polylectic
Bombus hypnorum,10,19,Polylectic
Bombus lapidarius,23,57,Polylectic
Bombus lucorum,3,6,Polylectic
Bombus pascuorum,20,58,Polylectic
Bombus pratorum,12,20,Polylectic
Bombus rupestris,2,7,Polylectic
Bombus soroeensis,2,2,Polylectic
Bombus subterraneus,1,1,Oligolectic
Bombus terrestris,28,78,Polylectic
Bombus vestalis,9,24,Polylectic
Bombylius discolor,8,8,Polylectic
Bombylius major,16,36,Polylectic
