Botanical_garden,Pollinator,Week,Total_visited_plant_richness,Total_plant_richness,percentage_vivited_plant_sp
Halle,Andrenidae,13,1,4,0.25
Halle,Andrenidae,14,5,11,0.45454545454545453
Halle,Andrenidae,15,2,10,0.2
Halle,Andrenidae,17,2,9,0.2222222222222222
Halle,Andrenidae,25,3,9,0.3333333333333333
Halle,Andrenidae,26,1,14,0.07142857142857142
Halle,Andrenidae,27,1,13,0.07692307692307693
Halle,Andrenidae,28,2,13,0.15384615384615385
Halle,Andrenidae,29,3,10,0.3
Halle,Andrenidae,32,1,10,0.1
Halle,Andrenidae,34,1,11,0.09090909090909091
Halle,Anthomyiidae,28,1,13,0.07692307692307693
Halle,Apidae,13,4,4,1
Halle,Apidae,14,9,11,0.8181818181818182
Halle,Apidae,15,10,10,1
Halle,Apidae,16,9,10,0.9
Halle,Apidae,17,8,9,0.8888888888888888
Halle,Apidae,18,8,12,0.6666666666666666
Halle,Apidae,19,6,10,0.6
Halle,Apidae,20,8,8,1
Halle,Apidae,21,6,8,0.75
Halle,Apidae,22,9,11,0.8181818181818182
Halle,Apidae,23,11,12,0.9166666666666666
Halle,Apidae,24,9,12,0.75
Halle,Apidae,25,8,9,0.8888888888888888
Halle,Apidae,26,12,14,0.8571428571428571
Halle,Apidae,27,11,13,0.8461538461538461
Halle,Apidae,28,9,13,0.6923076923076923
Halle,Apidae,29,5,10,0.5
Halle,Apidae,31,9,14,0.6428571428571429
Halle,Apidae,32,5,10,0.5
Halle,Apidae,33,7,12,0.5833333333333334
Halle,Apidae,34,5,11,0.45454545454545453
Halle,Bombyliidae,14,1,11,0.09090909090909091
Halle,Bombyliidae,15,2,10,0.2
Halle,Bombyliidae,16,6,10,0.6
Halle,Bombyliidae,17,4,9,0.4444444444444444
Halle,Bombyliidae,18,7,12,0.5833333333333334
Halle,Bombyliidae,19,4,10,0.4
Halle,Bombyliidae,20,2,8,0.25
Halle,Bombyliidae,21,2,8,0.25
Halle,Bombyliidae,22,1,11,0.09090909090909091
Halle,Bombyliidae,26,1,14,0.07142857142857142
Halle,Buprestidae,25,1,9,0.1111111111111111
Halle,Calliphoridae,15,1,10,0.1
Halle,Calliphoridae,16,1,10,0.1
Halle,Calliphoridae,17,1,9,0.1111111111111111
