Botanical_garden,Pollinator,Total_pollinator_abundance
Halle,Andrena bicolor,1
Halle,Andrena flavipes,6
Halle,Andrena minutula,1
Halle,Andrena pilipes,1
Halle,Andrena strohmella,2
Halle,Anthidium manicatum,8
Halle,Anthidium oblongatum,5
Halle,Anthophora aestivalis,2
Halle,Anthophora plumipes,79
Halle,Anthophora quadrimaculata,33
Halle,Apis mellifera,110
Halle,Bombus cryptarum,2
Halle,Bombus hortorum,2
Halle,Bombus lapidarius,14
Halle,Bombus lucorum,2
Halle,Bombus pascuorum,56
Halle,Bombus pratorum,1
Halle,Bombus rupestris,13
Halle,Bombus terrestris,33
Halle,Bombus vestalis,76
Halle,Chelostoma rapunculi,12
Halle,Coelioxys elongata,1
Halle,Coelioxys rufescens,4
Halle,Colletes daviesanus,68
Halle,Eucera nigrescens,11
Halle,Halictus scabiosae,7
Halle,Halictus subauratus,23
Halle,Halictus tumulorum,13
Halle,Heriades truncorum,1
Halle,Hoplitis adunca,1
Halle,Hylaeus communis,2
Halle,Hylaeus nigritus,35
Halle,Lasioglossum calceatum,9
Halle,Lasioglossum fulvicorne,2
Halle,Lasioglossum laticeps,12
Halle,Lasioglossum leucozonium,1
Halle,Lasioglossum morio,10
Halle,Lasioglossum nitidulum,17
Halle,Lasioglossum pauxillum,7
Halle,Lasioglossum politum,32
Halle,Megachile centuncularis,1
Halle,Megachile ericetorum,7
Halle,Megachile maritima,1
Halle,Megachile pilidens,4
Halle,Megachile willughbiella,16
Halle,Nomada flavoguttata,1
Halle,Nomada fucata,1
Halle,Nomada fulvicornis,1
Halle,Osmia aurulenta,13
Halle,Osmia bicornis,9
Halle,Osmia caerulescens,6
Halle,Osmia cornuta,29
Halle,Sphecodes albilabris,4
Halle,Sphecodes ferruginatus,1
Halle,Sphecodes puncticeps,2
Halle,Thyreus orbatus,1
Halle,Xylocopa violacea,9
Jena,Andrena cf. gelriae,1
Jena,Andrena flavipes,3
Jena,Andrena minutula,1
Jena,Anthidium manicatum,19
Jena,Anthophora plumipes,46
Jena,Anthophora quadrimaculata,2
Jena,Apis mellifera,208
Jena,Bombus hortorum,2
Jena,Bombus hypnorum,7
Jena,Bombus lapidarius,21
Jena,Bombus lucorum,14
Jena,Bombus pascuorum,46
Jena,Bombus pratorum,9
Jena,Bombus soroeensis,1
Jena,Bombus terrestris,54
Jena,Bombus vestalis,19
Jena,Chelostoma rapunculi,8
Jena,Colletes daviesanus,16
Jena,Eucera nigrescens,19
Jena,Halictus scabiosae,2
Jena,Halictus subauratus,1
Jena,Halictus tumulorum,5
Jena,Heriades truncorum,6
Jena,Hylaeus communis,2
Jena,Hylaeus nigritus,23
Jena,Hylaeus punctatus,2
Jena,Lasioglossum interruptum,1
Jena,Lasioglossum morio,8
Jena,Lasioglossum pauxillum,2
Jena,Megachila alpicola,1
Jena,Megachile centuncularis,1
Jena,Megachile circumcincta,3
Jena,Megachile ericetorum,2
Jena,Megachile lagopoda,1
Jena,Megachile rotundata,4
Jena,Megachile willughbiella,20
Jena,Melecta albifrons,4
Jena,Osmia bicornis,4
Jena,Osmia caerulescens,1
Jena,Osmia cornuta,2
Jena,Thyreus orbatus,1
Leipzig,Andrena bicolor,14
Leipzig,Andrena curvungula,6
Leipzig,Andrena flavipes,1
Leipzig,Andrena hattorfiana,1
Leipzig,Andrena labiata,1
Leipzig,Anthidium manicatum,8
Leipzig,Anthophora plumipes,28
Leipzig,Anthophora quadrimaculata,11
Leipzig,Apis mellifera,273
Leipzig,Bombus hortorum,5
Leipzig,Bombus hypnorum,3
Leipzig,Bombus lapidarius,20
Leipzig,Bombus pascuorum,35
Leipzig,Bombus pratorum,1
Leipzig,Bombus terrestris,37
Leipzig,Bombus vestalis,37
Leipzig,Ceratina cyanea,3
Leipzig,Chelostoma rapunculi,4
Leipzig,Coelioxys elongata,10
Leipzig,Eucera nigrescens,14
Leipzig,Hoplitis adunca,4
Leipzig,Hylaeus punctatus,9
Leipzig,Lasioglossum calceatum,1
Leipzig,Lasioglossum laticeps,8
Leipzig,Lasioglossum leucozonium,1
Leipzig,Lasioglossum minutissimum,3
Leipzig,Lasioglossum morio,1
Leipzig,Lasioglossum pallens,2
Leipzig,Lasioglossum pauxillum,7
Leipzig,Lasioglossum politum,7
Leipzig,Lasioglossum pygmaeum,1
Leipzig,Lasioglossum villosulum,1
Leipzig,Megachile circumcincta,2
Leipzig,Megachile maritima,1
Leipzig,Megachile willughbiella,1
Leipzig,Nomada fabriciana,1
Leipzig,Nomada flavoguttata,1
Leipzig,Osmia caerulescens,1
Leipzig,Osmia cornuta,6
Leipzig,Stelis punctulatissima,2
Leipzig,Xylocopa violacea,23
