Botanical_garden,Variable,Value,Success,Season,Week,Type
Leipzig,Observed maxNODF,1.3899426120436902,925,Early,14,Weekly
Leipzig,Mean maxNODF,2.1111454597201598,925,Early,14,Weekly
Leipzig,Median maxNODF,2.223908179269904,925,Early,14,Weekly
Leipzig,q2.5 maxNODF,1.2355045440388357,925,Early,14,Weekly
Leipzig,q97.5 maxNODF,2.7798852240873804,925,Early,14,Weekly
Leipzig,Observed maxNODF,2.2029830346578794,742,Early,15,Weekly
Leipzig,Mean maxNODF,1.8122991396051273,742,Early,15,Weekly
Leipzig,Median maxNODF,1.827035371646088,742,Early,15,Weekly
Leipzig,q2.5 maxNODF,1.2754112305914036,742,Early,15,Weekly
Leipzig,q97.5 maxNODF,2.1256853843190062,742,Early,15,Weekly
Leipzig,Observed maxNODF,1.0908681732478906,449,Early,16,Weekly
Leipzig,Mean maxNODF,1.7319261751025663,449,Early,16,Weekly
Leipzig,Median maxNODF,1.7249352989482274,449,Early,16,Weekly
Leipzig,q2.5 maxNODF,1.1946305149651602,449,Early,16,Weekly
Leipzig,q97.5 maxNODF,2.3651277360181897,449,Early,16,Weekly
Leipzig,Observed maxNODF,2.9891070100649038,259,Early,17,Weekly
Leipzig,Mean maxNODF,2.0487186599579323,259,Early,17,Weekly
Leipzig,Median maxNODF,2.0157937322866615,259,Early,17,Weekly
Leipzig,q2.5 maxNODF,1.3577025626775954,259,Early,17,Weekly
Leipzig,q97.5 maxNODF,2.823616345913914,259,Early,17,Weekly
Leipzig,Observed maxNODF,2.352184498565764,186,Early,18,Weekly
Leipzig,Mean maxNODF,1.813909952070244,186,Early,18,Weekly
Leipzig,Median maxNODF,1.8108087012768186,186,Early,18,Weekly
Leipzig,q2.5 maxNODF,1.3312609420065913,186,Early,18,Weekly
Leipzig,q97.5 maxNODF,2.4375911976208307,186,Early,18,Weekly
Leipzig,Observed maxNODF,0.4517784174059277,9,Early,19,Weekly
Leipzig,Mean maxNODF,2.488015446240882,9,Early,19,Weekly
Leipzig,Median maxNODF,2.624301101107963,9,Early,19,Weekly
Leipzig,q2.5 maxNODF,1.7546703854979349,9,Early,19,Weekly
Leipzig,q97.5 maxNODF,3.200283040336189,9,Early,19,Weekly
Leipzig,Observed maxNODF,0,6,Mid,20,Weekly
Leipzig,Mean maxNODF,2.625498994735243,6,Mid,20,Weekly
Leipzig,Median maxNODF,2.599028064144057,6,Mid,20,Weekly
Leipzig,q2.5 maxNODF,1.8705047784987232,6,Mid,20,Weekly
Leipzig,q97.5 maxNODF,3.300469503685033,6,Mid,20,Weekly
