Botanical_garden,Plant,Week,Total_floral_abundance,Total_sampling_time
Leipzig,Echinops pungens,31,96,3
Leipzig,Echium vulgare,25,100,3
Leipzig,Eranthis hyemalis,23,800,15
Leipzig,Erica carnea,15,400,3
Leipzig,Erica carnea,17,800,3
Leipzig,Eriocapitella hupehensis,28,28,15
Leipzig,Eriocapitella hupehensis,31,110,15
Leipzig,Eriocapitella hupehensis,32,110,15
Leipzig,Eriocapitella hupehensis,33,500,15
Leipzig,Eriocapitella hupehensis,34,250,15
Leipzig,Eriocapitella tomentosa,27,16,3
Leipzig,Erodium manescavi,33,120,3
Leipzig,Erysimum pulchellum,27,58,3
Leipzig,Euphorbia characias,15,380,3
Leipzig,Euphorbia characias,16,400,3
Leipzig,Euphorbia seguieriana,24,3400,3
Leipzig,Euphorbia seguieriana,25,8660,6
Leipzig,Euphorbia seguieriana,27,7000,3
Leipzig,Ferulago aucheri,25,2600,3
Leipzig,Ferulago aucheri,26,12000,3
Leipzig,Fragaria vesca,19,14,15
Leipzig,Fragaria vesca,23,18,15
Leipzig,Geranium macrorrhizum,19,60,3
Leipzig,Geranium macrorrhizum,20,200,3
Leipzig,Geranium macrorrhizum,21,600,3
Leipzig,Geranium sanguineum,21,110,15
Leipzig,Geranium sanguineum,22,130,15
Leipzig,Geranium sanguineum,23,170,15
Leipzig,Geranium sanguineum,24,185,15
Leipzig,Helianthemum nummularium,20,80,15
Leipzig,Helianthemum nummularium,21,60,15
Leipzig,Helianthemum nummularium,22,50,15
Leipzig,Helianthemum nummularium,24,8,15
Leipzig,Helichrysum italicum,28,2000,3
Leipzig,Helleborus foetidus,12,300,15
Leipzig,Helleborus foetidus,14,250,15
Leipzig,Helleborus foetidus,15,200,30
Leipzig,Helleborus foetidus,16,25,15
Leipzig,Helleborus foetidus,17,30,15
Leipzig,Hemerocallis dumortieri,23,130,15
Leipzig,Hemerocallis dumortieri,24,150,15
Leipzig,Hieracium murorum,21,50,3
Leipzig,Hypericum olympicum,23,300,15
Leipzig,Hypericum olympicum,24,800,15
Leipzig,Hypericum olympicum,25,780,15
Leipzig,Hypericum olympicum,26,65,15
Leipzig,Hypericum olympicum,27,56,15
Leipzig,Hypericum olympicum,28,32,15
Leipzig,Hypericum olympicum,29,10,15
Leipzig,Iberis sempervirens,16,240,3
Leipzig,Iberis sempervirens,18,200,15
Leipzig,Iberis sempervirens,19,8000,18
Leipzig,Iberis sempervirens,20,250,15
Leipzig,Iberis sempervirens,21,230,15
Leipzig,Impatiens balsamina,34,76,3
Leipzig,Inula oculus-christi,27,38,3
Leipzig,Klasea radiata,31,2200,3
Leipzig,Knautia arvensis,20,1200,3
Leipzig,Knautia arvensis,21,1200,3
Leipzig,Knautia arvensis,24,1200,3
Leipzig,Knautia dipsacifolia,21,200,3
Leipzig,Knautia macedonica,23,4500,3
Leipzig,Knautia macedonica,25,1750,3
Leipzig,Lamium album,20,38,15
Leipzig,Lamium flexuosum,15,4,3
Leipzig,Lamium hybridum,12,25,5
Leipzig,Lamium orvala,18,320,3
Leipzig,Lamium orvala,19,160,3
Leipzig,Lamium orvala,20,75,3
Leipzig,Lathyrus roseus,21,750,3
Leipzig,Lathyrus vernus,16,100,15
Leipzig,Lathyrus vernus,17,150,15
Leipzig,Lathyrus vernus,18,150,15
Leipzig,Lathyrus vernus,19,75,15
Leipzig,Lavandula angustifolia,26,8500,15
Leipzig,Lavandula angustifolia,27,8300,15
Leipzig,Lavandula angustifolia,28,7600,15
Leipzig,Lavandula angustifolia,29,3300,15
Leipzig,Leucanthemum vulgare,14,4,3
Leipzig,Leucanthemum vulgare,21,50,6
Leipzig,Leucanthemum vulgare,22,20,3
Leipzig,Limnanthes douglasii,20,315,3
Leipzig,Limnanthes douglasii,21,4000,3
Leipzig,Limnanthes douglasii,22,4200,3
Leipzig,Lomelosia cretica,27,660,3
Leipzig,Lomelosia cretica,29,62,3
Leipzig,Lomelosia olgae,32,80,3
Leipzig,Lomelosia olgae,34,65,3
Leipzig,Lotus herbaceus,26,560,3
Leipzig,Lunaria rediviva,20,220,3
Leipzig,Lythrum salicaria,33,95,3
Leipzig,Mahonia aquifolium,15,800,3
Leipzig,Mahonia aquifolium,17,800,3
Leipzig,Medicago falcata,31,1200,3
Leipzig,Menyanthes trifoliata,19,200,15
Leipzig,Monarda fistulosa,29,960,3
Leipzig,Muscari botryoides,12,250,5
Leipzig,Muscari botryoides,14,40,5
Leipzig,Muscari botryoides,15,40,6
Leipzig,Muscari botryoides,16,695,6
Leipzig,Muscari botryoides,17,9,3
Leipzig,Muscari botryoides,18,40,3
Leipzig,Nicotiana tabacum,28,220,3
Leipzig,Origanum vulgare,26,1200,3
Leipzig,Paeonia daurica,18,15,3
Leipzig,Paeonia officinalis,19,22,15
Leipzig,Paeonia officinalis,20,12,15
Leipzig,Papaver orientale,22,12,3
Leipzig,Penstemon bradburyi,24,270,15
Leipzig,Penstemon bradburyi,25,280,15
Leipzig,Penstemon bradburyi,26,120,15
Leipzig,Penstemon bradburyi,27,38,15
Leipzig,Phedimus aizoon,23,686,3
Leipzig,Phlomis russeliana,23,750,3
Leipzig,Platycodon grandiflorus,31,180,15
Leipzig,Platycodon grandiflorus,32,48,15
Leipzig,Polygonatum biflorum,19,350,3
Leipzig,Polygonatum biflorum,20,1320,6
Leipzig,Potentilla,18,30,3
Leipzig,Potentilla kurdica,23,150,3
Leipzig,Potentilla kurdica,24,80,3
Leipzig,Potentilla kurdica,25,308,6
Leipzig,Potentilla recta,23,140,3
Leipzig,Primula denticulata,16,280,15
Leipzig,Primula denticulata,17,270,15
Leipzig,Primula denticulata,18,90,15
Leipzig,Primula denticulata,19,20,15
Leipzig,Primula veris,16,700,15
Leipzig,Primula veris,17,160,15
Leipzig,Primula veris,18,150,15
Leipzig,Psephellus dealbatus,21,50,15
Leipzig,Psephellus dealbatus,22,180,15
Leipzig,Psephellus dealbatus,23,80,15
Leipzig,Psephellus dealbatus,24,18,15
Leipzig,Psephellus dealbatus,25,280,15
Leipzig,Psephellus dealbatus,26,3,15
Leipzig,Pulsatilla vulgaris,15,60,30
Leipzig,Pulsatilla vulgaris,16,100,15
Leipzig,Pulsatilla vulgaris,17,40,15
Leipzig,Pulsatilla vulgaris,18,4,15
Leipzig,Pulsatilla vulgaris,19,52,15
Leipzig,Pycnanthemum tenuifolium,29,720,3
Leipzig,Pycnanthemum tenuifolium,32,320,3
Leipzig,Ranunculus ficaria,16,70,3
Leipzig,Rhaponticoides ruthenica,28,1100,3
Leipzig,Rhododendron brachycarpum,19,620,3
Leipzig,Rhododendron degronianum,16,160,3
Leipzig,Rhododendron thomsonii,18,150,3
Leipzig,Rhododendron wadanum,15,180,6
Leipzig,Ribes sanguineum,12,1000,5
Leipzig,Salvia officinalis,23,180,15
Leipzig,Salvia officinalis,24,60,15
Leipzig,Salvia pratensis,21,6700,9
Leipzig,Salvia pratensis,22,550,6
Leipzig,Salvia ringens,29,38,3
Leipzig,Salvia sclarea,25,260,3
Leipzig,Salvia sclarea,26,660,3
Leipzig,Salvia verticillata,24,1360,3
Leipzig,Salvia verticillata,25,4330,6
Leipzig,Saponaria sicula,28,860,3
Leipzig,Saponaria sicula,31,1600,3
Leipzig,Scabiosa ochroleuca,32,90,15
Leipzig,Scabiosa ochroleuca,33,136,15
Leipzig,Scabiosa ochroleuca,34,90,15
Leipzig,Scabiosa triandra,28,60,3
Leipzig,Scilla luciliae,12,6000,10
Leipzig,Scopolia carniolica,14,140,15
Leipzig,Scopolia carniolica,16,40,15
Leipzig,Seseli montanum,33,130,3
Leipzig,Silene coronaria,26,95,15
Leipzig,Silene coronaria,27,143,18
Leipzig,Silene latifolia,22,18,3
Leipzig,Silene nutans,22,80,3
Leipzig,Silene schafta,31,1500,3
Leipzig,Silene vulgaris,25,80,15
Leipzig,Silene vulgaris,26,12,15
Leipzig,Silene vulgaris,27,8,15
Leipzig,Silphium integrifolium,33,4600,3
Leipzig,Silphium integrifolium,34,4000,3
Leipzig,Solanum incanum,27,1400,3
Leipzig,Stachys byzantina,23,868,3
Leipzig,Stachys byzantina,25,900,3
Leipzig,Stachys byzantina,26,850,3
Leipzig,Succisa pratensis,33,172,6
Leipzig,Succisa pratensis,34,130,3
Leipzig,Symphytum bulbosum,18,350,3
Leipzig,Symphytum bulbosum,19,18,3
Leipzig,Symphytum officinale,21,750,3
Leipzig,Symphytum officinale,22,300,3
Leipzig,Symphytum officinale,23,625,3
Leipzig,Symphytum officinale,25,100,3
Leipzig,Syringa persica,17,400,3
Leipzig,Tanacetum coccineum,22,50,3
Leipzig,Tanacetum vulgare,28,1600,15
Leipzig,Tanacetum vulgare,29,6000,15
Leipzig,Tanacetum vulgare,31,480,15
Leipzig,Taraxacum officinale,16,50,3
Leipzig,Taraxacum officinale,17,6,3
Leipzig,Taraxacum sonchoides,26,98,3
Leipzig,Tetradium daniellii,32,500000,3
Leipzig,Teucrium marum,28,1500,3
Leipzig,Thunbergia alata,34,48,3
Leipzig,Thymus praecox,32,260,3
Leipzig,Thymus pulegioides,22,250,3
Leipzig,Trifolium,24,6360,3
Leipzig,Trifolium,25,250,3
Leipzig,Trommsdorffia maculata,22,30,3
Leipzig,Tropaeolum majus,34,850,3
Leipzig,Tussilago farfara,12,150,10
Leipzig,Tussilago farfara,14,80,15
Leipzig,Tussilago farfara,15,70,15
Leipzig,Tussilago farfara,16,40,15
Leipzig,Tussilago farfara,17,5,15
Leipzig,Verbascum nigrum,27,120,3
Leipzig,Verbena hastata,32,120,3
Leipzig,Vernonia fasciculata,34,230,3
Leipzig,Veronica austriaca,24,860,3
Leipzig,Veronica chamaedrys,18,150,3
Leipzig,Veronica longifolia,29,156,3
Leipzig,Veronica orchidea,29,220,3
Leipzig,Vicia oroboides,20,175,3
Leipzig,Vicia tenuifolia,23,6000,3
Leipzig,Vicia tenuifolia,24,8400,3
Leipzig,Vinca minor,14,240,20
Leipzig,Vinca minor,15,130,15
Leipzig,Vinca minor,16,260,15
Leipzig,Vinca minor,17,280,15
Leipzig,Vinca minor,18,300,15
Leipzig,Vinca minor,19,450,15
Leipzig,Vinca minor,20,80,15
Leipzig,Vincetoxicum hirundinaria,21,380,15
Leipzig,Vincetoxicum hirundinaria,22,300,15
Leipzig,Vincetoxicum hirundinaria,23,110,15
Leipzig,Vincetoxicum hirundinaria,24,110,15
Leipzig,Vincetoxicum hirundinaria,25,130,15
Leipzig,Viola striata,19,2700,3
Leipzig,Viola striata,20,800,3
Leipzig,Viola striata,23,880,3
Leipzig,Viscaria vulgaris,21,3200,15
Leipzig,Viscaria vulgaris,22,2500,15
Leipzig,Vitex negundo,31,17000,3
Leipzig,Vitex negundo,32,17000,3
Leipzig,Vitex negundo,33,10000,3
Leipzig,Vitex negundo,34,120000,3
Leipzig,Weigela florida,17,360,6
Leipzig,Xanthoceras sorbifolium,12,1000,5
