Botanical_garden,Plant,Week,Total_floral_abundance,Total_sampling_time
Halle,Cotoneaster adpressus,18,10000,3
Halle,Crambe maritima,20,10000,3
Halle,Cylindropuntia imbricata,26,280,3
Halle,Daucus carota,28,19,3
Halle,Delosperma cooperi,26,280,3
Halle,Delphinium elatum,23,120,3
Halle,Dianthus carthusianorum,27,250,15
Halle,Dianthus carthusianorum,28,200,16
Halle,Dianthus carthusianorum,29,120,15
Halle,Dianthus carthusianorum,31,50,15
Halle,Dianthus carthusianorum,32,27,15
Halle,Dianthus carthusianorum,33,23,15
Halle,Dictamnus albus,22,240,15
Halle,Dictamnus albus,23,250,15
Halle,Digitalis purpurea,23,200,3
Halle,Drymocallis rupestris,20,400,3
Halle,Drymocallis rupestris,21,1200,3
Halle,Erodium cicutarium,18,500,3
Halle,Eryngium caeruleum,31,1200,3
Halle,Eryngium maritimum,32,140,3
Halle,Eryngium planum,27,250,3
Halle,Erysimum pulchellum,20,5000,3
Halle,Eschscholzia californica,27,40,3
Halle,Ferula assa-foetida,32,7840,3
Halle,Foeniculum vulgare,33,26000,3
Halle,Fragaria vesca,16,100,15
Halle,Fragaria vesca,17,45,15
Halle,Fragaria vesca,19,30,15
Halle,Fragaria vesca,20,22,30
Halle,Fuchsia magellanica,27,150,15
Halle,Fuchsia magellanica,28,200,15
Halle,Fuchsia magellanica,29,420,15
Halle,Fuchsia magellanica,31,170,15
Halle,Fuchsia magellanica,32,150,15
Halle,Fuchsia magellanica,34,70,15
Halle,Galega officinalis,25,2400,6
Halle,Galega officinalis,27,2000,3
Halle,Genista hispanica,19,100000,3
Halle,Genista hispanica,20,8000,3
Halle,Genista radiata,23,100000,3
Halle,Geum rivale,17,33,15
Halle,Geum rivale,19,120,15
Halle,Geum rivale,20,100,15
Halle,Geum ternatum,16,650,6
Halle,Globularia trichosantha,22,100,3
Halle,Gratiola officinalis,23,400,15
Halle,Gratiola officinalis,24,100,15
Halle,Gypsophila paniculata,26,200000,3
Halle,Helianthemum apenninum,23,200,3
Halle,Helianthemum nummularium,24,250,15
Halle,Helianthemum nummularium,25,150,15
Halle,Helianthemum nummularium,31,20,15
Halle,Helianthemum nummularium,33,30,15
Halle,Hemerocallis fulva,27,30,15
Halle,Heuchera grossulariifolia,22,12000,3
Halle,Hippocrepis emerus,17,10000,3
Halle,Hippocrepis emerus,20,3000,3
Halle,Hippomarathrum vulgare,34,12000,3
Halle,Hypericum olympicum,24,200,18
Halle,Hypericum olympicum,25,300,15
Halle,Hypericum olympicum,26,250,15
Halle,Hypericum perforatum,26,100,15
Halle,Hypericum perforatum,27,30,15
Halle,Hypericum perforatum,28,6,15
Halle,Hypochaeris radicata,24,50,3
Halle,Iberis sempervirens,14,3000,15
Halle,Iberis sempervirens,15,8000,15
Halle,Iberis sempervirens,16,20000,15
Halle,Iberis sempervirens,17,45000,15
Halle,Iberis sempervirens,18,45000,15
Halle,Iberis sempervirens,19,50000,15
Halle,Impatiens glandulifera,31,115,3
Halle,Inula helenium,28,22,3
Halle,Ipheion uniflorum,14,100,1
Halle,Knautia dipsacifolia,25,300,3
Halle,Knautia dipsacifolia,26,500,3
Halle,Lamium album,17,150,15
Halle,Lamium album,18,825,15
Halle,Lamium album,19,600,15
Halle,Lamium album,20,300,15
Halle,Lamium album,21,100,15
Halle,Lamium album,23,25,15
Halle,Lamium orvala,19,3000,3
Halle,Lamium purpureum,17,40,3
Halle,Lathyrus vernus,14,75,15
Halle,Lathyrus vernus,15,8000,15
Halle,Lathyrus vernus,16,225,15
Halle,Lathyrus vernus,17,100,15
Halle,Lathyrus vernus,18,200,15
Halle,Lathyrus vernus,19,30,15
Halle,Lathyrus vernus,20,400,18
Halle,Lathyrus vernus,21,200,15
Halle,Lathyrus vernus,22,50,15
Halle,Lavandula angustifolia,25,12500,15
Halle,Lavandula angustifolia,26,30000,15
Halle,Lavandula angustifolia,27,20000,15
Halle,Lavandula angustifolia,28,2000,15
Halle,Lavandula angustifolia,29,100,15
Halle,Leucanthemum vulgare,24,400,15
Halle,Liatris pycnostachya,28,100,3
Halle,Limnanthes douglasii,22,1500,3
Halle,Limonium gmelini,31,875,3
Halle,Limonium sinuatum,27,1850,3
Halle,Lotus corniculatus,23,300,15
Halle,Lotus corniculatus,25,100,15
Halle,Lotus corniculatus,26,175,15
Halle,Lotus corniculatus,27,100,15
Halle,Lotus corniculatus,28,72,15
Halle,Lotus corniculatus,33,29,15
Halle,Lythrum salicaria,28,552,3
Halle,Lythrum salicaria,29,1540,3
Halle,Lythrum salicaria,31,800,3
Halle,Lythrum salicaria,32,1470,3
Halle,Lythrum salicaria,33,750,3
Halle,Lythrum salicaria,34,600,3
Halle,Magnolia stellata,14,600,2
Halle,Malcolmia maritima,16,950,3
Halle,Malva thuringiaca,26,120,3
Halle,Malva thuringiaca,28,60,3
Halle,Malva thuringiaca,31,120,3
Halle,Marrubium peregrinum,28,5000,3
Halle,Marrubium peregrinum,29,2000,3
Halle,Marrubium peregrinum,32,3800,3
Halle,Melilotus albus,27,10000,3
Halle,Melilotus albus,33,23520,3
Halle,Monarda citriodora,29,1200,3
Halle,Moricandia arvensis,34,80,3
Halle,Muscari armeniacum,14,300,3
Halle,Muscari armeniacum,15,200,6
Halle,Muscari botryoides,13,200,30
Halle,Muscari comosum,20,2000,3
Halle,Narcissus pseudonarcissus,14,33,15
Halle,Nepeta clarkei,18,12960,3
Halle,Nepeta clarkei,19,10000,3
Halle,Oenothera odorata,24,20,3
Halle,Origanum vulgare,28,3100,15
Halle,Origanum vulgare,29,500,15
Halle,Origanum vulgare,31,150,15
Halle,Ornithogalum nutans,15,860,6
Halle,Ornithogalum nutans,16,1130,6
Halle,Oxalis acetosella,16,150,15
Halle,Paeonia daurica,19,14,3
Halle,Paeonia officinalis,18,1,3
Halle,Penstemon hartwegii,25,840,3
Halle,Pentaglottis sempervirens,19,500,3
Halle,Pentaglottis sempervirens,21,1500,3
Halle,Phacelia congesta,24,600,3
Halle,Phedimus kamtschaticus,27,800,3
Halle,Phlomoides tuberosa,23,2900,3
Halle,Pieris japonica,14,200000,2
Halle,Pieris japonica,15,100000,3
Halle,Pieris japonica,16,100000,3
Halle,Platycodon grandiflorus,27,120,15
Halle,Platycodon grandiflorus,28,300,15
Halle,Platycodon grandiflorus,29,160,15
Halle,Platycodon grandiflorus,31,26,15
Halle,Platycodon grandiflorus,32,18,15
Halle,Polygonum bistorta,18,65,15
Halle,Potentilla delphinensis,22,50,3
Halle,Potentilla montana,17,150,3
Halle,Potentilla sterilis,14,60,2
Halle,Primula denticulata,18,5,15
Halle,Primula veris,15,200,15
Halle,Primula veris,16,200,15
Halle,Primula veris,17,172,15
Halle,Primula vulgaris,14,100,5
Halle,Primula vulgaris,15,1000,6
Halle,Prunella grandiflora,24,400,3
Halle,Prunus tenella,16,400,3
Halle,Pulmonaria mollis,13,400,60
Halle,Pulmonaria mollis,14,400,2
Halle,Pulmonaria mollis,15,300,6
Halle,Pulmonaria mollis,17,86,3
Halle,Puschkinia scilloides,13,500,15
Halle,Puschkinia scilloides,14,300,15
Halle,Ranunculus bulbosus,18,500,3
Halle,Ranunculus bulbosus,19,500,3
Halle,Ranunculus bulbosus,20,300,3
Halle,Ranunculus caucasicus,22,150,3
Halle,Ranunculus ficaria,15,100,3
Halle,Ranunculus lanuginosus,17,36,3
Halle,Reseda alba,34,272,3
Halle,Reseda lutea,22,180,3
Halle,Reseda odorata,34,3000,3
Halle,Rhododendron smirnowii,20,8000,3
Halle,Rosa foetida,21,500,3
Halle,Rudbeckia laciniata,29,120,3
Halle,Salvia officinalis,22,7200,15
Halle,Salvia officinalis,23,10000,15
Halle,Salvia officinalis,24,100,15
Halle,Salvia officinalis,26,40,15
Halle,Salvia sclarea,25,600,3
Halle,Salvia sclarea,26,910,3
Halle,Saponaria officinalis,28,120,15
Halle,Saponaria officinalis,31,30,15
Halle,Saponaria officinalis,33,180,15
Halle,Satureja montana,31,1000,3
Halle,Satureja montana,33,10000,3
Halle,Satureja montana,34,4500,3
Halle,Scopolia carniolica,15,80,15
Halle,Scutellaria baicalensis,31,200,3
Halle,Seseli gummiferum,29,1,3
Halle,Silene chungtienensis,21,50,3
Halle,Sisymbrium officinale,21,10000,3
Halle,Solanum dulcamara,23,200,15
Halle,Solanum dulcamara,24,20,15
Halle,Solanum dulcamara,25,15,15
Halle,Solanum dulcamara,26,7,15
Halle,Solanum dulcamara,33,8,15
Halle,Stachys byzantina,25,250,3
Halle,Succisella inflexa,33,100,3
Halle,Symphytum officinale,22,400,3
Halle,Syringa tomentella,21,300,3
Halle,Tagetes,31,400,3
Halle,Tagetes erecta,34,200,3
Halle,Tanacetum vulgare,28,4230,15
Halle,Tanacetum vulgare,29,4200,15
Halle,Tanacetum vulgare,31,300,15
Halle,Tanacetum vulgare,32,100,15
