Species,Phenology,Voltinism,Comment,Reference1
Merodon equestris,unimodal,univoltine,NA,https://www.stadtwiesenmensch.de/arten/?S=1&tx_psbfieldguide_fg%5Baction%5D=show&tx_psbfieldguide_fg%5Bcontroller%5D=Species&tx_psbfieldguide_fg%5Bspecies%5D=714&cHash=e5f52c4bd1529b472869bf9cddb91d30
Valgus hemipterus,unimodal,univoltine,NA,https://en.wikipedia.org/wiki/Valgus_hemipterus
Bombylius major,unimodal,univoltine,NA,https://www.wildbienen.de/wbi-p872.htm
Heriades truncorum,unimodal,univoltine,NA,https://bwars.com/bee/megachilidae/heriades-truncorum
Scaeva pyrastri,unimodal,multivoltine,NA,https://www.wallisroughley.ca/Sca1.html
Sicus ferrugineus,unimodal,univoltine,From data,https://www.wildbienen.de/wbi-p811.htm
Cerceris rybyensis,unimodal,univoltine,NA,https://naturportal-suedwest.de/de/insekten-spinnen/systematik/art/hautfluegler-hymenoptera/grabwespen-crabronidae/cerceris/rybyensis/
Cetonia aurata,uni_bimodal,univoltine,NA,https://es.wikipedia.org/wiki/Cetonia_aurata
Bombus hortorum,bimodal,univoltine,overwintered females,https://www.wildbienen.de/huarten.htm
Pseudovadonia livida,unimodal,semivoltine,NA,NA
Calliphora vicina,uni_bimodal,multivoltine,NA,https://doi.org/10.3390/biology12010111
Anthidium manicatum,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Andrena flavipes,bimodal,bivoltine,NA,https://www.wildbienen.de/wba-kale.htm
Anthophora plumipes,unimodal,univoltine,NA,https://www.wildbienen.de/eb-aplum.htm
Stenurella melanura,unimodal,semivoltine,NA,https://www.ukbeetles.co.uk/stenurella-melanura
Sphex funerarius,unimodal,univoltine,From data and spp from the genus,https://en.wikipedia.org/wiki/Priocnemis_perturbator
Bombus campestris,unimodal,univoltine,overwintered females,https://www.wildbienen.de/huarten.htm
Vespula germanica,unimodal,multivoltine,NA,https://bwars.com/wasp/vespidae/vespinae/vespula-germanica#:~:text=of%20temperate%20habitats.-
Sphecodes albilabris,bimodal,univoltine,overwintered females,https://www.wildbienen.de/eb-salbi.htm
Tiphia femorata,unimodal,univoltine,univoltine,https://doi.org/10.12688%2Fwellcomeopenres.18893.1
Graphomya maculata,unimodal,NA,From data,NA
Sapygina decemguttata,unimodal,univoltine,univoltine,https://www.wildbienen.de/wbi-p971.htm
Andrena bicolor,bimodal,bivoltine,bivoltine,https://www.wildbienen.de/eb-abico.htm
Hemipenthes morio,unimodal,univoltine,Typical of this group,
Trichodes apiarius,unimodal,univoltine,NA,https://www.ukbeetles.co.uk/trichodes-spp
Bombus lucorum,unimodal,univoltine,overwintered females,https://www.wildbienen.de/huarten.htm
Andrena nitida,unimodal,univoltine,NA,https://www.wildbienen.de/eb-aniti.htm
Anthomyia procellaris,bimodal,bivoltine,From data,NA
Malachius bipustulatus,unimodal,univoltine,NA,10.12688/wellcomeopenres.17381.1
Anthrenus verbasci,unimodal,multivoltine,NA,https://www.jstor.org/stable/3598986
Physocephala rufipes,unimodal,univoltine,NA,https://www.wildbienen.de/wbi-p811.htm
Chelostoma rapunculi,unimodal,univoltine,NA,https://www.wildbienen.de/eb-crapu.htm
Timarcha goettingensis,uni_bimodal,NA,From data,NA
Anthaxia nitidula,unimodal,univoltine,likely univoltine,https://www.ukbeetles.co.uk/buprestidae
Andrena minutula,unimodal,bivoltine,bivoltine but the pattern is unimodal,https://www.wildbienen.de/wba-kale.htm
Meliscaeva auricollis,unimodal,bivoltine,NA,https://www.naturespot.org.uk/species/meliscaeva-auricollis
Oedemera podagrariae,unimodal,univoltine,From data and like the other beetles so far,NA
Hedychrum nobile,unimodal,univoltine,NA,https://www.wildbienen.de/wbi-p941.htm
Megachile ericetorum,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Osmia caerulescens,uni_bimodal,uni-bivoltine,NA,https://www.wildbienen.de/wba-kale.htm
Bombus rupestris,unimodal,univoltine,overwintered females,https://www.wildbienen.de/huarten.htm
Bombus vestalis,unimodal,univoltine,overwintered females,https://www.wildbienen.de/huarten.htm
Tropinota hirta,unimodal,univoltine,NA,https://www.gbif.org/es/species/1084559
Platystoma seminationis,unimodal,univoltine,From data,NA
Scolia hirta,unimodal,univoltine,univoltine,https://doi.org/10.1127/entom.gen/26/2002/107
Bombylius discolor,unimodal,univoltine,NA,https://www.deutschlands-natur.de/tierarten/fliegen/cheilosia-fasciata/
Andrena hattorfiana,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Hylaeus communis,unimodal,uni-bivoltine,NA,https://www.wildbienen.de/wba-kale.htm
Lucilia sericata,unimodal,multivoltine,NA,https://arthropodafotos.de/dbsp.php?lang=deu&sc=0&ta=t_38_dipt_bra_call&sci=Lucilia&scisp=sericata
Anthophora furcata,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Hoplitis adunca,unimodal,univoltine,NA,https://bwars.com/bee/megachilidae/hoplitis-adunca
Megachile willughbiella,unimodal,uni-biboltine,NA,https://www.wildbienen.de/wba-kale.htm
Melitta haemorrhoidalis,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Minettia longipennis,unimodal,univoltine,NA,http://dx.doi.org/10.11646/zootaxa.3012.1.2
Trichius gallicus,unimodal,univoltine,From data and like the other beetles so far,NA
Colletes daviesanus,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Lygaeus equestris,unimodal,univoltine,NA,https://doi.org/10.2307/3544381
Ammophila sabulosa,unimodal,uni-biboltine,From data,
Andrena gravida,unimodal,univoltine,NA,https://www.wildbienen.de/eb-agrav.htm
Oedemera femorata,unimodal,univoltine,From data and like the other beetles so far,https://arthropodafotos.de/dbsp.php?lang=deu&sc=0&ta=t_35_coleo_pol_oed&sci=Oedemera&scisp=femorata
Stelis punctulatissima,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Ectemnius lituratus,unimodal,univoltine,NA,https://bwars.com/wasp/crabronidae/crabroninae/ectemnius-lituratus
Colletes hederae,unimodal,univoltine,NA,https://bwars.com/bee/colletidae/colletes-hederae
Halictus subauratus,unimodal,univoltine,overwintered females,https://www.wildbienen.de/wba-kale.htm
Ancistrocerus nigricornis,unimodal,univoltine,NA,https://de.wikipedia.org/wiki/Ancistrocerus_nigricornis
Oedemera lurida,unimodal,univoltine,From data and like the other beetles so far,NA
Chelostoma florisomne,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Volucella inanis,unimodal,univoltine,NA,https://www.researchgate.net/publication/338194873_Effects_of_the_2018_heatwave_on_British_hoverflies_Diptera_Syrphidae
Nomada zonata,bimodal,bivoltine,bivoltine,https://www.wildbienen.de/eb-nzona.htm
Andrena labiata,unimodal,univoltine,univoltine,https://www.wildbienen.de/eb-alabi.htm
Eristalinus aeneus,unimodal,multivoltine,From data,NA
Nowickia ferox,unimodal,multivoltine,From data,NA
Eucera nigrescens,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Melecta albifrons,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Anthophora quadrimaculata,unimodal,univoltine,NA,https://www.wildbienen.de/eb-aquad.htm
Syrphus vitripennis,unimodal,multivoltine,From data,NA
Hylaeus hyalinatus,unimodal,univoltine,NA,https://www.wildbienen.de/eb-hhyal.htm
Hylaeus signatus,unimodal,univoltine,NA,https://bwars.com/bee/colletidae/hylaeus-signatus
Lasioglossum calceatum,unimodal,univoltine,NA,https://www.wildbienen.de/eb-lcalc.htm
Nomada bifasciata,unimodal,univoltine,NA,https://www.wildbienen.de/eb-nbifa.htm
Anthidium oblongatum,unimodal,univoltine,NA,https://www.wildbienen.de/eb-anthi.htm
Nomada fulvicornis,unimodal,univoltine,NA,https://bwars.com/bee/apidae/nomada-fulvicornis
Megachile centuncularis,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mcirc.htm
Nomada lathburiana,unimodal,univoltine,NA,https://www.wildbienen.de/wba-kale.htm
Myopa testacea,unimodal,univoltine,NA,https://treatment.plazi.org/id/03E26E36D042FFD6FF18E3EFE4B8FCF2
Bombus bohemicus,unimodal,univoltine,NA,https://www.wildbienen.de/b-bohemi.htm
Lasioglossum morio,unimodal,univoltine,NA,https://www.wildbienen.de/eb-lmori.htm
Dolichovespula saxonica,unimodal,multivoltine,https://de.wikipedia.org/wiki/S%C3%A4chsische_Wespe,NA
Melitta nigricans,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mnigc.htm
Osmia bicolor,unimodal,univoltine,NA,https://www.wildbienen.de/eb-obico.htm
Nomada fabriciana,unimodal,univoltine,NA,https://www.wildbienen.de/eb-nlath.htm
Osmia aurulenta,unimodal,univoltine,NA,https://www.wildbienen.de/eb-oauru.htm
Halictus tumulorum,unimodal,univoltine,NA,https://www.wildbienen.de/eb-htumu.htm
Megachile maritima,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mmari.htm
