Botanical_garden,av_dprime_plant,av_dprime_plant_upper,av_dprime_plant_lower,av_dprime_poll,av_dprime_poll_upper,av_dprime_poll_lower,H2prime
Leipzig,0.4820199016516963,0.843443216453888,0.11850993540046216,0.40727892687223305,0.9125484910095705,0.2091112565082226,0.5808170568041068
Halle,0.7261824868968735,0.9107816788992767,0.22679772973850287,0.5866102658268325,0.9080126417790284,0.18826424093792732,0.6758802902128157
Jena,0.6585850350539294,0.9319788088962708,0.13634367208396558,0.31866821857286504,0.9570840170850242,0,0.675081555370899
