Botanical_garden,dprime,sp_name,Type
Leipzig,0.667910373127684,Achillea filipendulina,Plant
Leipzig,0.888547970798491,Aethionema grandiflorum,Plant
Leipzig,0.5376217700906869,Ajuga reptans,Plant
Leipzig,0.33888449249074915,Alisma plantago-aquatica,Plant
Leipzig,0.22386409114313358,Allium senescens,Plant
Leipzig,0.6049089222065062,Allium ursinum,Plant
Leipzig,0.7245178591472595,Anaphalis margaritacea,Plant
Leipzig,0.614859612136823,Anchusa officinalis,Plant
Leipzig,0.4246337847090491,Anemone nemorosa,Plant
Leipzig,0.8250143916927763,Anemone sylvestris,Plant
Leipzig,0.5208800705075595,Anthericum ramosum,Plant
Leipzig,0.23806358755022924,Aquilegia vulgaris,Plant
Leipzig,0.7596955221858152,Aster mongolicus,Plant
Leipzig,0.39880081607218393,Aurinia saxatilis,Plant
Leipzig,0.8320722339125134,Bellis perennis,Plant
Leipzig,0.6451211482514888,Bergenia purpurascens,Plant
Leipzig,0.37945015687631467,Caltha palustris,Plant
Leipzig,0.5805685735698976,Campanula alliariifolia,Plant
Leipzig,0.5097287215429749,Carduus,Plant
Leipzig,0.3265366671728383,Carlina vulgaris,Plant
Leipzig,0.3750973065889713,Centaurea nigra,Plant
Leipzig,0.40605923822161943,Centaurea sadleriana,Plant
Leipzig,0.27852800420480006,Centaurea scabiosa,Plant
Leipzig,0.8658346983413623,Centranthus ruber,Plant
Leipzig,0.3478687213509041,Cephalaria gigantea,Plant
Leipzig,0.20867612088011975,Cephalaria procera,Plant
Leipzig,0.06609452270026378,Cephalaria uralensis,Plant
Leipzig,0.22402263911507816,Chaenorhinum origanifolium,Plant
Leipzig,0.6425907258101068,Cichorium intybus,Plant
Leipzig,0.25020086512359013,Cirsium vulgare,Plant
Leipzig,0.455751979457503,Clinopodium album,Plant
Leipzig,0.2211915690245749,Convallaria majalis,Plant
Leipzig,0.23918611513293125,Convolvulus tricolor,Plant
Leipzig,0.8394399098066674,Coristospermum lucidum,Plant
Leipzig,0.5705546226292878,Corydalis cava,Plant
Leipzig,0.38083020263679535,Cuphea viscosissima,Plant
Leipzig,0.6308272960426798,Dasiphora davurica,Plant
Leipzig,0.19899722712012932,Dasiphora fruticosa,Plant
Leipzig,0.32814579980894065,Dictamnus albus,Plant
Leipzig,0.09620325783642056,Echinacea angustifolia,Plant
Leipzig,0.363764421012533,Echinops pungens,Plant
Leipzig,0.7424722047705539,Echium vulgare,Plant
Leipzig,0.31162596325486747,Eranthis hyemalis,Plant
Leipzig,0.29741902481445043,Erica carnea,Plant
Leipzig,0.42241147027630155,Eriocapitella hupehensis,Plant
Leipzig,0.24152574415044617,Eriocapitella tomentosa,Plant
Leipzig,0.22889754072550958,Erodium manescavi,Plant
Leipzig,0.38916193375874586,Erysimum pulchellum,Plant
Leipzig,0.47690988428537756,Euphorbia characias,Plant
Leipzig,0.5914575292531761,Euphorbia seguieriana,Plant
Leipzig,0.660092435461105,Ferulago aucheri,Plant
Leipzig,0.8436210026616586,Fragaria vesca,Plant
Leipzig,0.3261243962373861,Geranium macrorrhizum,Plant
Leipzig,0.5961148776628593,Geranium sanguineum,Plant
Leipzig,0.33058765747039737,Helianthemum nummularium,Plant
Leipzig,0.7953680995136708,Helichrysum italicum,Plant
Leipzig,0.2982764813374115,Helleborus foetidus,Plant
Leipzig,0.24553315698838218,Hemerocallis dumortieri,Plant
Leipzig,0.34741367866686007,Hieracium murorum,Plant
Leipzig,0.34688202194917345,Hypericum olympicum,Plant
Leipzig,0.7704206195630562,Iberis sempervirens,Plant
Leipzig,0.20479931915165303,Impatiens balsamina,Plant
Leipzig,0.748509150458403,Inula oculus-christi,Plant
Leipzig,0.24456931945630303,Klasea radiata,Plant
Leipzig,0.38405806894778327,Knautia arvensis,Plant
Leipzig,0.638387238482437,Knautia dipsacifolia,Plant
Leipzig,0.37240719814790024,Knautia macedonica,Plant
Leipzig,0.5376217700906869,Lamium album,Plant
Leipzig,0.11734138596194185,Lamium flexuosum,Plant
Leipzig,0.19779902204407035,Lamium hybridum,Plant
Leipzig,0.8085445888123469,Lamium orvala,Plant
Leipzig,0.3224725076039252,Lathyrus roseus,Plant
Leipzig,0.6589227134019779,Lathyrus vernus,Plant
Leipzig,0.5104310620252285,Lavandula angustifolia,Plant
Leipzig,0.4813860354435117,Leucanthemum vulgare,Plant
Leipzig,0.354948234279307,Limnanthes douglasii,Plant
Leipzig,0.38051249125050535,Lomelosia cretica,Plant
Leipzig,0.2696424317714126,Lomelosia olgae,Plant
Leipzig,0.23946804259115995,Lotus herbaceus,Plant
Leipzig,0.44727455520476084,Lunaria rediviva,Plant
Leipzig,0.3264221099075909,Lythrum salicaria,Plant
Leipzig,0.30248171239497523,Mahonia aquifolium,Plant
Leipzig,0.763206010589365,Medicago falcata,Plant
