Species,Phenology,Comment,Reference
Gonepteryx rhamni,NA,NA,NA
Aglais io,NA,NA,NA
Harmonia axyridis,NA,NA,NA
Pieris rapae,NA,NA,NA
Apis mellifera,NA,NA,NA
Maniola jurtina,NA,NA,NA
Pyrrhocoris apterus,NA,NA,NA
Autographa gamma,NA,NA,NA
Bombus pascuorum,NA,NA,NA
Coccinella septempunctata,NA,NA,NA
Pieris napi,NA,NA,NA
Bombus terrestris,NA,NA,NA
Vespa crabro,NA,NA,NA
Cydalima perspectalis,NA,NA,NA
Episyrphus balteatus,NA,NA,NA
Eristalis tenax,NA,NA,NA
Anthocharis cardamines,NA,NA,NA
Polygonia c-album,NA,NA,NA
Polyommatus icarus,NA,NA,NA
Graphosoma italicum,NA,NA,NA
Pieris brassicae,NA,NA,NA
Bombus lapidarius,NA,NA,NA
Aricia agestis,NA,NA,NA
Issoria lathonia,NA,NA,NA
Macroglossum stellatarum,NA,NA,NA
Aglais urticae,NA,NA,NA
Myathropa florea,NA,NA,NA
Volucella zonaria,NA,NA,NA
Eristalis pertinax,NA,NA,NA
Argynnis paphia,NA,NA,NA
Sphaerophoria scripta,NA,NA,NA
Bombus pratorum,NA,NA,NA
Eupeodes corollae,NA,NA,NA
Oxythyrea funesta,NA,NA,NA
Halictus scabiosae,NA,NA,NA
Bombus hypnorum,NA,NA,NA
Osmia cornuta,NA,NA,NA
Philanthus triangulum,NA,NA,NA
Osmia bicornis,NA,NA,NA
Volucella pellucens,NA,NA,NA
Xylocopa violacea,NA,NA,NA
Carpocoris fuscispinus,NA,NA,NA
Polistes dominula,NA,NA,NA
Tachina fera,NA,NA,NA
Syritta pipiens,NA,NA,NA
Merodon equestris,NA,NA,NA
Valgus hemipterus,NA,NA,NA
Bombylius major,NA,NA,NA
Heriades truncorum,NA,NA,NA
Scaeva pyrastri,NA,NA,NA
Sicus ferrugineus,NA,NA,NA
Cerceris rybyensis,NA,NA,NA
Cetonia aurata,NA,NA,NA
Bombus hortorum,NA,NA,NA
Pseudovadonia livida,NA,NA,NA
Calliphora vicina,NA,NA,NA
Anthidium manicatum,NA,NA,NA
Andrena flavipes,NA,NA,NA
Anthophora plumipes,NA,NA,NA
Stenurella melanura,NA,NA,NA
Sphex funerarius,NA,NA,NA
Bombus campestris,NA,NA,NA
Vespula germanica,NA,NA,NA
Sphecodes albilabris,NA,NA,NA
Tiphia femorata,NA,NA,NA
Graphomya maculata,NA,NA,NA
Sapygina decemguttata,NA,NA,NA
Andrena bicolor,NA,NA,NA
Hemipenthes morio,NA,NA,NA
Trichodes apiarius,NA,NA,NA
Bombus lucorum,NA,NA,NA
Andrena nitida,NA,NA,NA
Anthomyia procellaris,NA,NA,NA
Malachius bipustulatus,NA,NA,NA
Anthrenus verbasci,NA,NA,NA
Physocephala rufipes,NA,NA,NA
Chelostoma rapunculi,NA,NA,NA
Timarcha goettingensis,NA,NA,NA
Anthaxia nitidula,NA,NA,NA
Andrena minutula,NA,NA,NA
Meliscaeva auricollis,NA,NA,NA
Oedemera podagrariae,NA,NA,NA
Hedychrum nobile,NA,NA,NA
Megachile ericetorum,NA,NA,NA
Osmia caerulescens,NA,NA,NA
Bombus rupestris,NA,NA,NA
Bombus vestalis,NA,NA,NA
Tropinota hirta,NA,NA,NA
Platystoma seminationis,NA,NA,NA
Scolia hirta,NA,NA,NA
Bombylius discolor,NA,NA,NA
Andrena hattorfiana,NA,NA,NA
Hylaeus communis,NA,NA,NA
Lucilia sericata,NA,NA,NA
Anthophora furcata,NA,NA,NA
Hoplitis adunca,NA,NA,NA
Megachile willughbiella,NA,NA,NA
Melitta haemorrhoidalis,NA,NA,NA
Minettia longipennis,NA,NA,NA
Trichius gallicus,NA,NA,NA
Colletes daviesanus,NA,NA,NA
Lygaeus equestris,NA,NA,NA
Ammophila sabulosa,NA,NA,NA
Andrena gravida,NA,NA,NA
Oedemera femorata,NA,NA,NA
Stelis punctulatissima,NA,NA,NA
Ectemnius lituratus,NA,NA,NA
Colletes hederae,NA,NA,NA
Halictus subauratus,NA,NA,NA
Ancistrocerus nigricornis,NA,NA,NA
Oedemera lurida,NA,NA,NA
Chelostoma florisomne,NA,NA,NA
Volucella inanis,NA,NA,NA
Nomada zonata,NA,NA,NA
Andrena labiata,NA,NA,NA
Eristalinus aeneus,NA,NA,NA
Nowickia ferox,NA,NA,NA
Eucera nigrescens,NA,NA,NA
Melecta albifrons,NA,NA,NA
Anthophora quadrimaculata,NA,NA,NA
Syrphus vitripennis,NA,NA,NA
Hylaeus hyalinatus,NA,NA,NA
Hylaeus signatus,NA,NA,NA
Lasioglossum calceatum,NA,NA,NA
Nomada bifasciata,NA,NA,NA
Anthidium oblongatum,NA,NA,NA
Nomada fulvicornis,NA,NA,NA
Megachile centuncularis,NA,NA,NA
Nomada lathburiana,NA,NA,NA
Myopa testacea,NA,NA,NA
Bombus bohemicus,NA,NA,NA
Lasioglossum morio,NA,NA,NA
Dolichovespula saxonica,NA,NA,NA
