normalised_degree,Botanical_garden,Week,sp_name,Type
0.17073170731707318,Leipzig,26,Achillea filipendulina,Plant
0.0975609756097561,Leipzig,26,Anthericum ramosum,Plant
0.04878048780487805,Leipzig,26,Aquilegia vulgaris,Plant
0.17073170731707318,Leipzig,26,Campanula alliariifolia,Plant
0.14634146341463414,Leipzig,26,Carduus,Plant
0.21951219512195122,Leipzig,26,Centaurea scabiosa,Plant
0.024390243902439025,Leipzig,26,Centranthus ruber,Plant
0.24390243902439024,Leipzig,26,Ferulago aucheri,Plant
0.21951219512195122,Leipzig,26,Hypericum olympicum,Plant
0.1951219512195122,Leipzig,26,Lavandula angustifolia,Plant
0.12195121951219512,Leipzig,26,Lotus herbaceus,Plant
0.04878048780487805,Leipzig,26,Origanum vulgare,Plant
0.07317073170731707,Leipzig,26,Penstemon bradburyi,Plant
0.024390243902439025,Leipzig,26,Psephellus dealbatus,Plant
0.04878048780487805,Leipzig,26,Salvia sclarea,Plant
0.024390243902439025,Leipzig,26,Silene coronaria,Plant
0.024390243902439025,Leipzig,26,Silene vulgaris,Plant
0.14634146341463414,Leipzig,26,Stachys byzantina,Plant
0.17073170731707318,Leipzig,26,Taraxacum sonchoides,Plant
0.21052631578947367,Leipzig,26,Coccinella septempunctata,Pollinator
0.05263157894736842,Leipzig,26,Colletes daviesanus,Pollinator
0.05263157894736842,Leipzig,26,Halictus subauratus,Pollinator
0.05263157894736842,Leipzig,26,Hedychrum gerstaeckeri,Pollinator
0.05263157894736842,Leipzig,26,Hylaeus nigritus,Pollinator
0.15789473684210525,Leipzig,26,Lucilia sericata,Pollinator
0.05263157894736842,Leipzig,26,Miltogramma punctata,Pollinator
0.7894736842105263,Leipzig,26,Apis mellifera,Pollinator
0.05263157894736842,Leipzig,26,Cerceris quinquefasciata,Pollinator
0.2631578947368421,Leipzig,26,Episyrphus balteatus,Pollinator
0.10526315789473684,Leipzig,26,Nomada flavoguttata,Pollinator
0.3157894736842105,Leipzig,26,Bombus terrestris,Pollinator
0.05263157894736842,Leipzig,26,Andrena bicolor,Pollinator
0.10526315789473684,Leipzig,26,Andrena pilipes,Pollinator
0.15789473684210525,Leipzig,26,Halictus scabiosae,Pollinator
0.21052631578947367,Leipzig,26,Megachile lagopoda,Pollinator
0.05263157894736842,Leipzig,26,Melitta haemorrhoidalis,Pollinator
0.05263157894736842,Leipzig,26,Bombus hypnorum,Pollinator
0.3157894736842105,Leipzig,26,Bombus pascuorum,Pollinator
0.05263157894736842,Leipzig,26,Bombus pratorum,Pollinator
0.10526315789473684,Leipzig,26,Bombus lapidarius,Pollinator
0.05263157894736842,Leipzig,26,Dryas iulia,Pollinator
0.05263157894736842,Leipzig,26,Oxythyrea funesta,Pollinator
0.05263157894736842,Leipzig,26,Hylaeus punctatus,Pollinator
0.05263157894736842,Leipzig,26,Lygaeus equestris,Pollinator
0.10526315789473684,Leipzig,26,Pseudovadonia livida,Pollinator
0.05263157894736842,Leipzig,26,Sarcophaga,Pollinator
0.05263157894736842,Leipzig,26,Tiphia femorata,Pollinator
0.05263157894736842,Leipzig,26,Villa modesta,Pollinator
0.10526315789473684,Leipzig,26,Anthidium manicatum,Pollinator
0.10526315789473684,Leipzig,26,Eupeodes corollae,Pollinator
0.10526315789473684,Leipzig,26,Lasioglossum leucozonium,Pollinator
0.05263157894736842,Leipzig,26,Lasioglossum politum,Pollinator
0.10526315789473684,Leipzig,26,Sphaerophoria scripta,Pollinator
0.10526315789473684,Leipzig,26,Bombus hortorum,Pollinator
0.10526315789473684,Leipzig,26,Hoplitis adunca,Pollinator
0.10526315789473684,Leipzig,26,Pieris rapae,Pollinator
0.10526315789473684,Leipzig,26,Xylocopa violacea,Pollinator
0.05263157894736842,Leipzig,26,Megachile ericetorum,Pollinator
0.05263157894736842,Leipzig,26,Lasioglossum villosulum,Pollinator
0.05263157894736842,Leipzig,26,Oedemera lurida,Pollinator
0.2,Leipzig,27,Achillea filipendulina,Plant
0.16,Leipzig,27,Anthericum ramosum,Plant
0.16,Leipzig,27,Centaurea scabiosa,Plant
0.08,Leipzig,27,Centranthus ruber,Plant
0.08,Leipzig,27,Eriocapitella tomentosa,Plant
0.16,Leipzig,27,Erysimum pulchellum,Plant
0.16,Leipzig,27,Euphorbia seguieriana,Plant
0.28,Leipzig,27,Hypericum olympicum,Plant
0.12,Leipzig,27,Inula oculus-christi,Plant
0.4,Leipzig,27,Lavandula angustifolia,Plant
0.08,Leipzig,27,Lomelosia cretica,Plant
0.16,Leipzig,27,Penstemon bradburyi,Plant
0.2,Leipzig,27,Silene coronaria,Plant
0.04,Leipzig,27,Silene vulgaris,Plant
0.08,Leipzig,27,Solanum incanum,Plant
0.12,Leipzig,27,Verbascum nigrum,Plant
