Plant_genus,Pollinator_genus,Total_interactions,Botanical_garden,Week,Sample
Xanthoceras,Apis,2,Leipzig,12,7
Xanthoceras,Bombus,3,Leipzig,12,7
Helleborus,Andrena,1,Leipzig,12,8
Muscari,Apis,3,Leipzig,12,8
Ribes,Andrena,2,Leipzig,12,8
Ribes,Apis,2,Leipzig,12,8
Ribes,Bombus,1,Leipzig,12,8
Scilla,Andrena,6,Leipzig,12,8
Scilla,Apis,13,Leipzig,12,8
Scilla,Bombus,2,Leipzig,12,8
Scilla,Lasioglossum,1,Leipzig,12,8
Scilla,Osmia,10,Leipzig,12,8
Tussilago,Apis,1,Leipzig,12,8
Xanthoceras,Andrena,1,Leipzig,12,8
Xanthoceras,Apis,2,Leipzig,12,8
Xanthoceras,Bombus,3,Leipzig,12,8
Helleborus,Andrena,1,Leipzig,12,9
Muscari,Apis,3,Leipzig,12,9
Ribes,Andrena,2,Leipzig,12,9
Ribes,Apis,2,Leipzig,12,9
Ribes,Bombus,1,Leipzig,12,9
Scilla,Andrena,6,Leipzig,12,9
Scilla,Apis,13,Leipzig,12,9
Scilla,Bombus,2,Leipzig,12,9
Scilla,Lasioglossum,1,Leipzig,12,9
Scilla,Osmia,10,Leipzig,12,9
Tussilago,Apis,1,Leipzig,12,9
Xanthoceras,Andrena,1,Leipzig,12,9
Xanthoceras,Apis,2,Leipzig,12,9
Xanthoceras,Bombus,3,Leipzig,12,9
Helleborus,Andrena,1,Leipzig,12,10
Muscari,Apis,3,Leipzig,12,10
Ribes,Andrena,2,Leipzig,12,10
Ribes,Apis,2,Leipzig,12,10
Ribes,Bombus,1,Leipzig,12,10
Scilla,Andrena,6,Leipzig,12,10
Scilla,Apis,13,Leipzig,12,10
Scilla,Bombus,2,Leipzig,12,10
Scilla,Lasioglossum,1,Leipzig,12,10
Scilla,Osmia,10,Leipzig,12,10
Tussilago,Apis,1,Leipzig,12,10
Xanthoceras,Andrena,1,Leipzig,12,10
Xanthoceras,Apis,2,Leipzig,12,10
Xanthoceras,Bombus,3,Leipzig,12,10
Helleborus,Apis,6,Leipzig,14,1
Helleborus,Osmia,3,Leipzig,14,1
Muscari,Apis,2,Leipzig,14,1
Muscari,Lasioglossum,1,Leipzig,14,1
Muscari,Osmia,1,Leipzig,14,1
Scopolia,Apis,2,Leipzig,14,1
Scopolia,Lasioglossum,3,Leipzig,14,1
Scopolia,Osmia,2,Leipzig,14,1
Tussilago,Apis,4,Leipzig,14,1
Tussilago,Lasioglossum,1,Leipzig,14,1
Tussilago,Osmia,1,Leipzig,14,1
Vinca,Apis,6,Leipzig,14,1
Vinca,Lasioglossum,2,Leipzig,14,1
Vinca,Osmia,2,Leipzig,14,1
Helleborus,Apis,6,Leipzig,14,2
Helleborus,Osmia,3,Leipzig,14,2
Muscari,Apis,2,Leipzig,14,2
Muscari,Lasioglossum,1,Leipzig,14,2
Muscari,Osmia,1,Leipzig,14,2
Scopolia,Apis,2,Leipzig,14,2
Scopolia,Lasioglossum,3,Leipzig,14,2
Scopolia,Osmia,2,Leipzig,14,2
Tussilago,Apis,4,Leipzig,14,2
Tussilago,Lasioglossum,1,Leipzig,14,2
Tussilago,Osmia,1,Leipzig,14,2
Vinca,Apis,6,Leipzig,14,2
Vinca,Lasioglossum,2,Leipzig,14,2
Vinca,Osmia,2,Leipzig,14,2
Helleborus,Apis,6,Leipzig,14,3
Helleborus,Osmia,3,Leipzig,14,3
Muscari,Apis,2,Leipzig,14,3
Muscari,Lasioglossum,1,Leipzig,14,3
Muscari,Osmia,1,Leipzig,14,3
Scopolia,Apis,2,Leipzig,14,3
Scopolia,Lasioglossum,3,Leipzig,14,3
Scopolia,Osmia,2,Leipzig,14,3
Tussilago,Apis,4,Leipzig,14,3
Tussilago,Lasioglossum,1,Leipzig,14,3
Tussilago,Osmia,1,Leipzig,14,3
Vinca,Apis,6,Leipzig,14,3
Vinca,Lasioglossum,2,Leipzig,14,3
Vinca,Osmia,2,Leipzig,14,3
Helleborus,Apis,6,Leipzig,14,4
Helleborus,Osmia,3,Leipzig,14,4
Muscari,Apis,2,Leipzig,14,4
Muscari,Lasioglossum,1,Leipzig,14,4
Muscari,Osmia,1,Leipzig,14,4
Scopolia,Apis,2,Leipzig,14,4
Scopolia,Lasioglossum,3,Leipzig,14,4
Scopolia,Osmia,2,Leipzig,14,4
Tussilago,Apis,4,Leipzig,14,4
Tussilago,Lasioglossum,1,Leipzig,14,4
Tussilago,Osmia,1,Leipzig,14,4
Vinca,Apis,6,Leipzig,14,4
Vinca,Lasioglossum,2,Leipzig,14,4
Vinca,Osmia,2,Leipzig,14,4
Helleborus,Apis,6,Leipzig,14,5
Helleborus,Osmia,3,Leipzig,14,5
Muscari,Apis,2,Leipzig,14,5
Muscari,Lasioglossum,1,Leipzig,14,5
Muscari,Osmia,1,Leipzig,14,5
Scopolia,Apis,2,Leipzig,14,5
Scopolia,Lasioglossum,3,Leipzig,14,5
Scopolia,Osmia,2,Leipzig,14,5
Tussilago,Apis,4,Leipzig,14,5
Tussilago,Lasioglossum,1,Leipzig,14,5
Tussilago,Osmia,1,Leipzig,14,5
Vinca,Apis,6,Leipzig,14,5
Vinca,Lasioglossum,2,Leipzig,14,5
Vinca,Osmia,2,Leipzig,14,5
Helleborus,Apis,6,Leipzig,14,6
Helleborus,Osmia,3,Leipzig,14,6
Muscari,Apis,2,Leipzig,14,6
Muscari,Lasioglossum,1,Leipzig,14,6
Muscari,Osmia,1,Leipzig,14,6
Scopolia,Apis,2,Leipzig,14,6
Scopolia,Lasioglossum,3,Leipzig,14,6
Scopolia,Osmia,2,Leipzig,14,6
Tussilago,Apis,4,Leipzig,14,6
Tussilago,Lasioglossum,1,Leipzig,14,6
Tussilago,Osmia,1,Leipzig,14,6
Vinca,Apis,6,Leipzig,14,6
Vinca,Lasioglossum,2,Leipzig,14,6
Vinca,Osmia,2,Leipzig,14,6
Helleborus,Apis,6,Leipzig,14,7
Helleborus,Osmia,3,Leipzig,14,7
Muscari,Apis,2,Leipzig,14,7
Muscari,Lasioglossum,1,Leipzig,14,7
Muscari,Osmia,1,Leipzig,14,7
Scopolia,Apis,2,Leipzig,14,7
Scopolia,Lasioglossum,3,Leipzig,14,7
Scopolia,Osmia,2,Leipzig,14,7
Tussilago,Apis,4,Leipzig,14,7
Tussilago,Lasioglossum,1,Leipzig,14,7
Tussilago,Osmia,1,Leipzig,14,7
Vinca,Apis,6,Leipzig,14,7
Vinca,Lasioglossum,2,Leipzig,14,7
Vinca,Osmia,2,Leipzig,14,7
Helleborus,Apis,6,Leipzig,14,8
Helleborus,Osmia,3,Leipzig,14,8
Muscari,Apis,2,Leipzig,14,8
Muscari,Lasioglossum,1,Leipzig,14,8
Muscari,Osmia,1,Leipzig,14,8
Scopolia,Apis,2,Leipzig,14,8
Scopolia,Lasioglossum,3,Leipzig,14,8
Scopolia,Osmia,2,Leipzig,14,8
Tussilago,Apis,4,Leipzig,14,8
Tussilago,Lasioglossum,1,Leipzig,14,8
Tussilago,Osmia,1,Leipzig,14,8
Vinca,Apis,6,Leipzig,14,8
Vinca,Lasioglossum,2,Leipzig,14,8
Vinca,Osmia,2,Leipzig,14,8
Helleborus,Apis,6,Leipzig,14,9
Helleborus,Osmia,3,Leipzig,14,9
Muscari,Apis,2,Leipzig,14,9
Muscari,Lasioglossum,1,Leipzig,14,9
Muscari,Osmia,1,Leipzig,14,9
Scopolia,Apis,2,Leipzig,14,9
Scopolia,Lasioglossum,3,Leipzig,14,9
Scopolia,Osmia,2,Leipzig,14,9
Tussilago,Apis,4,Leipzig,14,9
Tussilago,Lasioglossum,1,Leipzig,14,9
Tussilago,Osmia,1,Leipzig,14,9
Vinca,Apis,6,Leipzig,14,9
Vinca,Lasioglossum,2,Leipzig,14,9
Vinca,Osmia,2,Leipzig,14,9
Helleborus,Apis,6,Leipzig,14,10
Helleborus,Osmia,3,Leipzig,14,10
Muscari,Apis,2,Leipzig,14,10
Muscari,Lasioglossum,1,Leipzig,14,10
Muscari,Osmia,1,Leipzig,14,10
Scopolia,Apis,2,Leipzig,14,10
Scopolia,Lasioglossum,3,Leipzig,14,10
Scopolia,Osmia,2,Leipzig,14,10
Tussilago,Apis,4,Leipzig,14,10
Tussilago,Lasioglossum,1,Leipzig,14,10
Tussilago,Osmia,1,Leipzig,14,10
Vinca,Apis,6,Leipzig,14,10
Vinca,Lasioglossum,2,Leipzig,14,10
Vinca,Osmia,2,Leipzig,14,10
Erica,Anthophora,5,Leipzig,15,1
Erica,Apis,45,Leipzig,15,1
Erica,Bombus,4,Leipzig,15,1
Euphorbia,Anthophora,9,Leipzig,15,1
Euphorbia,Apis,35,Leipzig,15,1
Euphorbia,Bombus,7,Leipzig,15,1
Helleborus,Anthophora,2,Leipzig,15,1
Helleborus,Apis,13,Leipzig,15,1
Helleborus,Bombus,2,Leipzig,15,1
Mahonia,Anthophora,13,Leipzig,15,1
Mahonia,Apis,67,Leipzig,15,1
Mahonia,Bombus,6,Leipzig,15,1
Mahonia,Bombylius,2,Leipzig,15,1
Muscari,Anthophora,1,Leipzig,15,1
Muscari,Apis,4,Leipzig,15,1
Pulsatilla,Anthophora,3,Leipzig,15,1
Pulsatilla,Apis,4,Leipzig,15,1
Pulsatilla,Bombus,2,Leipzig,15,1
Rhododendron,Anthophora,2,Leipzig,15,1
Rhododendron,Apis,15,Leipzig,15,1
Rhododendron,Bombus,1,Leipzig,15,1
Tussilago,Anthophora,1,Leipzig,15,1
Tussilago,Apis,3,Leipzig,15,1
Tussilago,Bombus,2,Leipzig,15,1
Vinca,Anthophora,5,Leipzig,15,1
Vinca,Apis,13,Leipzig,15,1
Vinca,Bombus,2,Leipzig,15,1
Erica,Anthophora,5,Leipzig,15,2
Erica,Apis,45,Leipzig,15,2
Erica,Bombus,4,Leipzig,15,2
Euphorbia,Anthophora,9,Leipzig,15,2
Euphorbia,Apis,35,Leipzig,15,2
Euphorbia,Bombus,7,Leipzig,15,2
Helleborus,Anthophora,2,Leipzig,15,2
Helleborus,Apis,13,Leipzig,15,2
Helleborus,Bombus,2,Leipzig,15,2
Mahonia,Anthophora,13,Leipzig,15,2
Mahonia,Apis,67,Leipzig,15,2
Mahonia,Bombus,6,Leipzig,15,2
Mahonia,Bombylius,2,Leipzig,15,2
Muscari,Anthophora,1,Leipzig,15,2
Muscari,Apis,4,Leipzig,15,2
Pulsatilla,Anthophora,3,Leipzig,15,2
Pulsatilla,Apis,4,Leipzig,15,2
Pulsatilla,Bombus,2,Leipzig,15,2
Rhododendron,Anthophora,2,Leipzig,15,2
Rhododendron,Apis,15,Leipzig,15,2
Rhododendron,Bombus,1,Leipzig,15,2
Tussilago,Anthophora,1,Leipzig,15,2
Tussilago,Apis,3,Leipzig,15,2
Tussilago,Bombus,2,Leipzig,15,2
Vinca,Anthophora,5,Leipzig,15,2
Vinca,Apis,13,Leipzig,15,2
Vinca,Bombus,2,Leipzig,15,2
Erica,Anthophora,5,Leipzig,15,3
Erica,Apis,45,Leipzig,15,3
Erica,Bombus,4,Leipzig,15,3
Euphorbia,Anthophora,9,Leipzig,15,3
Euphorbia,Apis,35,Leipzig,15,3
Euphorbia,Bombus,7,Leipzig,15,3
Helleborus,Anthophora,2,Leipzig,15,3
Helleborus,Apis,13,Leipzig,15,3
Helleborus,Bombus,2,Leipzig,15,3
Mahonia,Anthophora,13,Leipzig,15,3
Mahonia,Apis,67,Leipzig,15,3
Mahonia,Bombus,6,Leipzig,15,3
Mahonia,Bombylius,2,Leipzig,15,3
Muscari,Anthophora,1,Leipzig,15,3
Muscari,Apis,4,Leipzig,15,3
Pulsatilla,Anthophora,3,Leipzig,15,3
Pulsatilla,Apis,4,Leipzig,15,3
Pulsatilla,Bombus,2,Leipzig,15,3
Rhododendron,Anthophora,2,Leipzig,15,3
Rhododendron,Apis,15,Leipzig,15,3
Rhododendron,Bombus,1,Leipzig,15,3
Tussilago,Anthophora,1,Leipzig,15,3
Tussilago,Apis,3,Leipzig,15,3
Tussilago,Bombus,2,Leipzig,15,3
Vinca,Anthophora,5,Leipzig,15,3
Vinca,Apis,13,Leipzig,15,3
Vinca,Bombus,2,Leipzig,15,3
Erica,Anthophora,5,Leipzig,15,4
Erica,Apis,45,Leipzig,15,4
Erica,Bombus,4,Leipzig,15,4
Euphorbia,Anthophora,9,Leipzig,15,4
Euphorbia,Apis,35,Leipzig,15,4
Euphorbia,Bombus,7,Leipzig,15,4
Helleborus,Anthophora,2,Leipzig,15,4
Helleborus,Apis,13,Leipzig,15,4
Helleborus,Bombus,2,Leipzig,15,4
Mahonia,Anthophora,13,Leipzig,15,4
Mahonia,Apis,67,Leipzig,15,4
Mahonia,Bombus,6,Leipzig,15,4
Mahonia,Bombylius,2,Leipzig,15,4
Muscari,Anthophora,1,Leipzig,15,4
Muscari,Apis,4,Leipzig,15,4
Pulsatilla,Anthophora,3,Leipzig,15,4
Pulsatilla,Apis,4,Leipzig,15,4
Pulsatilla,Bombus,2,Leipzig,15,4
Rhododendron,Anthophora,2,Leipzig,15,4
Rhododendron,Apis,15,Leipzig,15,4
Rhododendron,Bombus,1,Leipzig,15,4
Tussilago,Anthophora,1,Leipzig,15,4
Tussilago,Apis,3,Leipzig,15,4
Tussilago,Bombus,2,Leipzig,15,4
Vinca,Anthophora,5,Leipzig,15,4
Vinca,Apis,13,Leipzig,15,4
Vinca,Bombus,2,Leipzig,15,4
Erica,Anthophora,5,Leipzig,15,5
Erica,Apis,45,Leipzig,15,5
Erica,Bombus,4,Leipzig,15,5
Euphorbia,Anthophora,9,Leipzig,15,5
Euphorbia,Apis,35,Leipzig,15,5
Euphorbia,Bombus,7,Leipzig,15,5
Helleborus,Anthophora,2,Leipzig,15,5
Helleborus,Apis,13,Leipzig,15,5
Helleborus,Bombus,2,Leipzig,15,5
Mahonia,Anthophora,13,Leipzig,15,5
Mahonia,Apis,67,Leipzig,15,5
Mahonia,Bombus,6,Leipzig,15,5
Mahonia,Bombylius,2,Leipzig,15,5
Muscari,Anthophora,1,Leipzig,15,5
Muscari,Apis,4,Leipzig,15,5
Pulsatilla,Anthophora,3,Leipzig,15,5
Pulsatilla,Apis,4,Leipzig,15,5
Pulsatilla,Bombus,2,Leipzig,15,5
Rhododendron,Anthophora,2,Leipzig,15,5
Rhododendron,Apis,15,Leipzig,15,5
Rhododendron,Bombus,1,Leipzig,15,5
Tussilago,Anthophora,1,Leipzig,15,5
Tussilago,Apis,3,Leipzig,15,5
Tussilago,Bombus,2,Leipzig,15,5
Vinca,Anthophora,5,Leipzig,15,5
Vinca,Apis,13,Leipzig,15,5
Vinca,Bombus,2,Leipzig,15,5
Erica,Anthophora,5,Leipzig,15,6
Erica,Apis,45,Leipzig,15,6
Erica,Bombus,4,Leipzig,15,6
Euphorbia,Anthophora,9,Leipzig,15,6
Euphorbia,Apis,35,Leipzig,15,6
Euphorbia,Bombus,7,Leipzig,15,6
Helleborus,Anthophora,2,Leipzig,15,6
Helleborus,Apis,13,Leipzig,15,6
Helleborus,Bombus,2,Leipzig,15,6
Mahonia,Anthophora,13,Leipzig,15,6
Mahonia,Apis,67,Leipzig,15,6
Mahonia,Bombus,6,Leipzig,15,6
Mahonia,Bombylius,2,Leipzig,15,6
Muscari,Anthophora,1,Leipzig,15,6
Muscari,Apis,4,Leipzig,15,6
Pulsatilla,Anthophora,3,Leipzig,15,6
Pulsatilla,Apis,4,Leipzig,15,6
Pulsatilla,Bombus,2,Leipzig,15,6
Rhododendron,Anthophora,2,Leipzig,15,6
Rhododendron,Apis,15,Leipzig,15,6
Rhododendron,Bombus,1,Leipzig,15,6
Tussilago,Anthophora,1,Leipzig,15,6
Tussilago,Apis,3,Leipzig,15,6
Tussilago,Bombus,2,Leipzig,15,6
Vinca,Anthophora,5,Leipzig,15,6
Vinca,Apis,13,Leipzig,15,6
Vinca,Bombus,2,Leipzig,15,6
Erica,Anthophora,5,Leipzig,15,7
Erica,Apis,45,Leipzig,15,7
Erica,Bombus,4,Leipzig,15,7
Euphorbia,Anthophora,9,Leipzig,15,7
Euphorbia,Apis,35,Leipzig,15,7
Euphorbia,Bombus,7,Leipzig,15,7
Helleborus,Anthophora,2,Leipzig,15,7
Helleborus,Apis,13,Leipzig,15,7
Helleborus,Bombus,2,Leipzig,15,7
Mahonia,Anthophora,13,Leipzig,15,7
Mahonia,Apis,67,Leipzig,15,7
Mahonia,Bombus,6,Leipzig,15,7
Mahonia,Bombylius,2,Leipzig,15,7
Muscari,Anthophora,1,Leipzig,15,7
Muscari,Apis,4,Leipzig,15,7
Pulsatilla,Anthophora,3,Leipzig,15,7
Pulsatilla,Apis,4,Leipzig,15,7
Pulsatilla,Bombus,2,Leipzig,15,7
Rhododendron,Anthophora,2,Leipzig,15,7
Rhododendron,Apis,15,Leipzig,15,7
Rhododendron,Bombus,1,Leipzig,15,7
Tussilago,Anthophora,1,Leipzig,15,7
Tussilago,Apis,3,Leipzig,15,7
Tussilago,Bombus,2,Leipzig,15,7
Vinca,Anthophora,5,Leipzig,15,7
Vinca,Apis,13,Leipzig,15,7
Vinca,Bombus,2,Leipzig,15,7
Erica,Anthophora,5,Leipzig,15,8
Erica,Apis,45,Leipzig,15,8
Erica,Bombus,4,Leipzig,15,8
Euphorbia,Anthophora,9,Leipzig,15,8
Euphorbia,Apis,35,Leipzig,15,8
Euphorbia,Bombus,7,Leipzig,15,8
Helleborus,Anthophora,2,Leipzig,15,8
Helleborus,Apis,13,Leipzig,15,8
Helleborus,Bombus,2,Leipzig,15,8
Mahonia,Anthophora,13,Leipzig,15,8
Mahonia,Apis,67,Leipzig,15,8
Mahonia,Bombus,6,Leipzig,15,8
Mahonia,Bombylius,2,Leipzig,15,8
Muscari,Anthophora,1,Leipzig,15,8
Muscari,Apis,4,Leipzig,15,8
Pulsatilla,Anthophora,3,Leipzig,15,8
Pulsatilla,Apis,4,Leipzig,15,8
Pulsatilla,Bombus,2,Leipzig,15,8
Rhododendron,Anthophora,2,Leipzig,15,8
Rhododendron,Apis,15,Leipzig,15,8
Rhododendron,Bombus,1,Leipzig,15,8
Tussilago,Anthophora,1,Leipzig,15,8
Tussilago,Apis,3,Leipzig,15,8
Tussilago,Bombus,2,Leipzig,15,8
Vinca,Anthophora,5,Leipzig,15,8
Vinca,Apis,13,Leipzig,15,8
Vinca,Bombus,2,Leipzig,15,8
Erica,Anthophora,5,Leipzig,15,9
Erica,Apis,45,Leipzig,15,9
Erica,Bombus,4,Leipzig,15,9
Euphorbia,Anthophora,9,Leipzig,15,9
Euphorbia,Apis,35,Leipzig,15,9
Euphorbia,Bombus,7,Leipzig,15,9
Helleborus,Anthophora,2,Leipzig,15,9
Helleborus,Apis,13,Leipzig,15,9
Helleborus,Bombus,2,Leipzig,15,9
Mahonia,Anthophora,13,Leipzig,15,9
Mahonia,Apis,67,Leipzig,15,9
Mahonia,Bombus,6,Leipzig,15,9
Mahonia,Bombylius,2,Leipzig,15,9
Muscari,Anthophora,1,Leipzig,15,9
Muscari,Apis,4,Leipzig,15,9
Pulsatilla,Anthophora,3,Leipzig,15,9
Pulsatilla,Apis,4,Leipzig,15,9
Pulsatilla,Bombus,2,Leipzig,15,9
Rhododendron,Anthophora,2,Leipzig,15,9
Rhododendron,Apis,15,Leipzig,15,9
Rhododendron,Bombus,1,Leipzig,15,9
Tussilago,Anthophora,1,Leipzig,15,9
Tussilago,Apis,3,Leipzig,15,9
Tussilago,Bombus,2,Leipzig,15,9
Vinca,Anthophora,5,Leipzig,15,9
Vinca,Apis,13,Leipzig,15,9
Vinca,Bombus,2,Leipzig,15,9
Erica,Anthophora,5,Leipzig,15,10
Erica,Apis,45,Leipzig,15,10
Erica,Bombus,4,Leipzig,15,10
Euphorbia,Anthophora,9,Leipzig,15,10
Euphorbia,Apis,35,Leipzig,15,10
Euphorbia,Bombus,7,Leipzig,15,10
Helleborus,Anthophora,2,Leipzig,15,10
Helleborus,Apis,13,Leipzig,15,10
Helleborus,Bombus,2,Leipzig,15,10
Mahonia,Anthophora,13,Leipzig,15,10
Mahonia,Apis,67,Leipzig,15,10
Mahonia,Bombus,6,Leipzig,15,10
Mahonia,Bombylius,2,Leipzig,15,10
Muscari,Anthophora,1,Leipzig,15,10
Muscari,Apis,4,Leipzig,15,10
Pulsatilla,Anthophora,3,Leipzig,15,10
Pulsatilla,Apis,4,Leipzig,15,10
Pulsatilla,Bombus,2,Leipzig,15,10
Rhododendron,Anthophora,2,Leipzig,15,10
Rhododendron,Apis,15,Leipzig,15,10
Rhododendron,Bombus,1,Leipzig,15,10
Tussilago,Anthophora,1,Leipzig,15,10
Tussilago,Apis,3,Leipzig,15,10
Tussilago,Bombus,2,Leipzig,15,10
Vinca,Anthophora,5,Leipzig,15,10
Vinca,Apis,13,Leipzig,15,10
Vinca,Bombus,2,Leipzig,15,10
Bellis,Andrena,1,Leipzig,16,1
Bellis,Anthophora,1,Leipzig,16,1
Bellis,Apis,3,Leipzig,16,1
Bergenia,Anthophora,1,Leipzig,16,1
Bergenia,Bombylius,2,Leipzig,16,1
Bergenia,Lasioglossum,1,Leipzig,16,1
Bergenia,Nomada,1,Leipzig,16,1
Corydalis,Andrena,4,Leipzig,16,1
Corydalis,Anthophora,3,Leipzig,16,1
Corydalis,Apis,11,Leipzig,16,1
Corydalis,Bombylius,6,Leipzig,16,1
Corydalis,Lasioglossum,1,Leipzig,16,1
Corydalis,Osmia,2,Leipzig,16,1
Euphorbia,Andrena,1,Leipzig,16,1
Euphorbia,Anthophora,3,Leipzig,16,1
Euphorbia,Apis,10,Leipzig,16,1
Euphorbia,Bombylius,4,Leipzig,16,1
Euphorbia,Calliphora,1,Leipzig,16,1
Euphorbia,Lasioglossum,2,Leipzig,16,1
Euphorbia,Nomada,1,Leipzig,16,1
Euphorbia,Osmia,2,Leipzig,16,1
Helleborus,Anthophora,1,Leipzig,16,1
Iberis,Andrena,1,Leipzig,16,1
Iberis,Anthophora,1,Leipzig,16,1
Iberis,Apis,5,Leipzig,16,1
Iberis,Bombylius,3,Leipzig,16,1
Iberis,Lasioglossum,1,Leipzig,16,1
Lathyrus,Anthophora,2,Leipzig,16,1
Lathyrus,Apis,1,Leipzig,16,1
Lathyrus,Osmia,2,Leipzig,16,1
Muscari,Andrena,2,Leipzig,16,1
Muscari,Anthophora,8,Leipzig,16,1
Muscari,Apis,15,Leipzig,16,1
Muscari,Bombylius,10,Leipzig,16,1
Muscari,Calliphora,1,Leipzig,16,1
Muscari,Lasioglossum,1,Leipzig,16,1
Muscari,Osmia,5,Leipzig,16,1
Primula,Andrena,1,Leipzig,16,1
Primula,Anthophora,11,Leipzig,16,1
Primula,Apis,17,Leipzig,16,1
Primula,Bombylius,12,Leipzig,16,1
Primula,Lasioglossum,1,Leipzig,16,1
Pulsatilla,Andrena,2,Leipzig,16,1
Pulsatilla,Anthophora,1,Leipzig,16,1
Pulsatilla,Apis,4,Leipzig,16,1
Pulsatilla,Bombylius,1,Leipzig,16,1
Pulsatilla,Myopa,1,Leipzig,16,1
Ranunculus,Andrena,1,Leipzig,16,1
Ranunculus,Apis,1,Leipzig,16,1
Ranunculus,Xylocopa,1,Leipzig,16,1
Rhododendron,Anthophora,1,Leipzig,16,1
Rhododendron,Apis,4,Leipzig,16,1
Rhododendron,Bombylius,1,Leipzig,16,1
Taraxacum,Anthophora,1,Leipzig,16,1
