Plant_genus,Pollinator_genus,Total_interactions,Botanical_garden,Week,Sample
Helleborus,Andrena,1,Leipzig,12,1
Muscari,Apis,3,Leipzig,12,1
Ribes,Andrena,2,Leipzig,12,1
Ribes,Apis,2,Leipzig,12,1
Ribes,Bombus,1,Leipzig,12,1
Scilla,Andrena,6,Leipzig,12,1
Scilla,Apis,13,Leipzig,12,1
Scilla,Bombus,2,Leipzig,12,1
Scilla,Lasioglossum,1,Leipzig,12,1
Scilla,Osmia,10,Leipzig,12,1
Tussilago,Apis,1,Leipzig,12,1
Xanthoceras,Andrena,1,Leipzig,12,1
Xanthoceras,Apis,2,Leipzig,12,1
Xanthoceras,Bombus,3,Leipzig,12,1
Helleborus,Andrena,1,Leipzig,12,2
Muscari,Apis,3,Leipzig,12,2
Ribes,Andrena,2,Leipzig,12,2
Ribes,Apis,2,Leipzig,12,2
Ribes,Bombus,1,Leipzig,12,2
Scilla,Andrena,6,Leipzig,12,2
Scilla,Apis,13,Leipzig,12,2
Scilla,Bombus,2,Leipzig,12,2
Scilla,Lasioglossum,1,Leipzig,12,2
Scilla,Osmia,10,Leipzig,12,2
Tussilago,Apis,1,Leipzig,12,2
Xanthoceras,Andrena,1,Leipzig,12,2
Xanthoceras,Apis,2,Leipzig,12,2
Xanthoceras,Bombus,3,Leipzig,12,2
Helleborus,Andrena,1,Leipzig,12,3
Muscari,Apis,3,Leipzig,12,3
Ribes,Andrena,2,Leipzig,12,3
Ribes,Apis,2,Leipzig,12,3
Ribes,Bombus,1,Leipzig,12,3
Scilla,Andrena,6,Leipzig,12,3
Scilla,Apis,13,Leipzig,12,3
Scilla,Bombus,2,Leipzig,12,3
Scilla,Lasioglossum,1,Leipzig,12,3
Scilla,Osmia,10,Leipzig,12,3
Tussilago,Apis,1,Leipzig,12,3
Xanthoceras,Andrena,1,Leipzig,12,3
Xanthoceras,Apis,2,Leipzig,12,3
Xanthoceras,Bombus,3,Leipzig,12,3
Helleborus,Andrena,1,Leipzig,12,4
Muscari,Apis,3,Leipzig,12,4
Ribes,Andrena,2,Leipzig,12,4
Ribes,Apis,2,Leipzig,12,4
Ribes,Bombus,1,Leipzig,12,4
Scilla,Andrena,6,Leipzig,12,4
Scilla,Apis,13,Leipzig,12,4
Scilla,Bombus,2,Leipzig,12,4
Scilla,Lasioglossum,1,Leipzig,12,4
Scilla,Osmia,10,Leipzig,12,4
Tussilago,Apis,1,Leipzig,12,4
Xanthoceras,Andrena,1,Leipzig,12,4
Xanthoceras,Apis,2,Leipzig,12,4
Xanthoceras,Bombus,3,Leipzig,12,4
Helleborus,Andrena,1,Leipzig,12,5
Muscari,Apis,3,Leipzig,12,5
Ribes,Andrena,2,Leipzig,12,5
Ribes,Apis,2,Leipzig,12,5
Ribes,Bombus,1,Leipzig,12,5
Scilla,Andrena,6,Leipzig,12,5
Scilla,Apis,13,Leipzig,12,5
Scilla,Bombus,2,Leipzig,12,5
Scilla,Lasioglossum,1,Leipzig,12,5
Scilla,Osmia,10,Leipzig,12,5
Tussilago,Apis,1,Leipzig,12,5
Xanthoceras,Andrena,1,Leipzig,12,5
Xanthoceras,Apis,2,Leipzig,12,5
Xanthoceras,Bombus,3,Leipzig,12,5
Helleborus,Andrena,1,Leipzig,12,6
Muscari,Apis,3,Leipzig,12,6
Ribes,Andrena,2,Leipzig,12,6
Ribes,Apis,2,Leipzig,12,6
Ribes,Bombus,1,Leipzig,12,6
Scilla,Andrena,6,Leipzig,12,6
Scilla,Apis,13,Leipzig,12,6
Scilla,Bombus,2,Leipzig,12,6
Scilla,Lasioglossum,1,Leipzig,12,6
Scilla,Osmia,10,Leipzig,12,6
Tussilago,Apis,1,Leipzig,12,6
Xanthoceras,Andrena,1,Leipzig,12,6
Xanthoceras,Apis,2,Leipzig,12,6
Xanthoceras,Bombus,3,Leipzig,12,6
Helleborus,Andrena,1,Leipzig,12,7
Muscari,Apis,3,Leipzig,12,7
Ribes,Andrena,2,Leipzig,12,7
Ribes,Apis,2,Leipzig,12,7
Ribes,Bombus,1,Leipzig,12,7
Scilla,Andrena,6,Leipzig,12,7
Scilla,Apis,13,Leipzig,12,7
Scilla,Bombus,2,Leipzig,12,7
Scilla,Lasioglossum,1,Leipzig,12,7
Scilla,Osmia,10,Leipzig,12,7
Tussilago,Apis,1,Leipzig,12,7
Xanthoceras,Andrena,1,Leipzig,12,7
