Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Asteraceae,Non-bee Hymenoptera,-31.799824184026146,0.16206131514391875,5.784050838917484e-10,0.2919332437716517,110,5,22,Avoidance
Asteraceae,Other Diptera,13.835351858970627,0.14102165183737206,2.0516514138182965e-10,0.2616858226253971,205,5,41,Preference
Asteraceae,Syrphids,25.940349403741244,0.19436906792020672,2.2150376288767146e-9,0.3282730897143015,100,5,20,Preference
Boraginaceae,Andrenidae,11.253525240990621,0.15273272907995805,0.13956890657335685,0.06973554915234205,15,1,15,Preference
Boraginaceae,Apidae,3.42958222243804,0.3883217045501363,0.38137077880901216,0.22623761573620496,30,1,30,Avoidance
Boraginaceae,Bombylids,4.996290362711214,0.44546886187629003,0.4317047063182527,0.13402399318268687,5,1,5,Avoidance
Boraginaceae,Coleoptera,-2.8042833727157164,0.19817593618389806,0.09562399086908605,0.2248427138812602,14,1,14,Avoidance
Boraginaceae,Colletidae,-5.156705339005803,0.0947745035143335,0.06437218269900082,0.058767601567052186,10,1,10,Avoidance
Boraginaceae,Halictidae,-3.0018753544698997,0.09340161202496017,0.07179568298739346,0.05179334068567962,23,1,23,Avoidance
Boraginaceae,Lepidoptera,-2.6131769520517687,0.15223304644474545,0.15223304644474545,0.018086669664016508,2,1,2,Avoidance
Boraginaceae,Megachilidae,-7.812659944607051,0.26046730986623995,0.23967317946190234,0.11835876539093643,28,1,28,Avoidance
Boraginaceae,Melittidae,-0.21453462331873124,0.19894660605739461,0.21926784546635128,0.03550178483750487,3,1,3,Avoidance
Boraginaceae,Non-bee Hymenoptera,0.3188949409485285,0.14413331060538057,0.10838907109775242,0.09827737895838531,22,1,22,Avoidance
Boraginaceae,Other Diptera,-0.353210585182356,0.11053218445815126,0.07691791348062013,0.09417358233599785,41,1,41,Avoidance
Boraginaceae,Syrphids,-2.2000548273334477,0.24650139105647215,0.1625760177563051,0.18850878105243402,20,1,20,Avoidance
Brassicaceae,Andrenidae,1.4160821087020097,0.008291492653549707,0.0064356344435206325,0.006093890350765321,15,1,15,Avoidance
Brassicaceae,Apidae,-25.42681786773682,0.06685782424501968,0.0357924293582601,0.12245960361196823,30,1,30,Avoidance
Brassicaceae,Bombylids,30.908774417081187,0.052083673495424636,0.045228882726000105,0.026310617318633454,5,1,5,Preference
Brassicaceae,Coleoptera,1.0162909269351426,0.022510208619833584,0.0035533634950764073,0.04095961103439854,14,1,14,Avoidance
Brassicaceae,Colletidae,-2.8939594753759232,0.004084018191002282,0.001937721250315188,0.003856758419802011,10,1,10,Avoidance
Brassicaceae,Halictidae,-2.4439738050793007,0.0039025467853966074,0.0022859005826596592,0.0036803135083333456,23,1,23,Avoidance
Brassicaceae,Lepidoptera,22.9703588609328,0.0074301077417294565,0.0074301077417294565,0.0014194487993399495,2,1,2,Preference
