Botanical_garden,Plant_family,Week,Total_floral_abundance_family,Total_sampling_time_family
Halle,Aizoaceae,26,280,3
Halle,Amaryllidaceae,14,133,16
Halle,Amaryllidaceae,18,300,3
Halle,Amaryllidaceae,25,2500,3
Halle,Amaryllidaceae,26,3500,3
Halle,Amaryllidaceae,33,18125,6
Halle,Amaryllidaceae,34,900,3
Halle,Apiaceae,19,100000,3
Halle,Apiaceae,23,1000,3
Halle,Apiaceae,27,250,3
Halle,Apiaceae,28,19,3
Halle,Apiaceae,29,1,3
Halle,Apiaceae,31,1200,3
Halle,Apiaceae,32,7980,6
Halle,Apiaceae,33,26000,3
Halle,Apiaceae,34,12000,3
Halle,Apocynaceae,26,300,3
Halle,Apocynaceae,28,75,15
Halle,Apocynaceae,29,20,15
Halle,Apocynaceae,31,28,15
Halle,Apocynaceae,32,32,15
Halle,Apocynaceae,33,252,15
Halle,Apocynaceae,34,250,15
Halle,Asparagaceae,13,700,45
Halle,Asparagaceae,14,600,18
Halle,Asparagaceae,15,1060,12
Halle,Asparagaceae,16,1130,6
Halle,Asparagaceae,20,2000,3
Halle,Asparagaceae,24,1000,3
Halle,Asphodelaceae,27,30,15
Halle,Asteraceae,15,1980,9
Halle,Asteraceae,16,230,12
Halle,Asteraceae,17,80,6
Halle,Asteraceae,24,450,18
Halle,Asteraceae,26,2000,15
Halle,Asteraceae,27,1000,15
Halle,Asteraceae,28,12102,36
Halle,Asteraceae,29,19420,36
Halle,Asteraceae,31,20700,33
Halle,Asteraceae,32,9550,18
Halle,Asteraceae,33,425,6
Halle,Asteraceae,34,550,9
Halle,Balsaminaceae,31,115,3
Halle,Boraginaceae,13,400,60
Halle,Boraginaceae,14,400,2
Halle,Boraginaceae,15,300,6
Halle,Boraginaceae,17,86,3
Halle,Boraginaceae,18,500,3
Halle,Boraginaceae,19,2500,6
Halle,Boraginaceae,21,1500,3
Halle,Boraginaceae,22,1200,6
Halle,Boraginaceae,23,300,3
Halle,Brassicaceae,14,3000,15
Halle,Brassicaceae,15,10000,18
Halle,Brassicaceae,16,20950,18
Halle,Brassicaceae,17,49300,24
Halle,Brassicaceae,18,81650,24
Halle,Brassicaceae,19,50300,18
Halle,Brassicaceae,20,15000,6
Halle,Brassicaceae,21,10100,6
Halle,Brassicaceae,34,80,3
Halle,Cactaceae,26,280,3
Halle,Campanulaceae,23,500,3
Halle,Campanulaceae,27,120,15
Halle,Campanulaceae,28,300,15
Halle,Campanulaceae,29,160,15
Halle,Campanulaceae,31,26,15
Halle,Campanulaceae,32,18,15
Halle,Caprifoliaceae,22,4000,3
Halle,Caprifoliaceae,23,900,15
Halle,Caprifoliaceae,24,1000,15
Halle,Caprifoliaceae,25,2550,18
Halle,Caprifoliaceae,26,500,3
Halle,Caprifoliaceae,28,550,15
Halle,Caprifoliaceae,29,864,15
Halle,Caprifoliaceae,31,3330,15
Halle,Caprifoliaceae,32,3551,18
Halle,Caprifoliaceae,33,1830,21
Halle,Caprifoliaceae,34,2850,15
Halle,Caryophyllaceae,16,40,15
Halle,Caryophyllaceae,17,200,15
Halle,Caryophyllaceae,18,380,15
Halle,Caryophyllaceae,19,500,15
Halle,Caryophyllaceae,21,50,3
Halle,Caryophyllaceae,26,200000,3
Halle,Caryophyllaceae,27,250,15
Halle,Caryophyllaceae,28,320,31
Halle,Caryophyllaceae,29,120,15
Halle,Caryophyllaceae,31,80,30
Halle,Caryophyllaceae,32,27,15
Halle,Caryophyllaceae,33,203,30
Halle,Cistaceae,23,200,3
Halle,Cistaceae,24,600,18
Halle,Cistaceae,25,150,15
Halle,Cistaceae,31,20,15
Halle,Cistaceae,33,30,15
Halle,Crassulaceae,27,800,3
Halle,Ericaceae,14,200000,2
Halle,Ericaceae,15,100000,3
Halle,Ericaceae,16,100000,3
Halle,Ericaceae,20,8000,3
Halle,Fabaceae,14,75,15
Halle,Fabaceae,15,8000,15
Halle,Fabaceae,16,225,15
Halle,Fabaceae,17,10100,18
Halle,Fabaceae,18,200,15
Halle,Fabaceae,19,100030,18
Halle,Fabaceae,20,18400,27
Halle,Fabaceae,21,200,15
Halle,Fabaceae,22,100,18
Halle,Fabaceae,23,100600,21
Halle,Fabaceae,24,1200,6
Halle,Fabaceae,25,2500,21
Halle,Fabaceae,26,175,15
Halle,Fabaceae,27,12100,21
Halle,Fabaceae,28,72,15
Halle,Fabaceae,33,23549,18
Halle,Geraniaceae,18,500,3
Halle,Hydrophyllaceae,24,600,3
Halle,Hypericaceae,24,200,18
Halle,Hypericaceae,25,300,15
Halle,Hypericaceae,26,350,30
Halle,Hypericaceae,27,30,15
Halle,Hypericaceae,28,6,15
Halle,Lamiaceae,17,190,18
Halle,Lamiaceae,18,13785,18
Halle,Lamiaceae,19,13600,21
Halle,Lamiaceae,20,300,15
Halle,Lamiaceae,21,30100,21
Halle,Lamiaceae,22,7200,15
Halle,Lamiaceae,23,12925,33
Halle,Lamiaceae,24,500,18
Halle,Lamiaceae,25,17350,30
Halle,Lamiaceae,26,50950,36
Halle,Lamiaceae,27,20000,15
Halle,Lamiaceae,28,10100,33
Halle,Lamiaceae,29,3800,36
Halle,Lamiaceae,31,1350,21
Halle,Lamiaceae,32,6200,6
Halle,Lamiaceae,33,10000,3
Halle,Lamiaceae,34,4650,6
Halle,Liliaceae,16,160,18
Halle,Limnanthaceae,22,1500,3
Halle,Lythraceae,28,552,3
Halle,Lythraceae,29,1540,3
Halle,Lythraceae,31,800,3
Halle,Lythraceae,32,1470,3
Halle,Lythraceae,33,750,3
Halle,Lythraceae,34,600,3
Halle,Magnoliaceae,14,600,2
Halle,Malvaceae,26,120,3
Halle,Malvaceae,28,60,3
Halle,Malvaceae,31,120,3
Halle,Oleaceae,21,1800,6
Halle,Onagraceae,24,20,3
Halle,Onagraceae,27,150,15
Halle,Onagraceae,28,200,15
Halle,Onagraceae,29,420,15
Halle,Onagraceae,31,170,15
Halle,Onagraceae,32,150,15
Halle,Onagraceae,34,70,15
Halle,Oxalidaceae,16,150,15
Halle,Paeoniaceae,18,1,3
Halle,Paeoniaceae,19,14,3
Halle,Papaveraceae,13,200,30
Halle,Papaveraceae,14,255,1
Halle,Papaveraceae,15,1800,3
Halle,Papaveraceae,19,400,18
Halle,Papaveraceae,20,150,15
Halle,Papaveraceae,21,50,15
Halle,Papaveraceae,27,40,3
Halle,Plantaginaceae,22,100,3
Halle,Plantaginaceae,23,600,18
Halle,Plantaginaceae,24,100,15
Halle,Plantaginaceae,25,840,3
Halle,Plumbaginaceae,27,1850,3
Halle,Plumbaginaceae,31,875,3
Halle,Polygonaceae,18,65,15
Halle,Primulaceae,14,100,5
Halle,Primulaceae,15,1200,21
Halle,Primulaceae,16,200,15
Halle,Primulaceae,17,172,15
Halle,Primulaceae,18,5,15
Halle,Ranunculaceae,15,100,3
Halle,Ranunculaceae,17,36,3
Halle,Ranunculaceae,18,500,3
Halle,Ranunculaceae,19,500,3
Halle,Ranunculaceae,20,300,3
Halle,Ranunculaceae,21,45,15
Halle,Ranunculaceae,22,150,3
Halle,Ranunculaceae,23,120,3
Halle,Ranunculaceae,24,700,3
Halle,Ranunculaceae,25,1500,6
Halle,Ranunculaceae,26,40,15
Halle,Ranunculaceae,27,820,30
Halle,Ranunculaceae,28,378,30
Halle,Ranunculaceae,29,1840,30
Halle,Ranunculaceae,31,680,30
Halle,Ranunculaceae,32,460,30
Halle,Ranunculaceae,33,160,30
Halle,Ranunculaceae,34,42,30
Halle,Resedaceae,22,180,3
Halle,Resedaceae,34,3272,6
Halle,Rosaceae,14,60,2
Halle,Rosaceae,16,1150,24
Halle,Rosaceae,17,228,33
Halle,Rosaceae,18,10000,3
Halle,Rosaceae,19,150,30
Halle,Rosaceae,20,522,48
Halle,Rosaceae,21,1700,6
Halle,Rosaceae,22,50,3
Halle,Rutaceae,22,240,15
Halle,Rutaceae,23,250,15
Halle,Saxifragaceae,22,12000,3
Halle,Solanaceae,15,80,15
Halle,Solanaceae,23,200,15
Halle,Solanaceae,24,20,15
Halle,Solanaceae,25,15,15
Halle,Solanaceae,26,7,15
Halle,Solanaceae,33,8,15
Halle,Verbenaceae,23,40,3
Halle,Verbenaceae,26,1650,3
Halle,Violaceae,13,250,45
Halle,Violaceae,14,100,15
Jena,Amaryllidaceae,17,200,15
Jena,Amaryllidaceae,19,1150,15
Jena,Amaryllidaceae,20,300,15
Jena,Amaryllidaceae,25,1600,3
Jena,Amaryllidaceae,31,200,3
Jena,Amaryllidaceae,33,1058,3
Jena,Apiaceae,31,110,3
Jena,Apiaceae,32,1800,3
Jena,Apiaceae,33,15000,3
Jena,Apocynaceae,14,150,15
Jena,Apocynaceae,23,1020,15
Jena,Apocynaceae,25,125,15
Jena,Apocynaceae,28,30,15
Jena,Asparagaceae,15,25,3
Jena,Asphodelaceae,20,116,15
Jena,Asphodelaceae,22,500,3
Jena,Asteraceae,19,1000,3
Jena,Asteraceae,23,70,3
Jena,Asteraceae,24,110,30
Jena,Asteraceae,25,350,15
Jena,Asteraceae,26,1532,15
Jena,Asteraceae,27,1706,24
Jena,Asteraceae,28,12248,21
Jena,Asteraceae,29,4418,27
Jena,Asteraceae,31,880,30
Jena,Asteraceae,32,2100,24
Jena,Asteraceae,33,1800,6
Jena,Boraginaceae,15,320,3
Jena,Boraginaceae,17,380,15
Jena,Boraginaceae,18,200,15
Jena,Boraginaceae,19,420,15
Jena,Boraginaceae,20,300,3
Jena,Boraginaceae,21,150,15
Jena,Boraginaceae,22,161,18
Jena,Boraginaceae,23,920,6
Jena,Boraginaceae,25,675,6
Jena,Brassicaceae,15,1400,9
Jena,Brassicaceae,17,8550,60
Jena,Brassicaceae,18,5600,21
Jena,Brassicaceae,19,8190,21
Jena,Brassicaceae,20,2800,15
Jena,Brassicaceae,21,2710,18
Jena,Campanulaceae,23,163,33
Jena,Campanulaceae,24,63,3
Jena,Campanulaceae,25,34,3
Jena,Campanulaceae,26,474,9
Jena,Campanulaceae,27,644,6
Jena,Campanulaceae,29,222,6
Jena,Campanulaceae,33,15,3
Jena,Caprifoliaceae,20,2500,3
Jena,Caprifoliaceae,21,3000,3
Jena,Caprifoliaceae,29,20,3
Jena,Caprifoliaceae,31,140,3
Jena,Caprifoliaceae,32,1800,3
Jena,Caryophyllaceae,20,825,18
Jena,Caryophyllaceae,21,1450,18
Jena,Caryophyllaceae,22,112,30
Jena,Caryophyllaceae,23,197,18
Jena,Crassulaceae,25,1000,3
Jena,Ericaceae,18,560,3
Jena,Euphorbiaceae,25,1840,6
Jena,Fabaceae,14,100,3
Jena,Fabaceae,17,1235,45
Jena,Fabaceae,18,3515,24
Jena,Fabaceae,19,2575,18
Jena,Fabaceae,20,6665,9
Jena,Fabaceae,21,19000,15
Jena,Fabaceae,22,3000,15
Jena,Fabaceae,23,2741,24
Jena,Fabaceae,24,6901,15
Jena,Fabaceae,25,1300,3
Jena,Fabaceae,26,8948,21
Jena,Fabaceae,27,4995,69
Jena,Fabaceae,28,1980,36
Jena,Fabaceae,29,10401,36
Jena,Fabaceae,31,200,30
Jena,Fabaceae,32,700,18
Jena,Fabaceae,33,540,3
Jena,Geraniaceae,19,75,3
Jena,Geraniaceae,20,35,15
Jena,Geraniaceae,21,44,15
Jena,Geraniaceae,22,62,15
Jena,Geraniaceae,23,274,18
Jena,Geraniaceae,24,39,15
Jena,Geraniaceae,25,16,15
Jena,Hydrangeaceae,20,135,3
Jena,Hydrangeaceae,21,750,3
Jena,Hydrangeaceae,22,3500,3
Jena,Hydrophyllaceae,24,1224,3
Jena,Hypericaceae,23,42,3
Jena,Hypericaceae,24,40,15
Jena,Hypericaceae,25,32,15
Jena,Hypericaceae,26,90,3
Jena,Hypericaceae,27,108,18
Jena,Hypericaceae,28,83,18
Jena,Iridaceae,15,40,3
Jena,Iridaceae,22,110,3
Jena,Lamiaceae,17,35,15
Jena,Lamiaceae,18,500,3
Jena,Lamiaceae,19,1500,3
Jena,Lamiaceae,20,100,15
Jena,Lamiaceae,21,150,15
Jena,Lamiaceae,22,794,30
Jena,Lamiaceae,24,3342,21
Jena,Lamiaceae,25,1984,6
Jena,Lamiaceae,26,2300,3
Jena,Lamiaceae,27,9296,30
Jena,Lamiaceae,28,14805,54
Jena,Lamiaceae,29,12192,45
Jena,Lamiaceae,31,1850,30
Jena,Lamiaceae,32,1430,33
Jena,Lamiaceae,33,694,33
Jena,Linaceae,21,95,15
Jena,Linaceae,22,84,15
Jena,Linaceae,23,114,15
Jena,Linaceae,24,65,15
Jena,Linaceae,25,13,15
Jena,Linaceae,32,60,6
Jena,Malvaceae,28,38,3
Jena,Malvaceae,32,600,6
Jena,Onagraceae,32,83,3
Jena,Onagraceae,33,73,15
Jena,Paeoniaceae,17,37,15
Jena,Paeoniaceae,18,2504,18
Jena,Paeoniaceae,19,123,33
Jena,Paeoniaceae,20,16,15
Jena,Paeoniaceae,21,35,15
Jena,Paeoniaceae,22,63,15
Jena,Paeoniaceae,23,67,15
Jena,Papaveraceae,14,470,9
Jena,Papaveraceae,15,1500,3
Jena,Papaveraceae,19,70,15
Jena,Papaveraceae,20,68,15
Jena,Papaveraceae,21,75,15
Jena,Papaveraceae,22,17,3
Jena,Papaveraceae,23,27,3
Jena,Papaveraceae,24,56,6
Jena,Plantaginaceae,20,60,3
Jena,Plantaginaceae,25,550,6
Jena,Plumbaginaceae,27,675,3
Jena,Plumbaginaceae,29,105,3
Jena,Plumbaginaceae,32,1300,3
Jena,Polemoniaceae,31,60,3
Jena,Polygonaceae,33,2250,3
Jena,Primulaceae,14,320,30
Jena,Primulaceae,15,15,15
Jena,Primulaceae,17,175,15
Jena,Primulaceae,18,125,15
Jena,Primulaceae,26,828,3
Jena,Primulaceae,28,120,3
Jena,Ranunculaceae,14,162,38
Jena,Ranunculaceae,18,21,18
Jena,Ranunculaceae,19,100,3
Jena,Ranunculaceae,20,15,3
Jena,Ranunculaceae,23,30,15
Jena,Ranunculaceae,25,1350,15
Jena,Ranunculaceae,28,90,15
Jena,Ranunculaceae,29,157,15
Jena,Ranunculaceae,31,250,18
Jena,Ranunculaceae,32,120,15
Jena,Ranunculaceae,33,6,15
Jena,Rosaceae,18,50,15
Jena,Rosaceae,19,100,15
Jena,Rosaceae,20,3620,18
Jena,Rosaceae,21,213,3
Jena,Rosaceae,33,110,3
Jena,Rutaceae,24,144,15
Jena,Saxifragaceae,15,71,18
Jena,Saxifragaceae,33,1500,3
Jena,Scrophulariaceae,18,750,3
Jena,Scrophulariaceae,19,500,3
Jena,Scrophulariaceae,32,120,3
Leipzig,Acanthaceae,34,48,3
Leipzig,Alismataceae,23,800,3
Leipzig,Alismataceae,24,800,3
Leipzig,Amaryllidaceae,19,2250,15
Leipzig,Amaryllidaceae,20,885,18
Leipzig,Amaryllidaceae,31,180,3
Leipzig,Apiaceae,25,2600,3
Leipzig,Apiaceae,26,12000,3
Leipzig,Apiaceae,33,6630,6
Leipzig,Apocynaceae,14,240,20
Leipzig,Apocynaceae,15,130,15
Leipzig,Apocynaceae,16,260,15
Leipzig,Apocynaceae,17,280,15
Leipzig,Apocynaceae,18,300,15
Leipzig,Apocynaceae,19,450,15
Leipzig,Apocynaceae,20,80,15
Leipzig,Apocynaceae,21,380,15
Leipzig,Apocynaceae,22,300,15
Leipzig,Apocynaceae,23,110,15
Leipzig,Apocynaceae,24,110,15
Leipzig,Apocynaceae,25,130,15
Leipzig,Asparagaceae,12,6250,15
Leipzig,Asparagaceae,14,40,5
Leipzig,Asparagaceae,15,40,6
