Pollinator_accepted_name,Pollinator_genus,Pollinator_family,Pollinator_order,gardens
Andrena bicolor,Andrena,Andrenidae,Hymenoptera,HL
Andrena chrysopus,Andrena,Andrenidae,Hymenoptera,L
Andrena curvungula,Andrena,Andrenidae,Hymenoptera,L
Andrena flavipes,Andrena,Andrenidae,Hymenoptera,HJL
Andrena fulvago,Andrena,Andrenidae,Hymenoptera,L
Andrena gelriae,Andrena,Andrenidae,Hymenoptera,J
Andrena gravida,Andrena,Andrenidae,Hymenoptera,L
Andrena hattorfiana,Andrena,Andrenidae,Hymenoptera,HL
Andrena labiata,Andrena,Andrenidae,Hymenoptera,L
Andrena minutula,Andrena,Andrenidae,Hymenoptera,HJL
Andrena minutuloides,Andrena,Andrenidae,Hymenoptera,HL
Andrena nigroaenea,Andrena,Andrenidae,Hymenoptera,L
Andrena nitida,Andrena,Andrenidae,Hymenoptera,J
Andrena pilipes,Andrena,Andrenidae,Hymenoptera,HL
Andrena strohmella,Andrena,Andrenidae,Hymenoptera,H
Anthophora aestivalis,Anthophora,Apidae,Hymenoptera,HJL
Anthophora furcata,Anthophora,Apidae,Hymenoptera,H
Anthophora plumipes,Anthophora,Apidae,Hymenoptera,HJL
Anthophora quadrimaculata,Anthophora,Apidae,Hymenoptera,HJL
Apis mellifera,Apis,Apidae,Hymenoptera,HJL
Bombus campestris,Bombus,Apidae,Hymenoptera,L
Bombus cryptarum,Bombus,Apidae,Hymenoptera,H
Bombus hortorum,Bombus,Apidae,Hymenoptera,HJL
Bombus hypnorum,Bombus,Apidae,Hymenoptera,HJL
Bombus lapidarius,Bombus,Apidae,Hymenoptera,HJL
Bombus lucorum,Bombus,Apidae,Hymenoptera,HJ
Bombus pascuorum,Bombus,Apidae,Hymenoptera,HJL
Bombus pratorum,Bombus,Apidae,Hymenoptera,HJL
Bombus rupestris,Bombus,Apidae,Hymenoptera,H
Bombus semenoviellus,Bombus,Apidae,Hymenoptera,H
Bombus soroeensis,Bombus,Apidae,Hymenoptera,J
Bombus subterraneus,Bombus,Apidae,Hymenoptera,H
Bombus terrestris,Bombus,Apidae,Hymenoptera,HJL
Bombus vestalis,Bombus,Apidae,Hymenoptera,HJL
Ceratina cyanea,Ceratina,Apidae,Hymenoptera,L
Eucera nigrescens,Eucera,Apidae,Hymenoptera,HJL
Melecta albifrons,Melecta,Apidae,Hymenoptera,HJ
Nomada bifasciata,Nomada,Apidae,Hymenoptera,H
Nomada fabriciana,Nomada,Apidae,Hymenoptera,L
Nomada flavoguttata,Nomada,Apidae,Hymenoptera,HL
Nomada fucata,Nomada,Apidae,Hymenoptera,H
Nomada fulvicornis,Nomada,Apidae,Hymenoptera,H
Nomada lathburiana,Nomada,Apidae,Hymenoptera,H
Nomada zonata,Nomada,Apidae,Hymenoptera,J
Thyreus orbatus,Thyreus,Apidae,Hymenoptera,HJ
Xylocopa violacea,Xylocopa,Apidae,Hymenoptera,HJL
Hedychrum gerstaeckeri,Hedychrum,Chrysididae,Hymenoptera,HL
Hedychrum nobile,Hedychrum,Chrysididae,Hymenoptera,H
Holopyga ignicollis,Holopyga,Chrysididae,Hymenoptera,L
Colletes daviesanus,Colletes,Colletidae,Hymenoptera,HJL
Colletes hederae,Colletes,Colletidae,Hymenoptera,H
Hylaeus brevicornis,Hylaeus,Colletidae,Hymenoptera,L
Hylaeus communis,Hylaeus,Colletidae,Hymenoptera,HJL
Hylaeus confusus,Hylaeus,Colletidae,Hymenoptera,L
Hylaeus gredleri,Hylaeus,Colletidae,Hymenoptera,HL
Hylaeus hyalinatus,Hylaeus,Colletidae,Hymenoptera,L
Hylaeus nigritus,Hylaeus,Colletidae,Hymenoptera,HJL
Hylaeus punctatus,Hylaeus,Colletidae,Hymenoptera,HJL
Hylaeus signatus,Hylaeus,Colletidae,Hymenoptera,H
Hylaeus sinuatus,Hylaeus,Colletidae,Hymenoptera,J
Hylaeus styriacus,Hylaeus,Colletidae,Hymenoptera,L
Cerceris quadricincta,Cerceris,Crabronidae,Hymenoptera,J
Cerceris quinquefasciata,Cerceris,Crabronidae,Hymenoptera,L
Cerceris rybyensis,Cerceris,Crabronidae,Hymenoptera,HJL
Crossocerus podagricus,Crossocerus,Crabronidae,Hymenoptera,H
Dinetus pictus,Dinetus,Crabronidae,Hymenoptera,HL
Ectemnius lituratus,Ectemnius,Crabronidae,Hymenoptera,J
Nysson maculosus,Nysson,Crabronidae,Hymenoptera,L
Philanthus triangulum,Philanthus,Crabronidae,Hymenoptera,HL
Gymnomerus laevipes,Gymnomerus,Eumenidae,Hymenoptera,JL
Polistes dominula,Polistes,Eumenidae,Hymenoptera,HJL
Halictus rubicundus,Halictus,Halictidae,Hymenoptera,H
Halictus scabiosae,Halictus,Halictidae,Hymenoptera,HJL
Halictus subauratus,Halictus,Halictidae,Hymenoptera,HJL
Halictus tumulorum,Halictus,Halictidae,Hymenoptera,HJL
Lasioglossum calceatum,Lasioglossum,Halictidae,Hymenoptera,HJL
Lasioglossum fulvicorne,Lasioglossum,Halictidae,Hymenoptera,H
Lasioglossum interruptum,Lasioglossum,Halictidae,Hymenoptera,J
Lasioglossum laticeps,Lasioglossum,Halictidae,Hymenoptera,HL
Lasioglossum leucozonium,Lasioglossum,Halictidae,Hymenoptera,HL
Lasioglossum minutissimum,Lasioglossum,Halictidae,Hymenoptera,L
Lasioglossum morio,Lasioglossum,Halictidae,Hymenoptera,HJL
Lasioglossum nitidiusculum,Lasioglossum,Halictidae,Hymenoptera,H
Lasioglossum nitidulum,Lasioglossum,Halictidae,Hymenoptera,H
Lasioglossum pallens,Lasioglossum,Halictidae,Hymenoptera,JL
Lasioglossum pauxillum,Lasioglossum,Halictidae,Hymenoptera,HJL
Lasioglossum politum,Lasioglossum,Halictidae,Hymenoptera,HJL
Lasioglossum pygmaeum,Lasioglossum,Halictidae,Hymenoptera,L
Lasioglossum villosulum,Lasioglossum,Halictidae,Hymenoptera,HL
Sphecodes albilabris,Sphecodes,Halictidae,Hymenoptera,HL
Sphecodes ferruginatus,Sphecodes,Halictidae,Hymenoptera,H
Sphecodes monilicornis,Sphecodes,Halictidae,Hymenoptera,H
Sphecodes pellucidus,Sphecodes,Halictidae,Hymenoptera,HL
Sphecodes puncticeps,Sphecodes,Halictidae,Hymenoptera,HL
Anthidium manicatum,Anthidium,Megachilidae,Hymenoptera,HJL
Anthidium oblongatum,Anthidium,Megachilidae,Hymenoptera,HL
Chelostoma florisomne,Chelostoma,Megachilidae,Hymenoptera,HJ
Chelostoma rapunculi,Chelostoma,Megachilidae,Hymenoptera,HJL
Coelioxys afra,Coelioxys,Megachilidae,Hymenoptera,H
