Botanical_garden,Plant_family,Plant,Individual,Week,Total_floral_abundance_family,Total_sampling_time_family
Halle,Asparagaceae,Leopoldia comosa,Random_census10,20,2000,3
Halle,Asparagaceae,Muscari armeniacum,Random_census1,14,100,1
Halle,Asparagaceae,Muscari armeniacum,Random_census1,15,100,3
Halle,Asparagaceae,Muscari armeniacum,Random_census3,15,100,3
Halle,Asparagaceae,Muscari armeniacum,Random_census4,14,100,1
Halle,Asparagaceae,Muscari armeniacum,Random_census7,14,100,1
Halle,Asparagaceae,Muscari botryoides,Random_census1,13,200,30
Halle,Asparagaceae,Ornithogalum nutans,Random_census5,15,360,3
Halle,Asparagaceae,Ornithogalum nutans,Random_census5,16,230,3
Halle,Asparagaceae,Ornithogalum nutans,Random_census6,16,900,3
Halle,Asparagaceae,Ornithogalum nutans,Random_census9,15,500,3
Halle,Asparagaceae,Puschkinia scilloides,FocalNA,13,500,15
Halle,Asparagaceae,Puschkinia scilloides,FocalNA,14,300,15
Halle,Asphodelaceae,Hemerocallis fulva,FocalNA,27,30,15
Halle,Asteraceae,Achillea filipendulina,Random_census4,32,9450,3
Halle,Asteraceae,Achillea millefolium,FocalNA,26,2000,15
Halle,Asteraceae,Achillea millefolium,FocalNA,27,1000,15
Halle,Asteraceae,Achillea millefolium,FocalNA,28,7750,15
Halle,Asteraceae,Achillea millefolium,FocalNA,29,15000,15
Halle,Asteraceae,Achillea millefolium,FocalNA,31,20000,15
Halle,Asteraceae,Bellis perennis,Random_census10,15,1800,3
Halle,Asteraceae,Centaurea cyanus,Random_census1,29,100,3
Halle,Asteraceae,Cosmos sulphureus,Random_census2,33,225,3
Halle,Asteraceae,Cosmos sulphureus,Random_census7,34,200,3
Halle,Asteraceae,Hypochaeris radicata,Random_census6,24,50,3
Halle,Asteraceae,Inula helenium,Random_census1,28,22,3
Halle,Asteraceae,Leucanthemum vulgare,FocalNA,24,400,15
Halle,Asteraceae,Liatris pycnostachya,Random_census2,28,100,3
Halle,Asteraceae,Rudbeckia laciniata,Random_census3,29,120,3
Halle,Asteraceae,Tagetes erecta,Random_census5,34,200,3
Halle,Asteraceae,Tagetes sp,Random_census7,31,400,3
Halle,Asteraceae,Tanacetum vulgare,FocalNA,28,4230,15
Halle,Asteraceae,Tanacetum vulgare,FocalNA,29,4200,15
Halle,Asteraceae,Tanacetum vulgare,FocalNA,31,300,15
Halle,Asteraceae,Tanacetum vulgare,FocalNA,32,100,15
Halle,Asteraceae,Taraxacum officinale,Random_census10,17,30,3
Halle,Asteraceae,Taraxacum officinale,Random_census3,16,100,3
Halle,Asteraceae,Taraxacum officinale,Random_census4,15,100,3
Halle,Asteraceae,Taraxacum officinale,Random_census4,16,20,3
Halle,Asteraceae,Taraxacum officinale,Random_census5,16,30,3
Halle,Asteraceae,Taraxacum officinale,Random_census6,15,80,3
Halle,Asteraceae,Taraxacum officinale,Random_census7,17,50,3
Halle,Asteraceae,Taraxacum officinale,Random_census9,16,80,3
Halle,Asteraceae,Zinnia elegans,Random_census1,33,200,3
Halle,Asteraceae,Zinnia elegans,Random_census6,34,150,3
Halle,Balsaminaceae,Impatiens glandulifera,Random_census1,31,115,3
Halle,Boraginaceae,Aegonychon purpurocaeruleum,Random_census1,18,500,3
Halle,Boraginaceae,Aegonychon purpurocaeruleum,Random_census2,19,2000,3
Halle,Boraginaceae,Cerinthe minor,Random_census1,22,800,3
Halle,Boraginaceae,Cerinthe minor,Random_census3,23,300,3
Halle,Boraginaceae,Pentaglottis sempervirens,Random_census10,21,1500,3
Halle,Boraginaceae,Pentaglottis sempervirens,Random_census5,19,500,3
Halle,Boraginaceae,Pulmonaria mollissima,Random_census1,15,300,6
Halle,Boraginaceae,Pulmonaria mollissima,Random_census1,17,86,3
Halle,Boraginaceae,Pulmonaria mollissima,Random_census19,14,200,1
Halle,Boraginaceae,Pulmonaria mollissima,Random_census3,13,200,30
Halle,Boraginaceae,Pulmonaria mollissima,Random_census4,13,200,30
Halle,Boraginaceae,Pulmonaria mollissima,Random_census9,14,200,1
Halle,Boraginaceae,Symphytum officinale,Random_census2,22,400,3
Halle,Brassicaceae,Alyssum saxatile,Random_census4,18,33600,3
Halle,Brassicaceae,Arabis alpina,Random_census8,15,2000,3
Halle,Brassicaceae,Aubrieta deltoidea,Random_census10,19,300,3
Halle,Brassicaceae,Aubrieta deltoidea,Random_census7,18,2050,3
Halle,Brassicaceae,Aubrieta olympica,Random_census3,17,1300,3
Halle,Brassicaceae,Aubrieta parviflora,Random_census4,17,1500,3
Halle,Brassicaceae,Aubrieta parviflora,Random_census5,17,1500,3
Halle,Brassicaceae,Aubrieta pinardii,Random_census7,21,100,3
Halle,Brassicaceae,Barbarea vulgaris,Random_census10,18,1000,3
Halle,Brassicaceae,Crambe maritima,Random_census8,20,10000,3
Halle,Brassicaceae,Erysimum pulchellum,Random_census1,20,5000,3
Halle,Brassicaceae,Iberis sempervirens,FocalNA,14,3000,15
Halle,Brassicaceae,Iberis sempervirens,FocalNA,15,8000,15
Halle,Brassicaceae,Iberis sempervirens,FocalNA,16,20000,15
Halle,Brassicaceae,Iberis sempervirens,FocalNA,17,45000,15
Halle,Brassicaceae,Iberis sempervirens,FocalNA,18,45000,15
Halle,Brassicaceae,Iberis sempervirens,FocalNA,19,50000,15
Halle,Brassicaceae,Malcolmia maritima,Random_census10,16,950,3
Halle,Brassicaceae,Moricandia arvensis,Random_census3,34,80,3
Halle,Brassicaceae,Sisymbrium officinale,Random_census2,21,10000,3
Halle,Cactaceae,Cylindropuntia imbricata,Random_census2,26,280,3
Halle,Campanulaceae,Campanula poscharskyana,Random_census10,23,500,3
Halle,Campanulaceae,Platycodon grandiflorus,FocalNA,27,120,15
Halle,Campanulaceae,Platycodon grandiflorus,FocalNA,28,300,15
Halle,Campanulaceae,Platycodon grandiflorus,FocalNA,29,160,15
Halle,Campanulaceae,Platycodon grandiflorus,FocalNA,31,26,15
Halle,Campanulaceae,Platycodon grandiflorus,FocalNA,32,18,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,23,900,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,24,1000,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,25,2250,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,28,550,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,29,864,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,31,3330,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,32,3526,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,33,1650,15
Halle,Caprifoliaceae,Centranthus ruber,FocalNA,34,2850,15
Halle,Caprifoliaceae,Cephalaria uralensis,Random_census5,33,80,3
Halle,Caprifoliaceae,Cephalaria uralensis,Random_census6,32,25,3
Halle,Caprifoliaceae,Knautia dipsacifolia,Random_census10,25,300,3
Halle,Caprifoliaceae,Knautia dipsacifolia,Random_census4,26,500,3
Halle,Caprifoliaceae,Succisella inflexa,Random_census6,33,100,3
Halle,Caprifoliaceae,Valeriana phu,Random_census3,22,4000,3
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,27,250,15
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,28,200,16
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,29,120,15
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,31,50,15
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,32,27,15
Halle,Caryophyllaceae,Dianthus carthusianorum,FocalNA,33,23,15
Halle,Caryophyllaceae,Gypsophila paniculata,Random_census1,26,200000,3
Halle,Caryophyllaceae,Saponaria officinalis,FocalNA,28,120,15
Halle,Caryophyllaceae,Saponaria officinalis,FocalNA,31,30,15
Halle,Caryophyllaceae,Saponaria officinalis,FocalNA,33,180,15
Halle,Caryophyllaceae,Silene chungtienensis,Random_census5,21,50,3
Halle,Caryophyllaceae,Silene viscaria,FocalNA,16,40,15
Halle,Caryophyllaceae,Silene viscaria,FocalNA,17,200,15
Halle,Caryophyllaceae,Silene viscaria,FocalNA,18,380,15
Halle,Caryophyllaceae,Silene viscaria,FocalNA,19,500,15
Halle,Cistaceae,Cistus salviifolius,Random_census8,24,350,3
Halle,Cistaceae,Helianthemum apenninum,Random_census1,23,200,3
Halle,Cistaceae,Helianthemum nummularium,FocalNA,24,250,15
Halle,Cistaceae,Helianthemum nummularium,FocalNA,25,150,15
Halle,Cistaceae,Helianthemum nummularium,FocalNA,31,20,15
Halle,Cistaceae,Helianthemum nummularium,FocalNA,33,30,15
Halle,Crassulaceae,Phedimus kamtschaticus,Random_census5,27,800,3
Halle,Ericaceae,Pieris japonica,Random_census2,15,100000,3
Halle,Ericaceae,Pieris japonica,Random_census20,14,100000,1
Halle,Ericaceae,Pieris japonica,Random_census6,14,100000,1
Halle,Ericaceae,Pieris japonica,Random_census8,16,100000,3
Halle,Ericaceae,Rhododendron smirnowii,Random_census4,20,8000,3
Halle,Fabaceae,Astragalus alopecurus,Random_census9,24,200,3
Halle,Fabaceae,Baptisia australis,Random_census7,22,50,3
Halle,Fabaceae,Baptisia australis,Random_census7,23,300,3
Halle,Fabaceae,Galega officinalis,Random_census1,25,1200,3
Halle,Fabaceae,Galega officinalis,Random_census2,25,1200,3
Halle,Fabaceae,Galega officinalis,Random_census2,27,2000,3
Halle,Fabaceae,Genista hispanica,Random_census3,20,8000,3
Halle,Fabaceae,Genista hispanica,Random_census9,19,100000,3
Halle,Fabaceae,Genista radiata,Random_census9,23,100000,3
Halle,Fabaceae,Hippocrepis emerus,Random_census5,20,3000,3
Halle,Fabaceae,Hippocrepis emerus,Random_census6,17,10000,3
Halle,Fabaceae,Lathyrus vernus,FocalNA,14,75,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,15,8000,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,16,225,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,17,100,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,18,200,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,19,30,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,20,200,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,21,200,15
Halle,Fabaceae,Lathyrus vernus,FocalNA,22,50,15
Halle,Fabaceae,Lathyrus vernus,Random_census7,20,200,3
Halle,Fabaceae,Lotus corniculatus,FocalNA,23,300,15
Halle,Fabaceae,Lotus corniculatus,FocalNA,25,100,15
Halle,Fabaceae,Lotus corniculatus,FocalNA,26,175,15
Halle,Fabaceae,Lotus corniculatus,FocalNA,27,100,15
Halle,Fabaceae,Lotus corniculatus,FocalNA,28,72,15
Halle,Fabaceae,Lotus corniculatus,FocalNA,33,29,15
Halle,Fabaceae,Melilotus albus,Random_census6,27,10000,3
Halle,Fabaceae,Melilotus albus,Random_census7,33,23520,3
Halle,Fabaceae,Trifolium rubens,Random_census10,24,1000,3
Halle,Fabaceae,Wisteria sinensis,Random_census2,20,7000,3
Halle,Geraniaceae,Erodium cicutarium,Random_census6,18,500,3
Halle,Hydrophyllaceae,Phacelia congesta,Random_census5,24,600,3
Halle,Hypericaceae,Hypericum olympicum,FocalNA,24,100,15
Halle,Hypericaceae,Hypericum olympicum,FocalNA,25,300,15
Halle,Hypericaceae,Hypericum olympicum,FocalNA,26,250,15
Halle,Hypericaceae,Hypericum olympicum,Random_census1,24,100,3
Halle,Hypericaceae,Hypericum perforatum,FocalNA,26,100,15
Halle,Hypericaceae,Hypericum perforatum,FocalNA,27,30,15
Halle,Hypericaceae,Hypericum perforatum,FocalNA,28,6,15
Halle,Lamiaceae,Ballota nigra,Random_census8,25,1500,3
Halle,Lamiaceae,Ballota nigra,Random_census9,25,1500,3
Halle,Lamiaceae,Betonica officinalis,Random_census9,25,1000,3
Halle,Lamiaceae,Clinopodium nepeta,Random_census11,34,150,3
Halle,Lamiaceae,Clinopodium nepeta,Random_census5,32,2400,3
Halle,Lamiaceae,Lamium album,FocalNA,17,150,15
Halle,Lamiaceae,Lamium album,FocalNA,18,825,15
Halle,Lamiaceae,Lamium album,FocalNA,19,600,15
Halle,Lamiaceae,Lamium album,FocalNA,20,300,15
Halle,Lamiaceae,Lamium album,FocalNA,21,100,15
Halle,Lamiaceae,Lamium album,FocalNA,23,25,15
Halle,Lamiaceae,Lamium orvala,Random_census4,19,3000,3
Halle,Lamiaceae,Lamium purpureum,Random_census9,17,40,3
Halle,Lamiaceae,Lavandula angustifolia,FocalNA,25,12500,15
Halle,Lamiaceae,Lavandula angustifolia,FocalNA,26,30000,15
Halle,Lamiaceae,Lavandula angustifolia,FocalNA,27,20000,15
Halle,Lamiaceae,Lavandula angustifolia,FocalNA,28,2000,15
Halle,Lamiaceae,Lavandula angustifolia,FocalNA,29,100,15
Halle,Lamiaceae,Marrubium peregrinum,Random_census3,28,5000,3
Halle,Lamiaceae,Marrubium peregrinum,Random_census6,29,2000,3
Halle,Lamiaceae,Marrubium peregrinum,Random_census7,32,3800,3
Halle,Lamiaceae,Monarda citriodora,Random_census2,29,1200,3
Halle,Lamiaceae,Nepeta clarkei,Random_census2,18,12960,3
Halle,Lamiaceae,Nepeta clarkei,Random_census8,19,10000,3
Halle,Lamiaceae,Origanum vulgare,FocalNA,28,3100,15
Halle,Lamiaceae,Origanum vulgare,FocalNA,29,500,15
Halle,Lamiaceae,Origanum vulgare,FocalNA,31,150,15
Halle,Lamiaceae,Phlomoides tuberosa,Random_census5,23,2900,3
Halle,Lamiaceae,Prunella grandiflora,Random_census7,24,400,3
Halle,Lamiaceae,Salvia officinalis,FocalNA,22,7200,15
Halle,Lamiaceae,Salvia officinalis,FocalNA,23,10000,15
Halle,Lamiaceae,Salvia officinalis,FocalNA,24,100,15
Halle,Lamiaceae,Salvia officinalis,FocalNA,26,40,15
Halle,Lamiaceae,Salvia sclarea,Random_census6,25,600,3
Halle,Lamiaceae,Salvia sclarea,Random_census7,26,910,3
Halle,Lamiaceae,Satureja montana,Random_census10,34,4500,3
Halle,Lamiaceae,Satureja montana,Random_census3,33,10000,3
Halle,Lamiaceae,Satureja montana,Random_census5,31,1000,3
Halle,Lamiaceae,Scutellaria baicalensis,Random_census8,31,200,3
Halle,Lamiaceae,Stachys byzantina,Random_census5,25,250,3
Halle,Lamiaceae,Teucrium scorodonia,Random_census8,26,20000,3
Halle,Lamiaceae,Thymus vulgaris,Random_census4,21,10000,3
Halle,Lamiaceae,Thymus vulgaris,Random_census8,21,20000,3
Halle,Liliaceae,Tulipa sylvestris,FocalNA,16,60,15
Halle,Liliaceae,Tulipa sylvestris,Random_census5,16,100,3
Halle,Limnanthaceae,Limnanthes douglasii,Random_census5,22,1500,3
Halle,Lythraceae,Lythrum salicaria,Random_census1,34,600,3
Halle,Lythraceae,Lythrum salicaria,Random_census2,32,1470,3
Halle,Lythraceae,Lythrum salicaria,Random_census4,28,552,3
Halle,Lythraceae,Lythrum salicaria,Random_census4,31,800,3
Halle,Lythraceae,Lythrum salicaria,Random_census5,29,1540,3
Halle,Lythraceae,Lythrum salicaria,Random_census8,33,750,3
Halle,Magnoliaceae,Magnolia stellata,Random_census13,14,300,1
Halle,Magnoliaceae,Magnolia stellata,Random_census5,14,300,1
Halle,Malvaceae,Malva thuringiaca,Random_census2,31,120,3
Halle,Malvaceae,Malva thuringiaca,Random_census5,28,60,3
Halle,Malvaceae,Malva thuringiaca,Random_census9,26,120,3
Halle,Oleaceae,Chrysojasminum fruticans,Random_census1,21,1500,3
Halle,Oleaceae,Syringa tomentella,Random_census6,21,300,3
Halle,Onagraceae,Fuchsia magellanica,FocalNA,27,150,15
Halle,Onagraceae,Fuchsia magellanica,FocalNA,28,200,15
Halle,Onagraceae,Fuchsia magellanica,FocalNA,29,420,15
Halle,Onagraceae,Fuchsia magellanica,FocalNA,31,170,15
Halle,Onagraceae,Fuchsia magellanica,FocalNA,32,150,15
Halle,Onagraceae,Fuchsia magellanica,FocalNA,34,70,15
Halle,Onagraceae,Oenothera odorata,Random_census3,24,20,3
Halle,Oxalidaceae,Oxalis acetosella,FocalNA,16,150,15
Halle,Paeoniaceae,Paeonia daurica,Random_census6,19,14,3
Halle,Paeoniaceae,Paeonia officinalis,Random_census9,18,1,3
Halle,Papaveraceae,Chelidonium majus,FocalNA,19,200,15
Halle,Papaveraceae,Chelidonium majus,FocalNA,20,150,15
Halle,Papaveraceae,Chelidonium majus,FocalNA,21,50,15
Halle,Papaveraceae,Chelidonium majus,Random_census1,19,200,3
Halle,Papaveraceae,Corydalis cava,Random_census10,15,1800,3
Halle,Papaveraceae,Corydalis cava,Random_census14,14,255,1
Halle,Papaveraceae,Corydalis cava,Random_census2,13,200,30
Halle,Papaveraceae,Eschscholzia californica,Random_census4,27,40,3
Halle,Plantaginaceae,Digitalis purpurea,Random_census6,23,200,3
Halle,Plantaginaceae,Globularia trichosantha,Random_census4,22,100,3
Halle,Plantaginaceae,Gratiola officinalis,FocalNA,23,400,15
Halle,Plantaginaceae,Gratiola officinalis,FocalNA,24,100,15
Halle,Plantaginaceae,Penstemon hartwegii,Random_census7,25,840,3
Halle,Plumbaginaceae,Limonium gmelini,Random_census6,31,875,3
Halle,Plumbaginaceae,Limonium sinuatum,Random_census1,27,1850,3
Halle,Polygonaceae,Polygonum bistorta,FocalNA,18,65,15
Halle,Primulaceae,Primula denticulata,FocalNA,18,5,15
Halle,Primulaceae,Primula veris,FocalNA,15,200,15
Halle,Primulaceae,Primula veris,FocalNA,16,200,15
Halle,Primulaceae,Primula veris,FocalNA,17,172,15
Halle,Primulaceae,Primula vulgaris,Random_census10,14,20,1
Halle,Primulaceae,Primula vulgaris,Random_census12,14,20,1
Halle,Primulaceae,Primula vulgaris,Random_census15,14,20,1
Halle,Primulaceae,Primula vulgaris,Random_census17,14,20,1
Halle,Primulaceae,Primula vulgaris,Random_census2,14,20,1
Halle,Primulaceae,Primula vulgaris,Random_census4,15,500,3
Halle,Primulaceae,Primula vulgaris,Random_census9,15,500,3
Halle,Ranunculaceae,Aconitum lycoctonum,FocalNA,21,45,15
Halle,Ranunculaceae,Aconitum lycoctonum,FocalNA,26,40,15
Halle,Ranunculaceae,Aconitum lycoctonum,Random_census2,24,700,3
Halle,Ranunculaceae,Aconitum vulparia,Random_census3,25,500,3
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,27,120,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,28,78,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,29,160,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,31,80,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,32,60,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,33,40,15
Halle,Ranunculaceae,Clematis integrifolia,FocalNA,34,21,15
Halle,Ranunculaceae,Clematis recta,FocalNA,27,700,15
Halle,Ranunculaceae,Clematis recta,FocalNA,28,300,15
Halle,Ranunculaceae,Clematis recta,FocalNA,29,1680,15
Halle,Ranunculaceae,Clematis recta,FocalNA,31,600,15
Halle,Ranunculaceae,Clematis recta,FocalNA,32,400,15
Halle,Ranunculaceae,Clematis recta,FocalNA,33,120,15
Halle,Ranunculaceae,Clematis recta,FocalNA,34,21,15
Halle,Ranunculaceae,Delphinium elatum,Random_census2,23,120,3
Halle,Ranunculaceae,Ranunculus bulbosus,Random_census5,18,500,3
Halle,Ranunculaceae,Ranunculus bulbosus,Random_census7,19,500,3
Halle,Ranunculaceae,Ranunculus bulbosus,Random_census9,20,300,3
Halle,Ranunculaceae,Ranunculus caucasicus,Random_census8,22,150,3
Halle,Ranunculaceae,Ranunculus ficaria,Random_census7,15,100,3
Halle,Ranunculaceae,Ranunculus lanuginosus,Random_census2,17,36,3
Halle,Ranunculaceae,Thalictrum flavum,Random_census4,25,1000,3
Halle,Resedaceae,Reseda alba,Random_census8,34,272,3
Halle,Resedaceae,Reseda lutea,Random_census6,22,180,3
Halle,Resedaceae,Reseda odorata,Random_census9,34,3000,3
Halle,Rosaceae,Cotoneaster adpressus,Random_census3,18,10000,3
Halle,Rosaceae,Drymocallis rupestris,Random_census3,21,1200,3
Halle,Rosaceae,Drymocallis rupestris,Random_census6,20,400,3
Halle,Rosaceae,Fragaria vesca,FocalNA,16,100,15
Halle,Rosaceae,Fragaria vesca,FocalNA,17,45,15
Halle,Rosaceae,Fragaria vesca,FocalNA,19,30,15
Halle,Rosaceae,Fragaria vesca,FocalNA,20,22,30
Halle,Rosaceae,Geum rivale,FocalNA,17,33,15
Halle,Rosaceae,Geum rivale,FocalNA,19,120,15
Halle,Rosaceae,Geum rivale,FocalNA,20,100,15
Halle,Rosaceae,Potentilla delphinensis,Random_census10,22,50,3
Halle,Rosaceae,Potentilla montana,Random_census8,17,150,3
Halle,Rosaceae,Potentilla sterilis,Random_census11,14,30,1
Halle,Rosaceae,Potentilla sterilis,Random_census18,14,30,1
Halle,Rosaceae,Prunus tenella,Random_census1,16,400,3
Halle,Rosaceae,Rosa foetida,Random_census9,21,500,3
Halle,Rosaceae,Waldsteinia ternata,Random_census2,16,400,3
Halle,Rosaceae,Waldsteinia ternata,Random_census7,16,250,3
Halle,Rutaceae,Dictamnus albus,FocalNA,22,240,15
Halle,Rutaceae,Dictamnus albus,FocalNA,23,250,15
Halle,Saxifragaceae,Heuchera grossulariifolia,Random_census9,22,12000,3
Halle,Solanaceae,Scopolia carniolica,FocalNA,15,80,15
Halle,Solanaceae,Solanum dulcamara,FocalNA,23,200,15
Halle,Solanaceae,Solanum dulcamara,FocalNA,24,20,15
Halle,Solanaceae,Solanum dulcamara,FocalNA,25,15,15
Halle,Solanaceae,Solanum dulcamara,FocalNA,26,7,15
Halle,Solanaceae,Solanum dulcamara,FocalNA,33,8,15
Halle,Verbenaceae,Verbena rigida,Random_census4,23,40,3
Halle,Verbenaceae,Verbena rigida,Random_census5,26,1650,3
Halle,Violaceae,Viola odorata,FocalNA,13,250,45
Halle,Violaceae,Viola odorata,FocalNA,14,100,15
Jena,Amaryllidaceae,Agapanthus africanus,Random_census5,31,200,3
Jena,Amaryllidaceae,Allium cernuum,Random_census6,25,1600,3
Jena,Amaryllidaceae,Allium tuberosum,Random_census1,33,1058,3
Jena,Amaryllidaceae,Allium ursinum,FocalNA,19,1150,15
Jena,Amaryllidaceae,Allium ursinum,FocalNA,20,300,15
Jena,Amaryllidaceae,Ipheion uniflorum,Random_census1,17,200,15
Jena,Apiaceae,Daucus carota,Random_census4,32,1800,3
Jena,Apiaceae,Heracleum sphondylium,Random_census10,31,110,3
Jena,Apiaceae,Seseli montanum,Random_census8,33,15000,3
Jena,Apocynaceae,Vinca minor,FocalNA,14,150,15
Jena,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,23,1020,15
Jena,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,25,125,15
Jena,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,28,30,15
Jena,Asparagaceae,Ornithogalum nutans,Random_census9,15,25,3
Jena,Asphodelaceae,Asphodelus albus,FocalNA,20,116,15
Jena,Asphodelaceae,Asphodelus albus,Random_census8,22,500,3
Jena,Asteraceae,Achillea filipendulina,Random_census3,27,8,3
Jena,Asteraceae,Achillea filipendulina,Random_census3,28,10000,3
Jena,Asteraceae,Achillea filipendulina,Random_census8,29,2000,3
Jena,Asteraceae,Achillea millefolium,FocalNA,24,90,15
Jena,Asteraceae,Achillea millefolium,FocalNA,26,1400,3
Jena,Asteraceae,Achillea millefolium,FocalNA,27,1000,15
Jena,Asteraceae,Achillea millefolium,FocalNA,28,2200,15
Jena,Asteraceae,Achillea millefolium,FocalNA,29,1218,15
Jena,Asteraceae,Achillea millefolium,FocalNA,31,400,15
Jena,Asteraceae,Achillea millefolium,FocalNA,32,300,15
Jena,Asteraceae,Bellis perennis,Random_census1,19,1000,3
Jena,Asteraceae,Centaurea scabiosa,Random_census6,26,36,3
Jena,Asteraceae,Centaurea stoebe,Random_census6,27,98,3
Jena,Asteraceae,Centaurea subtilis,Random_census4,29,25,3
Jena,Asteraceae,Cicerbita macrophylla,Random_census6,33,300,3
Jena,Asteraceae,Cicerbita plumieri,Random_census11,32,750,3
Jena,Asteraceae,Cichorium intybus,Random_census4,31,40,3
Jena,Asteraceae,Erigeron annuus,Random_census7,27,600,3
Jena,Asteraceae,Erigeron annuus,Random_census9,31,200,3
Jena,Asteraceae,Eutrochium maculatum,Random_census8,31,50,3
Jena,Asteraceae,Helichrysum arenarium,Random_census5,29,860,3
Jena,Asteraceae,Hieracium sp,Random_census1,31,30,3
Jena,Asteraceae,Hypochaeris maculata,Random_census10,33,1500,3
Jena,Asteraceae,Inula salicina,Random_census10,26,39,3
Jena,Asteraceae,Jacobaea erucifolia,Random_census2,29,315,3
Jena,Asteraceae,Leucanthemum vulgare,FocalNA,24,20,15
Jena,Asteraceae,Leucanthemum vulgare,FocalNA,25,350,15
Jena,Asteraceae,Leucanthemum vulgare,FocalNA,26,30,3
Jena,Asteraceae,Pentanema helenioides,Random_census2,26,27,3
Jena,Asteraceae,Pilosella officinarum,Random_census1,23,70,3
Jena,Asteraceae,Rudbeckia fulgida,Random_census5,28,48,3
Jena,Asteraceae,Solidago flexicaulis,Random_census7,31,160,3
Jena,Asteraceae,Solidago flexicaulis,Random_census8,32,1000,3
Jena,Asteraceae,Tripleurospermum maritimum,Random_census2,32,50,3
Jena,Boraginaceae,Alkanna orientalis,Random_census1,20,300,3
Jena,Boraginaceae,Alkanna orientalis,Random_census6,22,138,3
Jena,Boraginaceae,Alkanna orientalis,Random_census6,23,120,3
Jena,Boraginaceae,Borago officinalis,Random_census10,25,175,3
Jena,Boraginaceae,Brunnera macrophylla,FocalNA,17,380,15
Jena,Boraginaceae,Brunnera macrophylla,FocalNA,18,200,15
