Botanical_garden,Plant_family,Plant,Individual,Week,Total_floral_abundance_family,Total_sampling_time_family
Halle,Aizoaceae,Delosperma cooperi,Random_census3,26,280,3
Halle,Amaryllidaceae,Allium cernuum,Random_census1,25,2500,3
Halle,Amaryllidaceae,Allium cernuum,Random_census10,26,3500,3
Halle,Amaryllidaceae,Allium tuberosum,Random_census4,33,17000,3
Halle,Amaryllidaceae,Allium tuberosum,Random_census4,34,900,3
Halle,Amaryllidaceae,Allium turkestanicum,Random_census10,33,1125,3
Halle,Amaryllidaceae,Allium ursinum,Random_census8,18,300,3
Halle,Amaryllidaceae,Ipheion uniflorum,Random_census8,14,100,1
Halle,Amaryllidaceae,Narcissus pseudonarcissus,FocalNA,14,33,15
Halle,Apiaceae,Anthriscus sylvestris,Random_census3,19,100000,3
Halle,Apiaceae,Bupleurum aureum,Random_census8,23,1000,3
Halle,Apiaceae,Daucus carota,Random_census6,28,19,3
Halle,Apiaceae,Eryngium caeruleum,Random_census3,31,1200,3
Halle,Apiaceae,Eryngium maritimum,Random_census1,32,140,3
Halle,Apiaceae,Eryngium planum,Random_census3,27,250,3
Halle,Apiaceae,Ferula assa-foetida,Random_census3,32,7840,3
Halle,Apiaceae,Foeniculum vulgare,Random_census9,33,26000,3
Halle,Apiaceae,Seseli gummiferum,Random_census4,29,1,3
Halle,Apiaceae,Seseli hippomarathrum,Random_census2,34,12000,3
Halle,Apocynaceae,Asclepias syriaca,Random_census6,26,300,3
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,28,75,15
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,29,20,15
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,31,28,15
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,32,32,15
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,33,252,15
Halle,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,34,250,15
Halle,Asparagaceae,Asparagus oligoclonos,Random_census4,24,1000,3
