Botanical_garden,Week,av_ND_plant,av_ND_plant_upper,av_ND_plant_lower,av_ND_poll,av_ND_poll_upper,av_ND_poll_lower
Leipzig,12,0.23809523809523808,0.3333333333333333,0.16666666666666666,0.23809523809523808,0.4107142857142857,0.14285714285714285
Halle,13,0.4,0.9400000000000002,0.2,0.4,0.6,0.2
Halle,14,0.23076923076923078,0.5818181818181817,0.09090909090909091,0.23076923076923075,0.5384615384615384,0.07692307692307693
Jena,14,0.296875,0.603125,0.125,0.296875,0.603125,0.125
Leipzig,14,0.375,0.71875,0.25,0.375,0.5,0.17916666666666667
Halle,15,0.14761904761904762,0.40166666666666645,0.06666666666666667,0.14761904761904762,0.517857142857143,0.07142857142857142
Leipzig,15,0.38181818181818183,0.6,0.2,0.3818181818181818,0.9454545454545457,0.09090909090909091
Jena,15,0.25,0.25,0.25,0.25,0.6795454545454545,0.09090909090909091
Halle,16,0.15384615384615383,0.3047619047619047,0.047619047619047616,0.15384615384615385,0.5769230769230769,0.07692307692307693
Leipzig,16,0.11419753086419752,0.25416666666666665,0.05555555555555555,0.11419753086419752,0.3333333333333333,0.05555555555555555
Jena,17,0.25925925925925924,0.5555555555555556,0.1111111111111111,0.25925925925925924,0.6888888888888892,0.1111111111111111
Halle,17,0.1688888888888889,0.44000000000000006,0.06666666666666667,0.1688888888888889,0.4866666666666667,0.06666666666666667
Leipzig,17,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.7571428571428575,0.07142857142857142
Jena,18,0.15441176470588236,0.3897058823529411,0.058823529411764705,0.15441176470588236,0.5125000000000006,0.0625
Halle,18,0.10937499999999999,0.21875,0.041666666666666664,0.109375,0.39218750000000013,0.0625
Leipzig,18,0.10427807486631016,0.20909090909090916,0.045454545454545456,0.10427807486631016,0.43970588235294106,0.058823529411764705
Halle,19,0.12187500000000001,0.34375,0.05,0.12187499999999998,0.41406249999999956,0.0625
Jena,19,0.10294117647058823,0.1875,0.0625,0.10294117647058823,0.286764705882353,0.058823529411764705
Leipzig,19,0.09473684210526316,0.22750000000000004,0.05,0.09473684210526316,0.24078947368421028,0.05263157894736842
Halle,20,0.11071428571428571,0.23374999999999996,0.05,0.11071428571428571,0.2892857142857141,0.07142857142857142
Leipzig,20,0.08851674641148326,0.18181818181818182,0.045454545454545456,0.08851674641148324,0.26052631578947344,0.05263157894736842
Jena,20,0.09695290858725761,0.268421052631579,0.05263157894736842,0.0969529085872576,0.3500000000000001,0.05263157894736842
Jena,21,0.12171052631578946,0.2631578947368421,0.05263157894736842,0.12171052631578946,0.28437500000000004,0.0625
Leipzig,21,0.09259259259259257,0.20462962962962955,0.037037037037037035,0.09259259259259259,0.3424999999999988,0.05
Halle,21,0.14792899408284024,0.2846153846153846,0.07692307692307693,0.14792899408284024,0.2846153846153846,0.07692307692307693
Jena,22,0.1171875,0.2265625,0.0625,0.1171875,0.25,0.0625
Halle,22,0.13736263736263735,0.38571428571428557,0.07142857142857142,0.13736263736263737,0.4096153846153846,0.07692307692307693
Leipzig,22,0.20833333333333334,0.4166666666666667,0.08333333333333333,0.20833333333333331,0.5843749999999999,0.0625
Jena,23,0.08310249307479224,0.18684210526315792,0.05263157894736842,0.08310249307479223,0.18684210526315792,0.05263157894736842
Halle,23,0.10352941176470588,0.2720000000000002,0.04,0.10352941176470588,0.19999999999999993,0.058823529411764705
Leipzig,23,0.09714285714285714,0.27357142857142847,0.02857142857142857,0.09714285714285716,0.3824999999999992,0.05
Jena,24,0.10526315789473685,0.2,0.05,0.10526315789473684,0.2631578947368421,0.05263157894736842
Halle,24,0.11904761904761904,0.23809523809523808,0.047619047619047616,0.11904761904761903,0.34375,0.0625
Leipzig,24,0.09021739130434782,0.27554347826086933,0.021739130434782608,0.09021739130434785,0.24375,0.05
Jena,25,0.11312217194570136,0.23846153846153856,0.038461538461538464,0.11312217194570136,0.30147058823529416,0.058823529411764705
Leipzig,25,0.08690330477356181,0.3081395348837212,0.023255813953488372,0.08690330477356181,0.20789473684210502,0.05263157894736842
Halle,25,0.14375,0.35,0.03333333333333333,0.14374999999999996,0.42656249999999973,0.0625
Halle,26,0.1282051282051282,0.3519230769230769,0.02564102564102564,0.1282051282051282,0.6138888888888888,0.05555555555555555
Leipzig,26,0.11681643132220797,0.2329268292682927,0.024390243902439025,0.11681643132220795,0.3157894736842105,0.05263157894736842
Jena,26,0.17267552182163187,0.3419354838709678,0.045161290322580636,0.17267552182163187,0.6176470588235294,0.058823529411764705
Leipzig,27,0.155,0.355,0.055,0.15499999999999997,0.43749999999999956,0.0625
Jena,27,0.1280864197530864,0.2777777777777778,0.03958333333333333,0.1280864197530864,0.39583333333333337,0.05555555555555555
Halle,27,0.11413043478260869,0.2554347826086957,0.029891304347826088,0.1141304347826087,0.4375,0.0625
Leipzig,28,0.15476190476190477,0.4652777777777775,0.05555555555555555,0.15476190476190477,0.5214285714285712,0.07142857142857142
Jena,28,0.09833795013850415,0.27763157894736845,0.02631578947368421,0.09833795013850416,0.33157894736842014,0.05263157894736842
Halle,28,0.0875,0.24492187499999984,0.023046875,0.08750000000000001,0.3212499999999998,0.05
Leipzig,29,0.11944444444444444,0.31875000000000003,0.041666666666666664,0.11944444444444445,0.3133333333333335,0.06666666666666667
Jena,29,0.09887359198998748,0.2851063829787237,0.02127659574468085,0.09887359198998749,0.29411764705882354,0.058823529411764705
Halle,29,0.10714285714285714,0.2500000000000001,0.024999999999999998,0.10714285714285716,0.3088235294117647,0.058823529411764705
Jena,31,0.14736842105263157,0.35,0.05263157894736842,0.14736842105263157,0.40666666666666673,0.06666666666666667
Halle,31,0.109,0.29349999999999976,0.04,0.109,0.44374999999999964,0.05
Leipzig,31,0.16742081447963802,0.3352941176470588,0.058823529411764705,0.16742081447963802,0.44615384615384646,0.07692307692307693
Jena,32,0.125,0.20625000000000004,0.03125,0.125,0.3794117647058821,0.058823529411764705
Halle,32,0.10476190476190476,0.3051020408163265,0.04081632653061224,0.10476190476190476,0.3066666666666663,0.06666666666666667
Jena,33,0.1401098901098901,0.27019230769230757,0.038461538461538464,0.1401098901098901,0.45535714285714285,0.07142857142857142
Leipzig,32,0.1703296703296703,0.33571428571428563,0.07142857142857142,0.17032967032967034,0.5153846153846151,0.07692307692307693
Leipzig,33,0.22395833333333331,0.46562499999999996,0.0796875,0.22395833333333331,0.625,0.08333333333333333
Halle,33,0.11578947368421053,0.3187500000000001,0.025,0.11578947368421053,0.2736842105263152,0.05263157894736842
Leipzig,34,0.19230769230769232,0.375,0.0625,0.19230769230769232,0.6538461538461539,0.07692307692307693
Halle,34,0.11284722222222222,0.2951388888888889,0.027777777777777776,0.11284722222222224,0.4453125,0.0625
