Botanical_garden,Plant,Pollinator,Status,ID_by,Pollinator_id,Sex,Comment,Image_link,Interactions,Floral_abundance,Capitulum,Flowers_per_capitulum,Flowering_neighbours_intensity,Time_start,Time_finish,Total_time_species,Year,Month,Day,Weather,Observer,Random_census_stop,Sampling
Leipzig,Cyclamen coum,None,checked,NA,NA,NA,NA,NA,0,50,No,NA,1000,14:45,15:00,15,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Helleborus foetidus,Osmia cornuta,checked,M Hoffmann,L1,Male,NA,NA,7,300,No,NA,250,15:00,15:15,15,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Helleborus foetidus,Bombus terrestris,checked,M Hoffmann,L2,Female,NA,NA,5,300,No,NA,250,15:00,15:15,15,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Tussilago farfara,None,checked,NA,NA,NA,NA,NA,0,150,Yes,15,0,15:15,15:30,15,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Scilla luciliae,Apis mellifera,checked,NA,NA,NA,NA,NA,1,1000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,1,Random_census
Leipzig,Scilla luciliae,Apis mellifera,checked,NA,NA,NA,NA,NA,1,1000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,1,Random_census
Leipzig,Scilla luciliae,Apis mellifera,checked,NA,NA,NA,NA,NA,1,1000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,1,Random_census
Leipzig,Ribes sanguineum,Apis mellifera,checked,NA,NA,NA,NA,NA,3,1000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,2,Random_census
Leipzig,Xanthoceras sorbifolium,Diptera sp,checked,NA,NA,NA,NA,NA,1,1000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,3,Random_census
Leipzig,Scilla luciliae,Apis mellifera,checked,NA,NA,NA,NA,NA,5,5000,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,4,Random_census
Leipzig,Muscari botryoides,Bombus terrestris,checked,NA,NA,NA,NA,NA,1,250,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,5,Random_census
Leipzig,Muscari botryoides,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,250,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,5,Random_census
Leipzig,Muscari botryoides,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,250,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,5,Random_census
Leipzig,Muscari botryoides,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,250,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,5,Random_census
Leipzig,Lamium hybridum,Apis mellifera,checked,NA,NA,NA,NA,NA,10,25,No,NA,NA,15:30,16:00,5,2023,3,23,Cloudy,JB Lanuza,6,Random_census
Leipzig,Tussilago farfara,Lasioglossum sp,checked,NA,LP1,NA,https://www.inaturalist.org/observations/193042034,https://www.dropbox.com/sh/fmnl8r5nk67hw6n/AAA1H5Rcyh7B_sfOwRD9uQGaa?dl=0,1,150,Yes,15,0,10:50,11:00,10,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Tussilago farfara,Andrena bicolor,checked,M Hoffmann,L3,Female,NA,NA,5,150,Yes,15,0,10:50,11:00,10,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Tussilago farfara,Andrena bicolor,checked,NA,Like L3,NA,NA,NA,5,150,Yes,15,0,10:50,11:00,10,2023,3,23,Cloudy,JB Lanuza,NA,Focal
Leipzig,Cyclamen coum,None,checked,NA,NA,NA,NA,NA,0,15,No,NA,NA,10:00,10:15,15,2023,3,28,Snowy,JB Lanuza,NA,Focal
Leipzig,Helleborus foetidus,None,checked,NA,NA,NA,NA,NA,0,250,No,NA,NA,10:15,10:30,15,2023,3,28,Snowy,JB Lanuza,NA,Focal
Leipzig,Tussilago farfara,None,checked,NA,NA,NA,NA,NA,0,100,Yes,15,NA,10:30,10:45,15,2023,3,28,Snowy,JB Lanuza,NA,Focal
Leipzig,Vinca minor,None,checked,NA,NA,NA,NA,NA,0,25,No,NA,NA,10:45,11:00,15,2023,3,28,Snowy,JB Lanuza,NA,Focal
Leipzig,Scilla luciliae,None,checked,NA,NA,NA,NA,NA,0,5000,No,NA,1,10:45,11:15,10,2023,3,28,Snowy,JB Lanuza,1,Random_census
Leipzig,Ribes sanguineum,None,checked,NA,NA,NA,NA,NA,0,1000,No,NA,1,10:45,11:15,10,2023,3,28,Snowy,JB Lanuza,2,Random_census
Leipzig,Muscari botryoides,None,checked,NA,NA,NA,NA,NA,0,250,No,NA,NA,10:45,11:15,5,2023,3,28,Snowy,JB Lanuza,3,Random_census
Leipzig,Lamium hybridum,None,checked,NA,NA,NA,NA,NA,0,25,No,NA,NA,10:45,11:15,5,2023,3,28,Snowy,JB Lanuza,4,Random_census
Halle,Scopolia carniolica,None,checked,NA,NA,NA,NA,NA,0,100,No,NA,0,14:45,15:00,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,3,250,No,NA,0,15:00,15:45,45,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Viola odorata,Anthophora plumipes,checked,NA,NA,NA,NA,NA,1,250,No,NA,0,15:00,15:45,45,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Viola odorata,Apis mellifera,checked,NA,NA,NA,NA,NA,1,250,No,NA,0,15:00,15:45,45,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Viola odorata,Pollenia vagabunda,checked,J Cobain,H1,Female,NA,NA,1,250,No,NA,0,15:00,15:45,45,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Viola odorata,Andrena minutula,checked,M Hoffmann,H2,Female,NA,NA,1,250,No,NA,0,15:00,15:45,45,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Apis mellifera,checked,NA,NA,NA,NA,NA,15,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,3,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,4,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,4,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,3,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,4,500,No,NA,50,16:50,17:05,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Puschkinia scilloides,Osmia cornuta,checked,NA,NA,NA,NA,NA,3,500,No,NA,50,17:00,17:15,15,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Lathyrus vernus,None,checked,NA,NA,NA,NA,NA,0,5,No,NA,50,17:15,17:45,30,2023,3,29,Rainy,JB Lanuza,NA,Focal
Halle,Muscari botryoides,Osmia cornuta,checked,NA,NA,NA,NA,NA,2,200,No,NA,NA,17:15,17:45,30,2023,3,29,Rainy,JB Lanuza,1,Random_census
Halle,Corydalis cava,Anthophora plumipes,checked,NA,NA,NA,NA,NA,3,200,No,NA,NA,17:15,17:45,30,2023,3,29,Rainy,JB Lanuza,2,Random_census
Halle,Pulmonaria mollissima,Anthophora plumipes,checked,NA,NA,NA,NA,NA,8,200,No,NA,NA,17:15,17:45,30,2023,3,29,Rainy,JB Lanuza,3,Random_census
Halle,Pulmonaria mollissima,Anthophora plumipes,checked,NA,NA,NA,NA,NA,6,200,No,NA,NA,17:15,17:45,30,2023,3,29,Rainy,JB Lanuza,4,Random_census
Jena,Hepatica nobilis,None,checked,NA,NA,NA,NA,NA,0,700,No,NA,0,13:15,13:30,15,2023,3,31,Rainy,JB Lanuza,NA,Focal
Jena,Helleborus foetidus,None,checked,NA,NA,NA,NA,NA,0,25,No,NA,0,13:30,13:45,15,2023,3,31,Rainy,JB Lanuza,NA,Focal
Jena,Pulsatilla vulgaris,None,checked,NA,NA,NA,NA,NA,0,5,No,NA,0,13:45,14:00,15,2023,3,31,Rainy,JB Lanuza,NA,Focal
Jena,Primula denticulata,None,checked,NA,NA,NA,NA,NA,0,250,No,NA,0,14:00,14:15,15,2023,3,31,Rainy,JB Lanuza,NA,Focal
Jena,Primula vulgaris,None,checked,NA,NA,NA,NA,NA,0,15,No,NA,0,14:15,14:30,15,2023,3,31,Rainy,JB Lanuza,NA,Focal
Jena,Corydalis cava,None,checked,NA,NA,NA,NA,NA,0,150,No,NA,NA,14:30,15:00,5,2023,3,31,Rainy,JB Lanuza,1,Random_census
Halle,Scopolia carniolica,None,checked,NA,NA,NA,NA,NA,0,120,No,NA,10,11:00,11:15,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,5,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Anthophora plumipes,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Anthophora plumipes,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,2,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,5,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,2,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Andrena strohmella,checked,M Hoffmann,H3,Male,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,20,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Anthophora plumipes,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
Halle,Viola odorata,Osmia cornuta,checked,NA,NA,NA,NA,NA,1,100,No,NA,100,11:15,11:30,15,2023,4,6,Sunny,HF Morgenroth & JB Lanuza,NA,Focal
