Species,Phenology,Comment,Reference
Melitta nigricans,NA,NA,NA
Osmia bicolor,NA,NA,NA
Nomada fabriciana,NA,NA,NA
Osmia aurulenta,NA,NA,NA
Halictus tumulorum,NA,NA,NA
Megachile maritima,NA,NA,NA
Lasioglossum leucozonium,NA,NA,NA
Anthrenus scrophulariae,NA,NA,NA
Prosena siberita,NA,NA,NA
Sphaerophoria rueppellii,NA,NA,NA
Ceratina cyanea,NA,NA,NA
Lapposyrphus lapponicus,NA,NA,NA
Bombus soroeensis,NA,NA,NA
Anthophora aestivalis,NA,NA,NA
Macropis fulvipes,NA,NA,NA
Lasioglossum pauxillum,NA,NA,NA
Hemipenthes maura,NA,NA,NA
Andrena pilipes,NA,NA,NA
Megachile rotundata,NA,NA,NA
Lasioglossum pallens,NA,NA,NA
Lasioglossum fulvicorne,NA,NA,NA
Hylaeus brevicornis,NA,NA,NA
Andrena curvungula,NA,NA,NA
Megachile pilidens,NA,NA,NA
Sphecodes monilicornis,NA,NA,NA
Lasioglossum politum,NA,NA,NA
Coelioxys afra,NA,NA,NA
Hylaeus nigritus,NA,NA,NA
Pollenia vagabunda,NA,NA,NA
Megachile circumcincta,NA,NA,NA
Lasioglossum laticeps,NA,NA,NA
Lasioglossum villosulum,NA,NA,NA
Bombylius venosus,NA,NA,NA
Dinetus pictus,NA,NA,NA
Gymnosoma nudifrons,NA,NA,NA
Ancistrocerus gazella,NA,NA,NA
Cerceris quadricincta,NA,NA,NA
Megachile lagopoda,NA,NA,NA
Gymnomerus laevipes,NA,NA,NA
Lasioglossum interruptum,NA,NA,NA
Osmia brevicornis,NA,NA,NA
Andrena fulvago,NA,NA,NA
Nomada flavoguttata,NA,NA,NA
Megachile versicolor,NA,NA,NA
Hylaeus confusus,NA,NA,NA
Cerceris quinquefasciata,NA,NA,NA
Phasia barbifrons,NA,NA,NA
Nysson maculosus,NA,NA,NA
Hylaeus punctatus,NA,NA,NA
Lasioglossum nitidulum,NA,NA,NA
Phasia pusilla,NA,NA,NA
Bombus subterraneus,NA,NA,NA
Chrysogaster virescens,NA,NA,NA
Coelioxys aurolimbatus,NA,NA,NA
Thyreus orbatus,NA,NA,NA
Miltogramma punctata,NA,NA,NA
Andrena minutuloides,NA,NA,NA
Coelioxys elongatus,NA,NA,NA
Sphecodes pellucidus,NA,NA,NA
Lasioglossum minutissimum,NA,NA,NA
Hedychrum gerstaeckeri,NA,NA,NA
Sphecodes ferruginatus,NA,NA,NA
Miltogramma germari,NA,NA,NA
Pollenia amentaria,NA,NA,NA
Coelioxys rufescens,NA,NA,NA
Pollenia pediculata,NA,NA,NA
Bellardia viarum,NA,NA,NA
Lasioglossum nitidiusculum,NA,NA,NA
Megachile alpicola,NA,NA,NA
Andrena chrysopus,NA,NA,NA
Botanophila striolata,NA,NA,NA
