Botanical_garden,Week,dprime,sp_name,Type
Leipzig,26,0.928086294888918,Achillea filipendulina,Plant
Leipzig,26,0.33787842125994655,Anthericum ramosum,Plant
Leipzig,26,0.06979377655069456,Aquilegia vulgaris,Plant
Leipzig,26,0.5226257436996377,Campanula alliariifolia,Plant
Leipzig,26,0.580655290588896,Carduus,Plant
Leipzig,26,0.41996518552835477,Centaurea scabiosa,Plant
Leipzig,26,0.8641330126178095,Centranthus ruber,Plant
Leipzig,26,0.8237721457371553,Ferulago aucheri,Plant
Leipzig,26,0.29117722518945094,Hypericum olympicum,Plant
Leipzig,26,0.44883519710336917,Lavandula angustifolia,Plant
Leipzig,26,0.09851817290250961,Lotus herbaceus,Plant
Leipzig,26,0.16444304788879543,Origanum vulgare,Plant
Leipzig,26,0.11519664830950993,Psephellus dealbatus,Plant
Leipzig,26,0.5547804466566192,Salvia sclarea,Plant
Leipzig,26,0.9638223052975133,Silene coronaria,Plant
Leipzig,26,0.10201330791609323,Silene vulgaris,Plant
Leipzig,26,0.6007524250148364,Stachys byzantina,Plant
Leipzig,26,0.5453130826859715,Taraxacum sonchoides,Plant
Leipzig,26,0.22203191926529833,NA,Plant
Leipzig,26,0.48441182895838125,Coccinella septempunctata,Pollinator
Leipzig,26,0.7923096197060084,Colletes daviesanus,Pollinator
Leipzig,26,0.6898243404654143,Halictus subauratus,Pollinator
Leipzig,26,0.6283414293053653,Hedychrum gerstaeckeri,Pollinator
Leipzig,26,0.7646444362798728,Hylaeus nigritus,Pollinator
Leipzig,26,0.7679788454663288,Lucilia sericata,Pollinator
Leipzig,26,0.6898243404654143,Miltogramma punctata,Pollinator
Leipzig,26,0.07694738331810949,Apis mellifera,Pollinator
Leipzig,26,0.48836256846033016,Cerceris quinquefasciata,Pollinator
Leipzig,26,0.741680433614162,Episyrphus balteatus,Pollinator
Leipzig,26,0.4775371136971306,Nomada flavoguttata,Pollinator
Leipzig,26,0.1585921136123767,Bombus terrestris,Pollinator
Leipzig,26,0.6614962551361957,Andrena bicolor,Pollinator
Leipzig,26,0.5442898065314538,Andrena pilipes,Pollinator
Leipzig,26,0.5735882530258911,Halictus scabiosae,Pollinator
Leipzig,26,0.6592315105685508,Megachile lagopoda,Pollinator
Leipzig,26,0.733243815039349,Melitta haemorrhoidalis,Pollinator
Leipzig,26,0.7326867908625703,Bombus hypnorum,Pollinator
Leipzig,26,0.07578585022894983,Bombus pascuorum,Pollinator
Leipzig,26,0.6379137267852872,Bombus pratorum,Pollinator
Leipzig,26,0.08151834449125676,Bombus lapidarius,Pollinator
Leipzig,26,0.4272375707448486,Dryas iulia,Pollinator
Leipzig,26,0.4690425646243384,Oxythyrea funesta,Pollinator
Leipzig,26,0.6825164839118406,Hylaeus punctatus,Pollinator
Leipzig,26,0.5861007204191598,Lygaeus equestris,Pollinator
Leipzig,26,0.8956184120586093,Pseudovadonia livida,Pollinator
Leipzig,26,0.5861007204191598,Tiphia femorata,Pollinator
Leipzig,26,0.5861007204191598,Villa modesta,Pollinator
Leipzig,26,0.42522918939969406,Anthidium manicatum,Pollinator
Leipzig,26,0.5513163897352041,Eupeodes corollae,Pollinator
Leipzig,26,0.4926699063027324,Lasioglossum leucozonium,Pollinator
Leipzig,26,0.4672548517679982,Lasioglossum politum,Pollinator
Leipzig,26,0.4926699063027324,Sphaerophoria scripta,Pollinator
Leipzig,26,0.07565529869082606,Bombus hortorum,Pollinator
Leipzig,26,0.09357873807717093,Hoplitis adunca,Pollinator
Leipzig,26,0.07838050447265202,Pieris rapae,Pollinator
Leipzig,26,0.7947345862721493,Xylocopa violacea,Pollinator
Leipzig,26,0.741875471170275,Megachile ericetorum,Pollinator
Leipzig,26,0.6085199578355823,Lasioglossum villosulum,Pollinator
Leipzig,26,0.708623769844706,Oedemera lurida,Pollinator
Leipzig,27,0.9044304555995365,Achillea filipendulina,Plant
Leipzig,27,0.7450219317504275,Anthericum ramosum,Plant
Leipzig,27,0.7761643728906777,Centaurea scabiosa,Plant
Leipzig,27,0.9757175479422174,Centranthus ruber,Plant
Leipzig,27,0.28240521748153014,Eriocapitella tomentosa,Plant
Leipzig,27,0.2994625058896603,Erysimum pulchellum,Plant
Leipzig,27,0.7965930112929488,Euphorbia seguieriana,Plant
Leipzig,27,0.5556796092265005,Hypericum olympicum,Plant
Leipzig,27,0.88733438537006,Inula oculus-christi,Plant
Leipzig,27,0.4093235760884027,Lavandula angustifolia,Plant
Leipzig,27,0.754885291546435,Lomelosia cretica,Plant
Leipzig,27,0.24348870278248919,Silene coronaria,Plant
Leipzig,27,0.28240521748153014,Silene vulgaris,Plant
Leipzig,27,0.5271676015772293,Solanum incanum,Plant
Leipzig,27,0.13457564456788063,Verbascum nigrum,Plant
Leipzig,27,0.11545725573108155,NA,Plant
Leipzig,27,0.6951723508633305,Lucilia sericata,Pollinator
Leipzig,27,0.4512429018590407,Apis mellifera,Pollinator
Leipzig,27,0.291080838144056,Coccinella septempunctata,Pollinator
Leipzig,27,0.8770222721332043,Eupeodes corollae,Pollinator
Leipzig,27,0.2653713621869088,Pseudovadonia livida,Pollinator
Leipzig,27,0.10885699954432419,Bombus lapidarius,Pollinator
Leipzig,27,0.8600094888928966,Sphaerophoria scripta,Pollinator
Leipzig,27,0.691895799467812,Lasioglossum morio,Pollinator
Leipzig,27,0.9139471044610404,Hylaeus gredleri,Pollinator
Leipzig,27,0.8196703595921869,Oedemera lurida,Pollinator
Leipzig,27,0.11752992122590711,Bombus hortorum,Pollinator
Leipzig,27,0.22594201826920884,Bombus terrestris,Pollinator
Leipzig,27,0.7689275762935108,Lasioglossum politum,Pollinator
Leipzig,27,0.5398793101343419,Xylocopa violacea,Pollinator
Leipzig,27,0.3666692972642886,Anthidium manicatum,Pollinator
Leipzig,27,0.7495659263503749,Heriades truncorum,Pollinator
Leipzig,27,0.5649217312231118,Bombus hypnorum,Pollinator
Leipzig,27,0.08442039181378941,Bombus pascuorum,Pollinator
Leipzig,27,0.08773072926872802,Pieris rapae,Pollinator
Leipzig,20,0.8367441205319746,Aethionema grandiflorum,Plant
Leipzig,20,0.20956462003270288,Allium ursinum,Plant
Leipzig,20,0.7242724717407601,Anchusa officinalis,Plant
Leipzig,20,0.8085120086042363,Aquilegia vulgaris,Plant
Leipzig,20,0.9999999999999999,Caltha palustris,Plant
Leipzig,20,0.3370154078927581,Convallaria majalis,Plant
Leipzig,20,0.3678854454519092,Geranium macrorrhizum,Plant
Leipzig,20,0.3576430440311393,Helianthemum nummularium,Plant
Leipzig,20,0.9999999999999999,Knautia arvensis,Plant
Leipzig,20,0.6624888591205206,Lamium album,Plant
Leipzig,20,0.6163702747138484,Limnanthes douglasii,Plant
Leipzig,20,0.2553173218610182,Lunaria rediviva,Plant
Leipzig,20,0.874805383091614,Paeonia officinalis,Plant
Leipzig,20,0.6624888591205206,Polygonatum biflorum,Plant
Leipzig,20,0.6648625059331364,Vicia oroboides,Plant
Leipzig,20,0,Vinca minor,Plant
Leipzig,20,0.8137539916648473,Viola striata,Plant
Leipzig,20,0.5589588025045372,Andrena flavipes,Pollinator
Leipzig,20,0.7427138898819726,Osmia brevicornis,Pollinator
Leipzig,20,0.8365177952589364,Apis mellifera,Pollinator
Leipzig,20,0.43193903282626706,Botanophila striolata,Pollinator
Leipzig,20,0.772919005151212,Anthophora plumipes,Pollinator
Leipzig,20,0.6969542148619134,Bombus pascuorum,Pollinator
Leipzig,20,0.6985759126072031,Bombylius venosus,Pollinator
Leipzig,20,0.7138000203953925,Eucera nigrescens,Pollinator
Leipzig,20,0.8969914105061493,Xylocopa violacea,Pollinator
Leipzig,20,0.8553409116793619,Lasioglossum minutissimum,Pollinator
Leipzig,20,0.6122380649615099,Lasioglossum villosulum,Pollinator
Leipzig,20,0.4208875682238777,Ceratina cyanea,Pollinator
Leipzig,20,0.40060932612661593,Merodon equestris,Pollinator
Leipzig,20,0.8553409116793619,Andrena hattorfiana,Pollinator
Leipzig,20,0.6122380649615099,Oxythyrea funesta,Pollinator
Leipzig,20,0.510698915763548,Valgus hemipterus,Pollinator
Leipzig,20,0.42579566905845917,Bombylius major,Pollinator
Leipzig,20,0.7938921475367147,Osmia bicornis,Pollinator
Leipzig,19,0.35256533083838104,Ajuga reptans,Plant
Leipzig,19,0.8102591664877611,Allium ursinum,Plant
Leipzig,19,0.6164441744844678,Anchusa officinalis,Plant
Leipzig,19,0.68697679887917,Anemone sylvestris,Plant
Leipzig,19,0.47789091690355784,Aquilegia vulgaris,Plant
Leipzig,19,0.7941531675395654,Fragaria vesca,Plant
Leipzig,19,0.36062938440679376,Geranium macrorrhizum,Plant
Leipzig,19,0.8050495356911394,Iberis sempervirens,Plant
Leipzig,19,0,Lamium orvala,Plant
Leipzig,19,0.878072592742027,Lathyrus vernus,Plant
Leipzig,19,1,Menyanthes trifoliata,Plant
Leipzig,19,0.8137849394797563,Paeonia officinalis,Plant
Leipzig,19,0.9720986738775689,Polygonatum biflorum,Plant
Leipzig,19,0,Primula denticulata,Plant
Leipzig,19,1,Pulsatilla vulgaris,Plant
Leipzig,19,0.8393057006147003,Rhododendron brachycarpum,Plant
Leipzig,19,0.8283036036923551,Symphytum bulbosum,Plant
Leipzig,19,0.4475424807373409,Vinca minor,Plant
Leipzig,19,0.5544004414538316,Viola striata,Plant
Leipzig,19,0.8663127417329004,Anthophora plumipes,Pollinator
Leipzig,19,0.8589417093174386,Bombylius major,Pollinator
Leipzig,19,0.5877994504265804,Sphaerophoria scripta,Pollinator
Leipzig,19,0.794649415257116,Eucera nigrescens,Pollinator
Leipzig,19,0.623721072394425,Lasioglossum minutissimum,Pollinator
Leipzig,19,0.4622900654036249,Bombus hypnorum,Pollinator
Leipzig,19,0.8184638684402009,Bombylius venosus,Pollinator
Leipzig,19,0.3040828946588831,Andrena flavipes,Pollinator
Leipzig,19,0.15177983654245808,Dalmannia marginata,Pollinator
Leipzig,19,0.5364674856548685,Osmia bicornis,Pollinator
Leipzig,19,1,Valgus hemipterus,Pollinator
Leipzig,19,0.717866260446871,Apis mellifera,Pollinator
Leipzig,19,0.6213884538949028,Bombus terrestris,Pollinator
Leipzig,19,0.516574058081429,Cetonia aurata,Pollinator
Leipzig,19,0.9506303968273098,Bombus pratorum,Pollinator
Leipzig,19,0.6703046630801344,Lasioglossum calceatum,Pollinator
Leipzig,19,0.8696793448113623,Lasioglossum pauxillum,Pollinator
Leipzig,19,0.45207643304087736,Bombylius discolor,Pollinator
Leipzig,19,0.2803877236597668,Osmia brevicornis,Pollinator
Leipzig,19,0.934971712064975,Bombus hortorum,Pollinator
Leipzig,24,0.5774500142096927,Alisma plantago-aquatica,Plant
Leipzig,24,0.6822102130401704,Chaenorhinum origanifolium,Plant
Leipzig,24,0.8998328748074831,Dasiphora davurica,Plant
Leipzig,24,0.17417922014311857,Dictamnus albus,Plant
Leipzig,24,0.8036426984345326,Euphorbia seguieriana,Plant
Leipzig,24,0.7344434437313064,Geranium sanguineum,Plant
Leipzig,24,0.08576766202536708,Helianthemum nummularium,Plant
Leipzig,24,0.1091025074967596,Hemerocallis dumortieri,Plant
Leipzig,24,0.50648782004355,Hypericum olympicum,Plant
Leipzig,24,0.2787391498933418,Knautia arvensis,Plant
Leipzig,24,0.19344125485615665,Potentilla kurdica,Plant
Leipzig,24,0.5372772349499462,Psephellus dealbatus,Plant
Leipzig,24,0.21538689955601745,Salvia officinalis,Plant
Leipzig,24,0.35795721354434146,Salvia verticillata,Plant
Leipzig,24,0.6427658741888157,Veronica austriaca,Plant
Leipzig,24,0.7830211272100586,Vicia tenuifolia,Plant
Leipzig,24,0.14124424797770765,Vincetoxicum hirundinaria,Plant
Leipzig,24,0.5277343669773064,NA,Plant
Leipzig,24,0.8678436294125317,Andrena chrysopus,Pollinator
Leipzig,24,0.22167709467152857,Apis mellifera,Pollinator
Leipzig,24,0.4381642471745545,Pseudovadonia livida,Pollinator
