Botanical_garden,Week,av_dprime_plant,av_dprime_plant_upper,av_dprime_plant_lower,av_dprime_poll,av_dprime_poll_upper,av_dprime_poll_lower,H2prime
Leipzig,12,0.41992431970660926,0.9490092623537444,0.25713347097399164,0.4806501751850601,0.6870979822389206,0.3334910618728526,0.857365362508883
Halle,13,0.2623304029143356,0.49337895640869356,0.014285714285714297,0.39720018782471983,0.7564707973660303,0.3315242880831393,0.8048663184834529
Halle,14,0.2045053649391898,0.4423978606268326,0,0.6315521260427768,0.8411728159400569,0.1862856407936556,0.6673620176474303
Jena,14,0.3532010836104896,0.4395389771160367,0.18941207428014123,0.33128682262404296,0.8339028034141024,0.06671040514428694,0.7299164755313405
Leipzig,14,0.4335296588491181,1,0.3179806243817996,0.19169925428101983,0.40809658442349267,0.10801028437216581,0.7856961925197841
Halle,15,0.25303986302929615,0.8217867974030296,0.03276585151196218,0.4257152493188653,0.8316190721598047,0,0.661591778914149
Leipzig,15,0.1042536268689944,0.34163638838828364,2.525835517966356e-4,0.13035140888998809,0.5616672418836939,0.09954449407088413,0.5114838283723678
Jena,15,0.049229029649509815,1,0,0.05189338353001344,0.9578147973771887,0.06492877071672297,1
Halle,16,0.36917543697216504,0.6862140962549902,0.22684170829714873,0.6116245742523493,0.7882702298573863,0.0059964759599030575,0.7634134086601772
Leipzig,16,0.33464423194417314,0.9076054050471598,0.16094290257521277,0.3373460961856484,0.7905548619227494,0.11610053897996174,0.6710394058207882
Jena,17,0.289760023473451,0.4548037051130105,0.21297824869192553,0.38766794536372917,0.4608989641832051,0.10153263972338537,0.6715628520712661
Halle,17,0.2449785641960689,0.6210604447970506,0.05130776949523997,0.37540764916704034,0.9593687598761871,0.011258321210427075,0.5915438379780478
Leipzig,17,0.25749035724834507,0.8180075761577725,0.00837765564403986,0.3046911678143076,0.6256765466236114,0.15120880096161884,0.5749919385152217
Jena,18,0.3073549795303061,0.5009032980660988,0.14296438834013292,0.29289623930678166,0.5821017750480222,0.10909227441324357,0.663574160871586
Halle,18,0.3222377479071195,0.7055551929391759,0.22583274940159204,0.33149385047419455,0.5780177821686068,0,0.8375276637450785
Leipzig,18,0.42202521247430297,0.9040688679198282,0.05784932564893654,0.3088197083227545,0.7356464612118717,0.06648054975730303,0.7805749515711378
Halle,19,0.29018311668654423,0.7817135149551656,0.1668883283736262,0.534047174437652,0.6790069798399101,0.07156778663454695,0.7985846919965884
Jena,19,0.47398315477992975,1,0.2652253443187992,0.5263903325216864,0.9328686165156955,0.029760957424822813,0.8339647732338629
Leipzig,19,0.48280955934794584,0.907122168730307,0,0.41263440965227466,0.9476362410452349,0.05129704921302726,0.789765794615268
Halle,20,0.3529778438991735,0.8021457906679511,0.13839353438990581,0.32379770142640396,0.8982606264144455,0.0729487730688489,0.9620920559913696
Leipzig,20,0.44279709968704917,0.8974919257317279,0.05371566952531241,0.4408317190000385,0.8637573768883962,0.05878623129847408,0.794082748499726
Jena,20,0.2929895534390969,1,0.09834135246270416,0.35807334371134797,0.9448421620817915,0,0.8232549616653355
Jena,21,0.3884614544314683,1,0.27452506606466187,0.37016220059107596,0.9448958769012374,0.10449983358231871,0.6991453957936831
Leipzig,21,0.234586045935893,1,0,0.21583270023489146,0.8593414847252858,0.08261284523199924,0.7185121486209105
Halle,21,0.32119085020353166,0.7487350418236114,0.20878844896584098,0.4758040573516358,1,0.17538435481317857,0.7588293641881687
Jena,22,0.47211616140903423,1,0.2260794673129884,0.4524961165074291,0.8272172872748507,0.07808134407324711,0.7924256341968754
Halle,22,0.25945433112853794,0.7193079573682609,0.1825812936224186,0.2560991228578185,0.9146815229806962,0.09337825841535594,0.6028891471212793
Leipzig,22,0.2523070283258132,0.935696965835266,0.0592379496161436,0.30927303245642584,0.8475505038560159,0.1844215394256476,0.6028308320945156
Jena,23,0.5605305643355051,1,0.28517284557073136,0.44701636634006964,0.9204779352459964,0.2663881519158936,0.8783309832548619
Halle,23,0.3364548313035375,1,0.22416827511774315,0.3919655076513053,0.8286044411219142,0.26206333627211864,0.7384970409799149
Leipzig,23,0.16221111584393405,0.7679924601594181,0.046642259168673296,0.27575440217695113,0.8003222138507001,0.08085980677258445,0.5744700878081055
Jena,24,0.4391370484701653,0.6610201378073397,0.26201103817151206,0.31049619567175823,0.7509639970540656,0.0881694535121949,0.7588630041272247
Halle,24,0.33725412316581077,0.9074614269462069,0.23328100972003057,0.3529510312543727,0.7593648236394118,0.22835263971205713,0.696897524943128
Leipzig,24,0.2359775895471857,0.7768136485887489,0.09165525635616362,0.3332143422653978,0.7074239864037286,0.05072590354344236,0.6193575054771904
Jena,25,0.4276392126869947,0.8994568926862596,0.2037540133700274,0.32660767620182085,0.798224823032212,0,0.7796260340597868
Leipzig,25,0.22888363368861606,0.8633249620022232,0.055207101974607,0.19622976936983902,0.7023932564699316,0,0.6504658223823099
Halle,25,0.3023264448892321,0.892678951360734,0.21532859522087702,0.2745326105406637,0.6957653451566088,0.08978788923186118,0.6248449989287503
Halle,26,0.206723834738811,0.6373487574024693,0.022972258633355794,0.19349210641285106,0.6502445530817744,0.019859131485400982,0.6105990362008803
Leipzig,26,0.25085394938127464,0.6243394211016797,0.03674052745880574,0.14059380901958302,0.6601465451551864,0,0.5073293783641529
Jena,26,0.40429475209438626,0.6748965694413602,0.15108500421347915,0.37530997991489595,1,0.1583549147268431,0.7594982067545498
Leipzig,27,0.2959990187643695,0.567841759400007,0.20063341096811246,0.15170629340394454,0.7718572092017861,0.10549855220001747,0.6477729049892712
Jena,27,0.3871928492209798,0.7443163150023513,0.2467163208587702,0.2676364761337996,1,0,0.7180623444904068
Halle,27,0.26067960764878617,0.6192555460410156,0.25872950234976233,0.09527620999752044,0.9482366028481573,0.07576601360058331,0.8957608325233842
Leipzig,28,0.17503615108402495,0.9042271499800278,0.13617759232933555,0.1540924455015848,0.6794586060624312,0.06140668904595102,0.44829216940174155
Jena,28,0.3122764435865533,0.9405247591814427,0.09311211375629447,0.14755610463052365,0.9234548216905089,0.11158092909254125,0.793994079461658
Halle,28,0.3265024343514176,0.8045779218586968,0.31111606320426344,0.19050673994154835,0.858711550451001,0.09333926141847235,0.8123013747917058
Leipzig,29,0.30486986230745916,0.9444401462784355,0.21440325078112635,0.20961060793683284,0.8493852145941654,0.13022968351306147,0.7431042115238012
Jena,29,0.2042362478515766,0.8104092760027121,0.19283905494583314,0.14068765073346218,0.9825288217049762,0,0.8122588072419623
Halle,29,0.35633793066037933,0.6480951996823962,0.32198407619789204,0.197090686158989,1,0.06095119433205007,0.892750042801369
Jena,31,0.3144121043014573,0.894595766330926,0.17838490254174894,0.17445682394447104,0.8631548000351814,0.05588719568979336,0.795212647974132
Halle,31,0.3266562041026717,0.677461903928565,0.18554400924739434,0.4275469932760085,0.9621838311580618,0.23129714315890335,0.7610024593462191
Leipzig,31,0.18194974553123605,0.8271717725496064,0.12190970975179577,0.1406842206596192,1,0.020189207639303288,0.7830725947910049
Jena,32,0.3253251424743323,0.5942242584332835,0.2374867361652315,0.37715866073817345,1,0.25394570962200785,0.6321838174930923
Halle,32,0.3462691404518513,0.6885552847715513,0.23581029538018003,0.23671194644391041,0.991046455522488,0.03784370614761155,0.7770300174356903
Jena,33,0.26146163458902527,0.7036336441100322,0.23083275712690485,0.10618069290766544,0.6416118709930572,0.009715200796269616,0.7152175812777922
Leipzig,32,0.2455556501922039,0.42970423914462974,0.19591781658452295,0.6426281247774467,0.9305382655234373,0.5460695434667371,0.6255914419794043
Leipzig,33,0.23162398331150674,0.3860483502558611,0.1314467412682162,0.24965158017787398,0.7552296450199986,0.16259729101164824,0.5613749387751343
