Botanical_garden,Week,dprime,sp_name,Type
Leipzig,26,0.4484243927211385,Achillea filipendulina,Plant
Leipzig,26,0.14431663953671067,Anthericum ramosum,Plant
Leipzig,26,0.35373405378134226,Aquilegia vulgaris,Plant
Leipzig,26,0.20637925317251618,Campanula alliariifolia,Plant
Leipzig,26,0.35308016665164027,Carduus,Plant
Leipzig,26,0.1496081780556293,Centaurea scabiosa,Plant
Leipzig,26,0.45704942389386866,Centranthus ruber,Plant
Leipzig,26,0.3648415535303243,Ferulago aucheri,Plant
Leipzig,26,0.11958601304039167,Hypericum olympicum,Plant
Leipzig,26,0.24850333676460076,Lavandula angustifolia,Plant
Leipzig,26,0.29642927405905894,Lotus herbaceus,Plant
Leipzig,26,0.11900060134305288,Origanum vulgare,Plant
Leipzig,26,0.04303451315262461,Psephellus dealbatus,Plant
Leipzig,26,0.47534161646357465,Salvia sclarea,Plant
Leipzig,26,0.7462467158055835,Silene coronaria,Plant
Leipzig,26,0.031590902800226715,Silene vulgaris,Plant
Leipzig,26,0.352948349293431,Stachys byzantina,Plant
Leipzig,26,0.15527303805278886,Taraxacum sonchoides,Plant
Leipzig,26,0.19067874898232956,NA,Plant
Leipzig,26,0.22213116494148447,Coccinella septempunctata,Pollinator
Leipzig,26,0.5804934974140243,Colletes daviesanus,Pollinator
Leipzig,26,0.580752651952483,Halictus subauratus,Pollinator
Leipzig,26,0.5539258958111616,Hedychrum gerstaeckeri,Pollinator
Leipzig,26,0.580752651952483,Hylaeus nigritus,Pollinator
Leipzig,26,0.1087146681919774,Lucilia sericata,Pollinator
Leipzig,26,0.580752651952483,Miltogramma punctata,Pollinator
Leipzig,26,0.08751839076366524,Apis mellifera,Pollinator
Leipzig,26,0.5592654122898504,Cerceris quinquefasciata,Pollinator
Leipzig,26,0.30411327860376813,Episyrphus balteatus,Pollinator
Leipzig,26,0.32941772041138656,Nomada flavoguttata,Pollinator
Leipzig,26,0.08127584224386573,Bombus terrestris,Pollinator
Leipzig,26,0.48209970117395656,Andrena bicolor,Pollinator
Leipzig,26,0.40943122392489445,Andrena pilipes,Pollinator
Leipzig,26,0.42504713534187716,Halictus scabiosae,Pollinator
Leipzig,26,0.39090920215823816,Megachile lagopoda,Pollinator
Leipzig,26,0.48209970117395656,Melitta haemorrhoidalis,Pollinator
Leipzig,26,0.5953463579965345,Bombus hypnorum,Pollinator
Leipzig,26,0.08694234551306544,Bombus pascuorum,Pollinator
Leipzig,26,0.5955963370247082,Bombus pratorum,Pollinator
Leipzig,26,0.08411119178420066,Bombus lapidarius,Pollinator
Leipzig,26,0.42268787382842166,Dryas iulia,Pollinator
Leipzig,26,0.4574072432802659,Oxythyrea funesta,Pollinator
Leipzig,26,0.05707380157425867,Hylaeus punctatus,Pollinator
Leipzig,26,0,Lygaeus equestris,Pollinator
Leipzig,26,0.5286109832399003,Pseudovadonia livida,Pollinator
Leipzig,26,0,Tiphia femorata,Pollinator
Leipzig,26,0,Villa modesta,Pollinator
Leipzig,26,0.3463273958821694,Anthidium manicatum,Pollinator
Leipzig,26,0.4511024717147448,Eupeodes corollae,Pollinator
Leipzig,26,0.4494533878829802,Lasioglossum leucozonium,Pollinator
Leipzig,26,0.4855034661991251,Lasioglossum politum,Pollinator
Leipzig,26,0.4494533878829802,Sphaerophoria scripta,Pollinator
Leipzig,26,0.08259335847127246,Bombus hortorum,Pollinator
Leipzig,26,0.14166337118915714,Hoplitis adunca,Pollinator
Leipzig,26,0.0832855064089073,Pieris rapae,Pollinator
Leipzig,26,0.32463769234666556,Xylocopa violacea,Pollinator
Leipzig,26,0.36686480337899996,Megachile ericetorum,Pollinator
Leipzig,26,0.4849793987805556,Lasioglossum villosulum,Pollinator
Leipzig,26,0.5143735823812096,Oedemera lurida,Pollinator
Leipzig,27,0.5541654198078758,Achillea filipendulina,Plant
Leipzig,27,0.2680148751114036,Anthericum ramosum,Plant
Leipzig,27,0.6289851685502202,Centaurea scabiosa,Plant
Leipzig,27,0.4661270347915855,Centranthus ruber,Plant
Leipzig,27,0.21398444450516707,Eriocapitella tomentosa,Plant
Leipzig,27,0.18290072734488078,Erysimum pulchellum,Plant
Leipzig,27,0.5696899306209591,Euphorbia seguieriana,Plant
Leipzig,27,0.4185438046689672,Hypericum olympicum,Plant
Leipzig,27,0.6045912373596156,Inula oculus-christi,Plant
Leipzig,27,0.25998787145599117,Lavandula angustifolia,Plant
Leipzig,27,0.6543128759565946,Lomelosia cretica,Plant
Leipzig,27,0.17925647565135458,Silene coronaria,Plant
Leipzig,27,0.21398444450516707,Silene vulgaris,Plant
Leipzig,27,0.30007688971579866,Solanum incanum,Plant
Leipzig,27,0,Verbascum nigrum,Plant
Leipzig,27,0.3339390987833886,NA,Plant
