Botanical_garden,dprime,sp_name,Type
Leipzig,0.37142580383842266,Achillea filipendulina,Plant
Leipzig,0.6726658362902918,Aethionema grandiflorum,Plant
Leipzig,0.41441565869396835,Ajuga reptans,Plant
Leipzig,0.1485376770659325,Alisma plantago-aquatica,Plant
Leipzig,0.10576176043689432,Allium senescens,Plant
Leipzig,0.36497479079898654,Allium ursinum,Plant
Leipzig,0.3930653473624857,Anaphalis margaritacea,Plant
Leipzig,0.34035219671797473,Anchusa officinalis,Plant
Leipzig,0.2914338104995045,Anemone nemorosa,Plant
Leipzig,0.61958420499595,Anemone sylvestris,Plant
Leipzig,0.1679068374308167,Anthericum ramosum,Plant
Leipzig,0.11261394658296071,Aquilegia vulgaris,Plant
Leipzig,0.6252132626860812,Aster mongolicus,Plant
Leipzig,0.27919506875713346,Aurinia saxatilis,Plant
Leipzig,0.7609347088783159,Bellis perennis,Plant
Leipzig,0.5791555749533317,Bergenia purpurascens,Plant
Leipzig,0.156743895264243,Caltha palustris,Plant
Leipzig,0.34401687167539086,Campanula alliariifolia,Plant
Leipzig,0.3728598214270311,Carduus,Plant
Leipzig,0.19684444770574736,Carlina vulgaris,Plant
Leipzig,0.1706789219639049,Centaurea nigra,Plant
Leipzig,0.32472482350385673,Centaurea sadleriana,Plant
Leipzig,0.15483526409090748,Centaurea scabiosa,Plant
Leipzig,0.43572591723444437,Centranthus ruber,Plant
Leipzig,0.32630248545891327,Cephalaria gigantea,Plant
Leipzig,0.3898944823702053,Cephalaria procera,Plant
Leipzig,0.19455975474001935,Cephalaria uralensis,Plant
Leipzig,0.1836270069457788,Chaenorhinum origanifolium,Plant
Leipzig,0.46483382202979723,Cichorium intybus,Plant
Leipzig,0.1254442332368585,Cirsium vulgare,Plant
Leipzig,0.3368212425558023,Clinopodium album,Plant
Leipzig,0.07628173845287661,Convallaria majalis,Plant
Leipzig,0.08620963097314684,Convolvulus tricolor,Plant
Leipzig,0.44286917887831495,Coristospermum lucidum,Plant
Leipzig,0.425224806754984,Corydalis cava,Plant
Leipzig,0.20247307711419066,Cuphea viscosissima,Plant
Leipzig,0.3573639203315543,Dasiphora davurica,Plant
Leipzig,0.12459146351832821,Dasiphora fruticosa,Plant
