Botanical_garden,Plant,Total_floral_abundance
Halle,Achillea millefolium,45750
Halle,Aconitum lycoctonum,785
Halle,Allium ursinum,300
Halle,Betonica officinalis,1000
Halle,Centranthus ruber,16920
Halle,Chelidonium majus,600
Halle,Clematis integrifolia,559
Halle,Clematis recta,3821
Halle,Dianthus carthusianorum,670
Halle,Dictamnus albus,490
Halle,Fragaria vesca,197
Halle,Fuchsia magellanica,1160
Halle,Galega officinalis,4400
Halle,Geum rivale,253
Halle,Gratiola officinalis,500
Halle,Helianthemum nummularium,450
Halle,Hemerocallis fulva,30
Halle,Hypericum olympicum,750
Halle,Hypericum perforatum,136
Halle,Iberis sempervirens,171000
Halle,Lamium album,2000
Halle,Lathyrus vernus,9280
Halle,Lavandula angustifolia,64600
Halle,Leucanthemum vulgare,400
Halle,Lotus corniculatus,776
Halle,Narcissus pseudonarcissus,33
Halle,Origanum vulgare,3750
Halle,Oxalis acetosella,150
Halle,Paeonia officinalis,1
Halle,Platycodon grandiflorus,624
Halle,Polygonum bistorta,65
Halle,Primula denticulata,5
Halle,Primula veris,572
Halle,Puschkinia scilloides,800
Halle,Salvia officinalis,17340
Halle,Saponaria officinalis,330
Halle,Scopolia carniolica,80
Halle,Silene viscaria,1120
Halle,Solanum dulcamara,250
Halle,Tanacetum vulgare,8830
Halle,Tulipa sylvestris,160
Halle,Vincetoxicum hirundinaria,657
Halle,Viola odorata,350
Jena,Achillea millefolium,6608
Jena,Allium ursinum,1450
Jena,Anemone hupehensis,623
Jena,Aquilegia vulgaris,30
Jena,Asphodelus albus,616
Jena,Bergenia purpurascens,21
Jena,Betonica officinalis,1368
Jena,Brunnera macrophylla,1173
Jena,Campanula rotundifolia,78
Jena,Chelidonium majus,213
Jena,Clematis recta,1350
Jena,Coronilla varia,10317
Jena,Dictamnus albus,144
Jena,Fuchsia magellanica,156
Jena,Galega officinalis,4605
Jena,Genista tinctoria,2460
Jena,Geranium sanguineum,270
Jena,Geum rivale,270
Jena,Hepatica nobilis,306
Jena,Hypericum olympicum,72
Jena,Hypericum perforatum,208
Jena,Iberis sempervirens,24850
Jena,Lamium album,790
Jena,Lathyrus vernus,2410
Jena,Lavandula angustifolia,37650
Jena,Leucanthemum vulgare,400
Jena,Linum perenne,431
Jena,Lotus maritimus,51
Jena,Origanum vulgare,1960
Jena,Paeonia delavayi,101
Jena,Paeonia officinalis,27
Jena,Primula denticulata,300
Jena,Primula veris,300
Jena,Pulsatilla vulgaris,12
Jena,Salvia pratensis,276
Jena,Silene nutans,172
Jena,Silene viscaria,1612
Jena,Vinca minor,150
Jena,Vincetoxicum hirundinaria,1175
Leipzig,Allium ursinum,3135
Leipzig,Anemone hupehensis,998
Leipzig,Anemonoides nemorosa,60
Leipzig,Anemonoides sylvestris,225
Leipzig,Anthericum ramosum,1390
Leipzig,Aquilegia vulgaris,442
Leipzig,Bergenia purpurascens,160
Leipzig,Caltha palustris,129
Leipzig,Centranthus ruber,4035
Leipzig,Convallaria majalis,305
Leipzig,Dictamnus albus,226
Leipzig,Fragaria vesca,32
Leipzig,Geranium sanguineum,595
Leipzig,Helianthemum nummularium,198
Leipzig,Helleborus foetidus,805
Leipzig,Hemerocallis dumortieri,280
Leipzig,Hypericum olympicum,2043
Leipzig,Iberis sempervirens,8920
Leipzig,Lamium album,38
Leipzig,Lathyrus vernus,475
Leipzig,Lavandula angustifolia,27700
Leipzig,Leucanthemum vulgare,74
Leipzig,Menyanthes trifoliata,200
Leipzig,Origanum vulgare,1200
Leipzig,Paeonia officinalis,34
Leipzig,Penstemon grandiflorus,708
Leipzig,Platycodon grandiflorus,228
Leipzig,Primula denticulata,660
Leipzig,Primula veris,1010
Leipzig,Psephellus dealbatus,611
Leipzig,Pulsatilla vulgaris,256
Leipzig,Salvia officinalis,240
Leipzig,Salvia pratensis,7250
Leipzig,Scabiosa ochroleuca,316
Leipzig,Scopolia carniolica,180
Leipzig,Silene coronaria,238
Leipzig,Silene nutans,80
Leipzig,Silene viscaria,5700
Leipzig,Silene vulgaris,100
Leipzig,Tanacetum vulgare,8080
Leipzig,Tussilago farfara,345
Leipzig,Vinca minor,1740
Leipzig,Vincetoxicum hirundinaria,1030
