Plant_accepted_name,Plant_genus,Plant_family,Plant_order
Cyclamen coum,Cyclamen,Primulaceae,Ericales
Helleborus foetidus,Helleborus,Ranunculaceae,Ranunculales
Tussilago farfara,Tussilago,Asteraceae,Asterales
Vinca minor,Vinca,Apocynaceae,Gentianales
Scopolia carniolica,Scopolia,Solanaceae,Solanales
Viola odorata,Viola,Violaceae,Malpighiales
Puschkinia scilloides,Puschkinia,Asparagaceae,Asparagales
Lathyrus vernus,Lathyrus,Fabaceae,Fabales
Hepatica nobilis,Hepatica,Ranunculaceae,Ranunculales
Pulsatilla vulgaris,Pulsatilla,Ranunculaceae,Ranunculales
Primula denticulata,Primula,Primulaceae,Ericales
Narcissus pseudonarcissus,Narcissus,Amaryllidaceae,Asparagales
Primula veris,Primula,Primulaceae,Ericales
Iberis sempervirens,Iberis,Brassicaceae,Brassicales
Anemone nemorosa,Anemone,Ranunculaceae,Ranunculales
Trillium sessile,Trillium,Melanthiaceae,Liliales
Leucanthemum vulgare,Leucanthemum,Asteraceae,Asterales
Caltha palustris,Caltha,Ranunculaceae,Ranunculales
Bergenia purpurascens,Bergenia,Saxifragaceae,Saxifragales
Geum rivale,Geum,Rosaceae,Rosales
Viscaria vulgaris,Viscaria,Caryophyllaceae,Caryophyllales
Tulipa sylvestris,Tulipa,Liliaceae,Liliales
Fragaria vesca,Fragaria,Rosaceae,Rosales
Oxalis acetosella,Oxalis,Oxalidaceae,Oxalidales
Brunnera macrophylla,Brunnera,Boraginaceae,Boraginales
Lamium album,Lamium,Lamiaceae,Lamiales
Paeonia officinalis,Paeonia,Paeoniaceae,Saxifragales
Chelidonium majus,Chelidonium,Papaveraceae,Ranunculales
Polygonum bistorta,Polygonum,Polygonaceae,Caryophyllales
Anemone sylvestris,Anemone,Ranunculaceae,Ranunculales
Allium ursinum,Allium,Amaryllidaceae,Asparagales
Asarum caudatum,Asarum,Aristolochiaceae,Piperales
Dryas octopetala,Dryas,Rosaceae,Rosales
Aquilegia vulgaris,Aquilegia,Ranunculaceae,Ranunculales
Paeonia delavayi,Paeonia,Paeoniaceae,Saxifragales
Menyanthes trifoliata,Menyanthes,Menyanthaceae,Asterales
Convallaria majalis,Convallaria,Asparagaceae,Asparagales
Helianthemum nummularium,Helianthemum,Cistaceae,Malvales
Geranium sanguineum,Geranium,Geraniaceae,Geraniales
Asphodelus albus,Asphodelus,Asphodelaceae,Asparagales
Linum perenne,Linum,Linaceae,Malpighiales
Vincetoxicum hirundinaria,Vincetoxicum,Apocynaceae,Gentianales
Psephellus dealbatus,Psephellus,Asteraceae,Asterales
Salvia pratensis,Salvia,Lamiaceae,Lamiales
Aconitum lycoctonum,Aconitum,Ranunculaceae,Ranunculales
Dictamnus albus,Dictamnus,Rutaceae,Sapindales
Silene nutans,Silene,Caryophyllaceae,Caryophyllales
Salvia officinalis,Salvia,Lamiaceae,Lamiales
Campanula rotundifolia,Campanula,Campanulaceae,Asterales
Lotus maritimus,Lotus,Fabaceae,Fabales
Solanum dulcamara,Solanum,Solanaceae,Solanales
Centranthus ruber,Centranthus,Caprifoliaceae,Dipsacales
Gratiola officinalis,Gratiola,Plantaginaceae,Lamiales
Lotus corniculatus,Lotus,Fabaceae,Fabales
Hemerocallis dumortieri,Hemerocallis,Asphodelaceae,Asparagales
Silene vulgaris,Silene,Caryophyllaceae,Caryophyllales
Hypericum olympicum,Hypericum,Hypericaceae,Malpighiales
Achillea millefolium,Achillea,Asteraceae,Asterales
Penstemon bradburyi,Penstemon,Plantaginaceae,Lamiales
Clematis recta,Clematis,Ranunculaceae,Ranunculales
Lavandula angustifolia,Lavandula,Lamiaceae,Lamiales
Galega officinalis,Galega,Fabaceae,Fabales
Betonica officinalis,Betonica,Lamiaceae,Lamiales
Hypericum perforatum,Hypericum,Hypericaceae,Malpighiales
Silene coronaria,Silene,Caryophyllaceae,Caryophyllales
Anthericum ramosum,Anthericum,Asparagaceae,Asparagales
Origanum vulgare,Origanum,Lamiaceae,Lamiales
Coronilla varia,Coronilla,Fabaceae,Fabales
Genista tinctoria,Genista,Fabaceae,Fabales
Platycodon grandiflorus,Platycodon,Campanulaceae,Asterales
Hemerocallis fulva,Hemerocallis,Asphodelaceae,Asparagales
Clematis integrifolia,Clematis,Ranunculaceae,Ranunculales
Dianthus carthusianorum,Dianthus,Caryophyllaceae,Caryophyllales
Saponaria officinalis,Saponaria,Caryophyllaceae,Caryophyllales
Fuchsia magellanica,Fuchsia,Onagraceae,Myrtales
Eriocapitella hupehensis,Eriocapitella,Ranunculaceae,Ranunculales
Tanacetum vulgare,Tanacetum,Asteraceae,Asterales
Scabiosa ochroleuca,Scabiosa,Caprifoliaceae,Dipsacales
