Botanical_garden,av_dprime_plant,av_dprime_plant_upper,av_dprime_plant_lower,av_dprime_poll,av_dprime_poll_upper,av_dprime_poll_lower,H2prime
Leipzig,0.24079351435889063,0.7135465452977425,0.05943263012962391,0.2605596957836194,0.7516902736381692,0.24087937069108417,0.5808170568041068
Halle,0.32220451971642194,0.6835053522105103,0.12104011483157806,0.260370407611013,0.7730078971485439,0.08913842778353716,0.6758802902128157
Jena,0.24782308165769543,0.7819004044350197,0.1136492832369324,0.19966961523243656,0.8327815885753012,0.027753843903957243,0.675081555370899
