Botanical_garden,Week,Plant,Total_floral_abundance
Halle,19,Chelidonium majus,400
Halle,19,Fragaria vesca,30
Halle,19,Geum rivale,120
Halle,19,Iberis sempervirens,50000
Halle,19,Lamium album,600
Halle,19,Lathyrus vernus,30
Halle,19,Silene viscaria,500
Halle,25,Betonica officinalis,1000
Halle,25,Centranthus ruber,2250
Halle,25,Galega officinalis,2400
Halle,25,Helianthemum nummularium,150
Halle,25,Hypericum olympicum,300
Halle,25,Lavandula angustifolia,12500
Halle,25,Lotus corniculatus,100
Halle,25,Solanum dulcamara,15
Halle,27,Achillea millefolium,1000
Halle,27,Clematis integrifolia,120
Halle,27,Clematis recta,700
Halle,27,Dianthus carthusianorum,250
Halle,27,Fuchsia magellanica,150
Halle,27,Galega officinalis,2000
Halle,27,Hemerocallis fulva,30
Halle,27,Hypericum perforatum,30
Halle,27,Lavandula angustifolia,20000
Halle,27,Lotus corniculatus,100
Halle,27,Platycodon grandiflorus,120
Jena,20,Allium ursinum,300
Jena,20,Asphodelus albus,116
Jena,20,Chelidonium majus,68
Jena,20,Geranium sanguineum,35
Jena,20,Geum rivale,120
Jena,20,Iberis sempervirens,2800
Jena,20,Lamium album,100
Jena,20,Paeonia delavayi,16
Jena,20,Silene viscaria,600
Jena,26,Achillea millefolium,1400
Jena,26,Coronilla varia,1728
Jena,26,Galega officinalis,2400
Jena,26,Genista tinctoria,1500
Jena,26,Hypericum perforatum,90
Jena,26,Lavandula angustifolia,2300
Jena,26,Leucanthemum vulgare,30
Jena,29,Achillea millefolium,1218
Jena,29,Anemone hupehensis,157
Jena,29,Betonica officinalis,322
Jena,29,Coronilla varia,8000
Jena,29,Galega officinalis,775
Jena,29,Lavandula angustifolia,11550
Jena,29,Origanum vulgare,320
Leipzig,15,Caltha palustris,7
Leipzig,15,Helleborus foetidus,200
Leipzig,15,Pulsatilla vulgaris,60
Leipzig,15,Tussilago farfara,70
Leipzig,15,Vinca minor,130
Leipzig,26,Anthericum ramosum,125
Leipzig,26,Aquilegia vulgaris,18
Leipzig,26,Centranthus ruber,1250
Leipzig,26,Hypericum olympicum,65
Leipzig,26,Lavandula angustifolia,8500
Leipzig,26,Origanum vulgare,1200
Leipzig,26,Penstemon grandiflorus,120
Leipzig,26,Psephellus dealbatus,3
Leipzig,26,Silene coronaria,95
Leipzig,26,Silene vulgaris,12
Leipzig,28,Anemone hupehensis,28
Leipzig,28,Anthericum ramosum,465
Leipzig,28,Hypericum olympicum,32
Leipzig,28,Lavandula angustifolia,7600
Leipzig,28,Tanacetum vulgare,1600
