Species,,Pollen_unit,Pollen_size_range,Pollen_size,Pollen_length_range,Pollen_length,Pollen_width_range,Pollen_width,Rank,Resource,Link
Salvia pratensis,59,monad,26-50,38,31-35,33,26-30,28,species,online,https://www.paldat.org/pub/Salvia_pratensis/304442
Silene coronaria,60,monad,26-50,38,41-50,44.5,41-50,44.5,genus,online,https://www.paldat.org/pub/Silene_nutans/306405
Genista tinctoria,61,monad,26-50,38,26-30,28,21-25,23,species,online,https://www.paldat.org/pub/Genista_tinctoria/306224
Fuchsia magellanica,62,monad,51-100,75.5,26-30,28,21-25,23,species,online,https://www.paldat.org/pub/Fuchsia_magellanica/302630
Hemerocallis fulva,63,monad,51-100,75.5,51-100,75.5,51-100,75.5,species,online,https://www.paldat.org/pub/Hemerocallis_fulva/304729
Dianthus carthusianorum,64,monad,26-50,38,26-50,38,26-50,38,species,online,https://www.paldat.org/pub/Dianthus_carthusianorum/301640
Anthericum ramosum,65,monad,51-100,75.5,51-100,75.5,41-50,44.5,species,online,https://www.paldat.org/pub/Anthericum_ramosum/306459
Saponaria officinalis,66,monad,51-100,75.5,41-50,44.5,41-50,44.5,species,online,https://www.paldat.org/pub/Saponaria_officinalis/303837
Coronilla varia,67,monad,10-25,17.5,21-25,23,21-25,23,species,online,https://www.paldat.org/pub/Securigera_varia/305502
Clematis integrifolia,68,monad,26-50,38,21-25,23,21-25,23,species,online,https://www.paldat.org/pub/Clematis_recta/303874
Lavandula angustifolia,69,monad,26-50,38,36-40,38,31-35,33,species,online,https://www.paldat.org/pub/Lavandula_angustifolia/304412
Anemone hupehensis ,70,monad,26-50,38,26-50,38,26-50,38,species,online,https://www.paldat.org/pub/Anemone_hortensis/110883
Galega officinalis,71,monad,16-20,18,11-15,13,11-15,13,species,online,https://www.paldat.org/pub/Galega_officinalis/304083
Platycodon grandiflorus,72,monad,26-50,38,26-50,38,26-50,38,species,online,https://www.paldat.org/pub/Platycodon_grandiflorum/301551
Betonica officinalis,73,monad,26-50,38,26-30,28,26-30,28,species,online,https://www.paldat.org/pub/Betonica_officinalis/304436
Origanum vulgare,74,monad,26-50,38,31-35,33,21-25,23,species,online,https://www.paldat.org/pub/Origanum_vulgare/304448
Achillea millefolium,75,monad,26-50,38,21-25,23,21-25,23,species,online,https://www.paldat.org/pub/Achillea_millefolium/304883
Tanacetum vulgare,76,monad,10-25,17.5,21-25,23,16-20,18,species,online,https://www.paldat.org/pub/Tanacetum_vulgare/305188
Leucanthemum vulgare,77,monad,26-50,38,21-25,23,16-20,18,species,online,https://www.paldat.org/pub/Leucanthemum_vulgare/305079
Scabiosa ochroleuca,78,monad,51-100,75.5,51-100,75.5,51-100,75.5,species,online,https://www.paldat.org/pub/Scabiosa_ochroleuca/304576
