Botanical_garden,Species,Number_unique_spp,Replicate,Method,Time,Date,Floral_unit,Nectar_length_microcap,Opened_florets,Observer,Reference_nectar
Halle,Brunnera macrophylla,27,1,unbagged,10:00,29/05/2023,flower,1,NA,J Naumann,NA
Halle,Brunnera macrophylla,27,2,unbagged,10:00,29/05/2023,flower,0.5,NA,J Naumann,NA
Halle,Brunnera macrophylla,27,3,unbagged,10:00,29/05/2023,flower,1,NA,J Naumann,NA
Halle,Paeonia officinalis,28,1,unbagged,16:20,19/05/2023,flower,0,NA,HF Morgenroth & JB Lanuza,NA
Halle,Paeonia officinalis,28,2,unbagged,16:20,19/05/2023,flower,0,NA,HF Morgenroth & JB Lanuza,NA
Halle,Paeonia officinalis,28,3,unbagged,16:20,19/05/2023,flower,0,NA,HF Morgenroth & JB Lanuza,NA
Halle,Paeonia officinalis,28,4,unbagged,16:20,19/05/2023,flower,0,NA,HF Morgenroth & JB Lanuza,NA
Halle,Paeonia officinalis,28,5,unbagged,16:20,19/05/2023,flower,0,NA,HF Morgenroth & JB Lanuza,NA
Leipzig,Menyanthes trifoliata,29,1,bagged,17:00,13/05/2023,flower,1.75,NA,JB Lanuza,NA
Leipzig,Menyanthes trifoliata,29,2,bagged,17:00,13/05/2023,flower,6.2,NA,JB Lanuza,NA
Leipzig,Menyanthes trifoliata,29,3,bagged,17:00,13/05/2023,flower,5.57,NA,JB Lanuza,NA
Leipzig,Menyanthes trifoliata,29,4,bagged,17:00,13/05/2023,flower,9.18,NA,JB Lanuza,NA
Leipzig,Menyanthes trifoliata,29,5,bagged,17:00,13/05/2023,flower,3.53,NA,JB Lanuza,NA
Leipzig,Aquilegia chrysantha,30,1,bagged,18:00,24/05/2023,flower,640,NA,JB Lanuza,NA
Leipzig,Aquilegia chrysantha,30,2,bagged,17:00,25/05/2023,flower,848,NA,JB Lanuza & R Umazekabiri,NA
Leipzig,Allium ursinum,31,1,bagged,14:30,15/05/2023,flower,5.9,NA,JB Lanuza,NA
Leipzig,Allium ursinum,31,2,bagged,14:30,15/05/2023,flower,5.3,NA,JB Lanuza,NA
Leipzig,Allium ursinum,31,3,bagged,14:30,15/05/2023,flower,4.67,NA,JB Lanuza,NA
Leipzig,Allium ursinum,31,4,bagged,17:00,16/05/2023,flower,3.86,NA,JB Lanuza,NA
Leipzig,Allium ursinum,31,5,bagged,17:00,16/05/2023,flower,2.63,NA,JB Lanuza,NA
Halle,Anemonoides sylvestris,32,1,unbagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
