Botanical_garden,Species,Number_unique_spp,Replicate,Method,Time,Date,Floral_unit,Nectar_length_microcap,Opened_florets,Observer,Reference_nectar
Leipzig,Anemone hupehensis ,70,3,bagged,11:00,24/07/2023,flower,0,NA,JB Lanuza,NA
Jena,Galega officinalis,71,1,bagged,12:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Galega officinalis,71,2,bagged,12:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Galega officinalis,71,3,bagged,12:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Halle,Platycodon grandiflorus,72,1,bagged,16:00,04/08/2023,flower,11.64,NA,JB Lanuza,NA
Halle,Platycodon grandiflorus,72,2,bagged,16:00,04/08/2023,flower,5.56,NA,JB Lanuza,NA
Halle,Platycodon grandiflorus,72,3,bagged,16:00,04/08/2023,flower,10.74,NA,JB Lanuza,NA
Jena,Betonica officinalis,73,1,bagged,12:00,03/08/2023,flower,2.73,NA,JB Lanuza,NA
Jena,Betonica officinalis,73,2,bagged,12:00,03/08/2023,flower,1.87,NA,JB Lanuza,NA
Jena,Origanum vulgare,74,1,bagged,12:00,03/08/2023,flower,3.07,NA,JB Lanuza,NA
Jena,Origanum vulgare,74,2,bagged,12:00,03/08/2023,flower,4.95,NA,JB Lanuza,NA
Jena,Origanum vulgare,74,3,bagged,12:00,03/08/2023,flower,4.76,NA,JB Lanuza,NA
Jena,Achillea millefolium,75,1,bagged,NA,NA,flower,0.1,NA,NA,NA
Jena,Tanacetum vulgare,76,1,bagged,NA,NA,flower,0.1,NA,NA,NA
Jena,Leucanthemum vulgare,77,1,bagged,NA,NA,flower,0.1,NA,NA,NA
Leipzig,Scabiosa ochroleuca,78,1,unbagged,15:00,08/09/2023,floret,0,28,HF Morgenroth; Raymond Umazekabiri,NA
Leipzig,Scabiosa ochroleuca,78,2,unbagged,15:00,08/09/2023,floret,0,28,HF Morgenroth; Raymond Umazekabiri,NA
Leipzig,Scabiosa ochroleuca,78,3,unbagged,15:00,08/09/2023,floret,0,28,HF Morgenroth; Raymond Umazekabiri,NA
Leipzig,Scabiosa ochroleuca,78,4,unbagged,14:00,18/09/2023,floret,0,28,HF Morgenroth; Raymond Umazekabiri,NA
Leipzig,Scabiosa ochroleuca,78,5,unbagged,14:00,18/09/2023,floret,0,28,HF Morgenroth; Raymond Umazekabiri,NA
