Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Leipzig,Penstemon grandiflorus,52,930,Flower,98,20,15.42,28.82,20.55,6.75,white-pink,Zygomorphic,tubular,Horizontal,03/06/2023,08/07/2023,17/06/2023,20/06/2023,to_calculate,NA,1,22.07,16.19,4.24,0.6,4,20.39,17.69,2.7,none,0,0,91,91,0.3,0.2,https://www.dropbox.com/s/1qo8zbl3cmx6ng0/PEGR.JPG?dl=0,NA
Leipzig,Penstemon grandiflorus,52,NA,Flower,NA,NA,NA,NA,NA,NA,white-pink,Zygomorphic,tubular,Horizontal,03/06/2023,08/07/2023,17/06/2023,20/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Penstemon grandiflorus,52,NA,Flower,NA,NA,NA,NA,NA,NA,white-pink,Zygomorphic,tubular,Horizontal,03/06/2023,08/07/2023,17/06/2023,20/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Psephellus dealbatus,53,870,Flower,248,1,60.23,28.20,7.16,0.6,purple,Actinomorphic,tubular,Upward,13/05/2023,24/06/2023,31/05/2023,07/06/2023,to_calculate,NA,1,25.89,21.90,2.86,1.34,5,13,9,4,none,0,0,57,57,2,1.3,,NA
Leipzig,Psephellus dealbatus,53,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Actinomorphic,tubular,Upward,13/05/2023,24/06/2023,31/05/2023,07/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Psephellus dealbatus,53,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Actinomorphic,tubular,Upward,13/05/2023,24/06/2023,31/05/2023,07/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Centranthus ruber,54,1000,Flower,1827,203,6.94,17.95,17.95,1,pink,Zygomorphic,tubular,Upward,03/06/2023,NA,22/06/2023,26/06/2023,to_calculate,NA,1,14.14,10.85,2.32,0.25,1,14.26,13.86,1.32,anther,1,1,1,1,0.35,0.12,https://www.dropbox.com/scl/fi/h9eoatr7by7i0bj56352l/CERU.JPG?rlkey=xztdpliemazlsmhs7xnzxs4nn&dl=0,NA
Halle,Centranthus ruber,54,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Zygomorphic,tubular,Upward,03/06/2023,NA,22/06/2023,26/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Centranthus ruber,54,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Zygomorphic,tubular,Upward,03/06/2023,NA,22/06/2023,26/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Silene nutans,55,450,Flower,18,6,8.22,17.22,13.40,3.22,white,Actinomorphic,tubular,Horizontal-Upward,28/05/2023,10/06/2023,06/06/2023,08/06/2023,to_calculate,NA,1,19.81,14.06,6.35,0.35,10,13.37,12.39,0.98,stigma,4.44,0.46,105,105,,,,
