Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Jena,Coronilla varia,67,560,Flower,5760,15,11.31,11.31,1.6,0.8,pink,Zygomorphic,papilionaceus,Horizontal,14/06/2023,NA,18/07/2023,23/07/2023,to_calculate,NA,1,11.6,5.93,8.68,0.2,10,9.35,9.05,0.2,stigma,0.6,0.1,26,26,0.2,0.1,,
Jena,Coronilla varia,67,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Zygomorphic,papilionaceus,Horizontal,14/06/2023,NA,18/07/2023,23/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Coronilla varia,67,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Zygomorphic,papilionaceus,Horizontal,14/06/2023,NA,18/07/2023,24/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Clematis integrifolia,68,730,Flower,400,10,31.69,22.53,0,31.69,purple,Actinomorphic,bowl,Downward,14/05/2023,NA,12/08/2023,21/08/2023,to_calculate,NA,48,10.71,6.34,1.9,0.2,43,12.64,8.76,3.88,none,0,0,33,33,0.42,0.4,https://www.dropbox.com/scl/fi/j839fcy485lic3f4tep9w/CLIN.JPG?rlkey=wzbwwfwoittbv5nybp4fxprwb&dl=0,NA
Halle,Clematis integrifolia,68,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Actinomorphic,bowl,Downward,14/05/2023,NA,12/08/2023,20/08/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Clematis integrifolia,68,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Actinomorphic,bowl,Downward,14/05/2023,NA,12/08/2023,20/08/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Lavandula angustifolia,69,860,Flower,6912,27,7.5,11.65,8.84,1.39,purple,Zygomorphic,tubular,Horizontal-Upward,21/06/2023,NA,06/07/2023,09/07/2023,to_calculate,NA,1,8.2,5.83,1.55,0.99,5,1.89,1.29,0.6,anther,0.4,0,4,4,0.45,0.32,https://www.dropbox.com/scl/fi/ndscefviyaa97ywyt6u9k/LAAN.JPG?rlkey=m6nq91b32jo3wk0dhqeu02m42&dl=0,NA
Leipzig,Lavandula angustifolia,69,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Zygomorphic,tubular,Horizontal-Upward,21/06/2023,NA,06/07/2023,09/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
Leipzig,Lavandula angustifolia,69,NA,Flower,NA,NA,NA,NA,NA,NA,purple,Zygomorphic,tubular,Horizontal-Upward,21/06/2023,NA,06/07/2023,09/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
Leipzig,Anemone hupehensis ,70,1200,Flower,161,5,53.8,12.95,0,53.8,pink,Actinomorphic,dish,Horizontal-Upward,28/06/2023,NA,06/07/2023,11/07/2023,to_calculate,NA,390,1,0,0.9,0.1,300,4.4,2.46,1.94,none,0,0.8,390,390,0.2,0.05,https://www.dropbox.com/scl/fi/x6iiby1mmiyc94dmmmgzm/ANHU.JPG?rlkey=eqzibb42aslnrhesljtupbsve&dl=0,NA
