ID,Box,Number,Square_size_pixels,IT_pixels,IT_mm,Length_pixels,Length_mm,Tongue_pixels,Tongue_mm
H44,Apidae_Megachilidae,59,1026.779,343.023,,948.171,,,
L49,Apidae_Megachilidae,60,1046.002,388.171,,1138.956,,523.470,
J108,Apidae_Megachilidae,61,1029.257,354.051,,1004.796,,,
L46,Apidae_Megachilidae,62,1082.067,339.072,,969.645,,,
J38,Apidae_Megachilidae,63,1032.194,414.792,,1059.830,,,
H26,Apidae_Megachilidae,64,1020.259,289.468,,798.530,,,
H11,Apidae_Megachilidae,65,1046.191,393.411,,930.363,,,
L37,Apidae_Megachilidae,66,1059.038,259.156,,688.003,,,
L50,Apidae_Megachilidae,67,1044.232,361.448,,886.111,,,
L81,Apidae_Megachilidae,68,1028.280,397.000,,996.243,,,
H41,Apidae_Megachilidae,69,1032.039,466.039,,1146.004,,,
J47,Apidae_Megachilidae,70,1034.379,403.366,,1172.215,,586.237,
J62,Apidae_Megachilidae,71,1028.438,456.355,,1244.709,,,
J49,Apidae_Megachilidae,72,1038.557,390.046,,1090.017,,,
J20,Apidae_Megachilidae,73,1041.393,403.985,,1174.783,,,
H46,Apidae_Megachilidae,74,1050.274,418.760,,1200.173,,,
L38,Apidae_Megachilidae,75,1032.017,390.635,,1082.071,,,
L1,Apidae_Megachilidae,76,1016.504,480.104,,1070.007,,,
H21,Apidae_Megachilidae,77,1079.007,474.068,,1106.146,,,
J150,Apidae_Megachilidae,78,1030.95,402.179,,1219.196,,389.554,
L122,Apidae_Megachilidae,79,1052.000,481.269,,1253.196,,453.746,
L183,Apidae_Megachilidae,80,1098.002,480.875,,1191.638,,,
J72,Apidae_Megachilidae,81,1048.551,484.516,,1326.682,,422.607,
L163a,Apidae_Megachilidae,82,1026.125,460.410,,1315.509,,,
H68,Apidae_Megachilidae,83,1052.023,404.317,,1169.978,,,
J176,Apidae_Megachilidae,84,1032.031,388.000,,1198.603,,475.161,
J69,Apidae_Megachilidae,85,1040.008,484.595,,1362.162,,537.760,
J125,Apidae_Megachilidae,86,1039.009,477.067,,1336.006,,,
H288,Apidae_Megachilidae,87,1029.039,491.187,,1372.693,,,
L58,Apidae_Megachilidae,88,1035.082,508.980,,1344.482,,,
J80,Apidae_Megachilidae,89,1042.192,494.793,,1243.971,,,
J149,Apidae_Megachilidae,90,1035.004,321.002,,912.002,,,
L145,Apidae_Megachilidae,91,1024.049,360.139,,966.101,,,
L107,Apidae_Megachilidae,92,1041.008,346.055,,928.349,,,
J123,Apidae_Megachilidae,93,1037.494,363.595,,898.721,,,
L193,Apidae_Megachilidae,94,1022.259,313.102,,764.016,,,
L202,Apidae_Megachilidae,95,1018.196,303.328,,780.000,,,
H73,Apidae_Megachilidae,96,1029.029,401.080,,1025.530,,,
H255,Apidae_Megachilidae,97,1024.158,403.020,,993.519,,403.586,
H172,Apidae_Megachilidae,98,1044.088,384.022,,990.051,,402.518,
J67,Apidae_Megachilidae,99,1033.743,311.373,,811.490,,,
H69,Apidae_Megachilidae,100,1026.439,518.818,,1425.654,,,
H74,Apidae_Megachilidae,101,1037.206,449.090,,1305.390,,327.027,
J169,Apidae_Megachilidae,102,1049.584,452.000,,1344.355,,339.850,
H100,Apidae_Megachilidae,103,1060.832,498.128,,1494.473,,,
H242,Apidae_Megachilidae,104,1042.905,497.531,,1475.225,,,
J58,Apidae_Megachilidae,105,1038.378,489.556,,1345.339,,,
J54,Apidae_Megachilidae,106,1055.758,492.260,,1551.743,,,
J77,Apidae_Megachilidae,107,1035.464,476.026,,1538.082,,,
J132,Apidae_Megachilidae,108,1054.615,516.792,,1375.584,,,
H91,Apidae_Megachilidae,109,1062.323,467.097,,1524.047,,,
H194,Apidae_Megachilidae,110,1065.128,451.775,,1386.218,,363.794,
L171,Apidae_Megachilidae,111,1068.169,612.013,,1786.036,,,
J188,Apidae_Megachilidae,112,1043.232,609.139,,1664.120,,446.494,
J137,Apidae_Megachilidae,113,1036.278,487.743,,1346.439,,,
L89,Apidae_Megachilidae,114,1081.118,534.015,,1564.046,,476.449,
H127,Apidae_Megachilidae,115,1092.046,560.008,,1440.200,,,
J106,Apidae_Megachilidae,116,1075.538,568.254,,1488.874,,,
J120,Apidae_Megachilidae,117,1045.057,561.749,,1443.078,,,
J232,Apidae_Megachilidae,118,1077.706,418.994,,1295.726,,,
J147,Apidae_Megachilidae,119,1044.844,407.149,,1138.213,,,
H163,Apidae_Megachilidae,120,1097.591,387.769,,990.129,,260.386,
H186,Apidae_Megachilidae,121,1076.899,526.186,,1387.052,,,
J124,Apidae_Megachilidae,122,1059.793,510.416,,1300.002,,,
J131,Apidae_Megachilidae,123,1057.090,488.262,,1234.006,,374.108,
J76,Apidae_Megachilidae,124,1057.045,487.333,,1275.127,,,
L91,Apidae_Megachilidae,125,1083.337,460.679,,1398.930,,,
J60,Apidae_Megachilidae,126,1078.818,451.997,,1191.255,,,
H223,Apidae_Megachilidae,127,1065.319,477.067,,1234.026,,,
H190,Apidae_Megachilidae,128,1063.952,455.456,,1253.379,,,
L66,Apidae_Megachilidae,129,1091.438,521.110,,1585.548,,,
J42,Apidae_Megachilidae,130,1097.923,507.319,,1453.39,,,
J32,Apidae_Megachilidae,131,1107.199,536.963,,1641.924,,,
J18,Apidae_Megachilidae,132,1076.027,488.009,,1515.190,,,
J73,Apidae_Megachilidae,133,1102.220,530.241,,1716.168,,708.410,
H27,Apidae_Megachilidae,134,1120.257,464.321,,1437.354,,,
L24,Apidae_Megachilidae,135,1104.555,485.057,,1614.337,,,
J7,Apidae_Megachilidae,136,1085.892,455.536,,1438.380,,,
L135,Apidae_Megachilidae,137,1125.78,546.202,,1240.046,,600.035,
H50,Apidae_Megachilidae,138,1090.888,530.362,,1118.789,,,
L90,Apidae_Megachilidae,139,1123.349,533.735,,1461.583,,,
J68,Apidae_Megachilidae,140,1099.589,510.837,,1303.734,,,
J143,Apidae_Megachilidae,141,1095.884,472.010,,1137.669,,,
H121,Apidae_Megachilidae,142,1140.028,483.501,,1263.228,,,
H99,Apidae_Megachilidae,143,1113.002,1016.197,,2669.292,,571.545,
J3,Apidae_Megachilidae,144,1098.089,606.267,,1598.209,,,
H18,Apidae_Megachilidae,145,1095.029,537.708,,1416.013,,458.473,
H19,Apidae_Megachilidae,146,1324.387,751.349,,1831.31,,,
J33,Apidae_Megachilidae,147,1060.002,628.160,,1401.755,,,
J12,Apidae_Megachilidae,148,1063.084,568.821,,1659.735,,,
J66,Apidae_Megachilidae,149,1048.002,565.796,,1780.320,,,
L80,Apidae_Megachilidae,150,1076.079,577.956,,1739.227,,,
L64,Apidae_Megachilidae,151,1046.048,530.028,,1677.386,,,
J63,Apidae_Megachilidae,152,1034.000,548.234,,1509.763,,,
L100,Apidae_Megachilidae,153,1030.002,558.000,,1694.235,,,
H28,Apidae_Megachilidae,154,1049.012,524.187,,1407.029,,,
H210,Apidae_Megachilidae,155,1034.070,453.018,,1131.322,,,
J10,Apidae_Megachilidae,156,1070.012,482.499,,1453.019,,,
H165,Apidae_Megachilidae,157,1039.039,376.000,,1000.018,,,
J140,Apidae_Megachilidae,158,1026.195,394.000,,1144.007,,540.858,
H40,Apidae_Megachilidae,159,1025.049,561.057,,1688.731,,,
J2,Apidae_Megachilidae,160,1032.008,586.437,,1721.051,,,
J5,Apidae_Megachilidae,161,1046.069,598.084,,1684.190,,,
J45,Apidae_Megachilidae,162,1024.633,582.169,,1608.179,,,
J27,Apidae_Megachilidae,163,1022.565,568.032,,1452.012,,1011.628,
H52,Apidae_Megachilidae,164,1048.081,589.031,,1458.012,,,
L25,Apidae_Megachilidae,165,1037.625,635.079,,1711.052,,,
H20,Apidae_Megachilidae,166,1031.436,556.723,,1590.877,,,
J36,Apidae_Megachilidae,167,1143.273,668.216,,1635.570,,,
H47,Apidae_Megachilidae,168,1016.042,547.001,,1482.983,,490.065,
J48,Apidae_Megachilidae,169,1014.675,567.254,,1532.645,,642.620,
J5,Apidae_Megachilidae,170,1013.652,527.024,,1653.787,,,
L8,Apidae_Megachilidae,171,1052.190,435.611,,1187.416,,,
H45,Apidae_Megachilidae,172,1044.069,396.081,,1281.351,,,
H24,Apidae_Megachilidae,173,1021.031,559.014,,1836.039,,,
J6,Apidae_Megachilidae,174,1030.031,531.008,,1885.156,,,
H112,Apidae_Megachilidae,175,1040.008,478.357,,1384.701,,,
J170,Apidae_Megachilidae,176,1051.023,446.377,,1263.573,,429.492,
L200,Apidae_Megachilidae,177,1019.000,358.353,,1052.616,,381.686,
H113,Apidae_Megachilidae,178,1012.032,449.444,,1254.517,,,
H97,Apidae_Megachilidae,179,1017.018,505.371,,1207.544,,,
H208,Apidae_Megachilidae,180,1020.000,419.724,,1274.057,,,
L211,Apidae_Megachilidae,181,1018.002,444.072,,1226.406,,,
L215,Apidae_Megachilidae,182,1024.002,373.034,,1174.593,,,
L213,Apidae_Megachilidae,183,1032.496,418.134,,1174.354,,,
J231,Apidae_Megachilidae,184,1028.235,343.421,,1215.093,,,
H195,Apidae_Megachilidae,185,1146.806,400.320,,1185.421,,573.474,
H166,Apidae_Megachilidae,186,1014.639,522.188,,1488.435,,,
J156,Apidae_Megachilidae,187,1018.442,569.098,,1504.634,,,
L199,Apidae_Megachilidae,188,1008.097,453.282,,1413.624,,,
H120,Apidae_Megachilidae,189,1023.096,557.818,,1620.469,,,
J158,Apidae_Megachilidae,190,1012.000,511.097,,1671.579,,,
L210,Apidae_Megachilidae,191,1036.109,530.289,,1610.193,,,
H119,Apidae_Megachilidae,192,1026.031,502.780,,1484.212,,,
H226,Apidae_Megachilidae,193,1032.024,492.199,,1505.042,,,
H252,Apidae_Megachilidae,194,1014.333,458.000,,1474.759,,,
H174,Apidae_Megachilidae,195,1018.636,532.635,,1458.605,,447.545,
H176,Apidae_Megachilidae,196,1032.380,465.394,,1215.487,,369.939,
J37,Apidae_Megachilidae,197,1014.217,466.039,,1156.016,,,
J28,Apidae_Megachilidae,198,1045.349,424.019,,1195.408,,,
H53,Apidae_Megachilidae,199,1015.060,485.906,,1127.114,,,
J50,Apidae_Megachilidae,200,1008.127,543.203,,1207.604,,,
J157,Apidae_Megachilidae,201,1030.000,560.985,,1147.216,,,
J175,Apidae_Megachilidae,202,1118.216,476.508,,1218.322,,,
H179,Apidae_Megachilidae,203,1011.791,436.093,,1163.025,,,
J154,Apidae_Megachilidae,204,1010.476,507.213,,1148.377,,,
L201,Apidae_Megachilidae,205,1021.018,378.529,,1037.622,,,
H178,Apidae_Megachilidae,206,1009.476,550.294,,1310.890,,360.141,
J172,Apidae_Megachilidae,207,1011.338,531.456,,1400.383,,,
J153,Apidae_Megachilidae,208,1018.196,540.578,,1495.087,,,
H256,Apidae_Megachilidae,209,1016.238,780.956,,2161.185,,,
L67,Apidae_Megachilidae,210,1012.071,443.464,,1264.122,,307.552,
J41,Apidae_Megachilidae,211,1027.236,436.840,,1120.533,,,
L40,Apidae_Megachilidae,212,1022.501,578.170,,1354.332,,,
L19,Apidae_Megachilidae,213,1022.175,449.010,,1258.297,,,
L39,Apidae_Megachilidae,214,1005.018,429.511,,1292.874,,,
J11,Apidae_Megachilidae,215,1016.008,455.089,,1308.169,,,
J200,Apidae_Megachilidae,216,1012.002,521.552,,1215.300,,,
J155,Apidae_Megachilidae,217,1036.069,501.323,,1239.730,,,
H175,Apidae_Megachilidae,218,1011.012,489.083,,1248.026,,408.101,
J159,Apidae_Megachilidae,219,1004.719,489.980,,1260.089,,,
H257,Apidae_Megachilidae,220,1007.557,501.259,,1442.077,,528.301,
L198,Apidae_Megachilidae,221,1023.174,446.900,,1082.007,,,
L196,Apidae_Megachilidae,222,1013.360,543.000,,1287.503,,,
L86,Apidae_Megachilidae,223,1003.391,524.382,,1320.218,,,
J174,Apidae_Megachilidae,224,1004.510,492.065,,1311.055,,485.346,
L6,Apidae_Megachilidae,225,1033.194,719.762,,1970.669,,,
H62,Apidae_Megachilidae,226,1010.572,507.718,,1227.004,,,
J139,Apidae_Megachilidae,227,1007.870,520.246,,1434.462,,,
H56,Apidae_Megachilidae,228,1009.842,529.046,,1396.006,,,
H253,Apidae_Megachilidae,229,1020.269,559.035,,1578.924,,587.851,
L148,Apidae_Megachilidae,230,999.354,470.384,,1408.460,,475.337,
L218,Apidae_Megachilidae,231,1014.639,639.015,,1717.137,,568.562,
J178,Apidae_Megachilidae,232,1019.012,613.007,,1404.570,,,
L2,Apidae_Megachilidae,233,1018.018,758.169,,1905.361,,,
J144,Apidae_Megachilidae,234,1011.004,515.926,,1622.853,,,
L41,Apidae_Megachilidae,235,1013.097,519.078,,1419.251,,,
J55,Apidae_Megachilidae,236,1017.133,454.070,,1513.312,,788.473,
H48,Apidae_Megachilidae,237,1030.235,505.665,,1644.701,,625.638,
H167,Apidae_Megachilidae,238,1001.040,483.674,,1471.389,,623.503,
H76,Apidae_Megachilidae,239,1020.237,600.333,,1365.646,,,
J243,Apidae_Megachilidae,240,1004.060,548.008,,1528.021,,,
L20,Apidae_Megachilidae,241,1012.040,237.103,,825.174,,,
H198,Apidae_Megachilidae,242,984.041,334.383,,1088.943,,312.524,
J192,Apidae_Megachilidae,243,1105.261,212.085,,700.643,,,
H160,Apidae_Megachilidae,244,965.117,822.002,,272.090,,330.492,
H43,Apidae_Megachilidae,245,962.005,236.932,,796.264,,,
L16,Apidae_Megachilidae,246,1016.868,173.220,,552.635,,,
H150,Apidae_Megachilidae,247,1372.210,198.567,,651.230,,,
L158,Apidae_Megachilidae,248,1512.360,233.932,,805.315,,,
H13,Apidae_Megachilidae,249,1025.176,195.256,,676.958,,,
L185,Apidae_Megachilidae,250,1421.517,171.572,,668.242,,,
H9,Apidae_Megachilidae,251,1042.094,303.816,,1092.597,,,
L104,Apidae_Megachilidae,252,1192.060,234.077,,801.209,,,
L69,Apidae_Megachilidae,253,1536.130,304.007,,1067.367,,,
L42,Apidae_Megachilidae,254,1476.110,234.034,,898.056,,,
H65,Andrenidae_Halictidae_Colletidae,1,1032.175,326.584,,1200.937,,,
L45,Andrenidae_Halictidae_Colletidae,2,1024.031,316.025,,1104.007,,,
L153,Andrenidae_Halictidae_Colletidae,3,1035.017,357.816,,1221.520,,,
L29,Andrenidae_Halictidae_Colletidae,4,1074.012,354.464,,1254.176,,,
J136,Andrenidae_Halictidae_Colletidae,5,1066.004,348.144,,1249.042,,,
H128,Andrenidae_Halictidae_Colletidae,6,1072.000,370.259,,1351.113,,,
L85,Andrenidae_Halictidae_Colletidae,7,1032.031,361.000,,1314.770,,,
L124,Andrenidae_Halictidae_Colletidae,8,1052.002,292.335,,1000.616,,,
H124,Andrenidae_Halictidae_Colletidae,9,1047.000,280.195,,950.295,,,
H4,Andrenidae_Halictidae_Colletidae,10,1038.123,246.376,,928.778,,,
J71,Andrenidae_Halictidae_Colletidae,11,1059.023,370.778,,1501.586,,,
L126,Andrenidae_Halictidae_Colletidae,12,1028.031,416.389,,1597.623,,,
L77,Andrenidae_Halictidae_Colletidae,13,1072.002,414.787,,1752.977,,306.059,
L48,Andrenidae_Halictidae_Colletidae,14,1032.095,345.138,,1431.855,,,
L175,Andrenidae_Halictidae_Colletidae,15,1033.002,427.177,,1579.721,,,
H126,Andrenidae_Halictidae_Colletidae,16,1049.000,420.868,,1618.893,,,
H58,Andrenidae_Halictidae_Colletidae,17,1015.000,424.570,,1494.952,,,
L143,Andrenidae_Halictidae_Colletidae,18,1038.002,418.001,,1426.392,,,
H3,Andrenidae_Halictidae_Colletidae,19,1052.137,190.168,,638.254,,,
J4,Andrenidae_Halictidae_Colletidae,20,1041.012,292.262,,1084.996,,,
H2,Andrenidae_Halictidae_Colletidae,21,1037.004,193.507,,668.270,,,
J13,Andrenidae_Halictidae_Colletidae,22,1060.003,209.038,,706.003,,,
H23,Andrenidae_Halictidae_Colletidae,23,1070.002,212.250,,736.088,,,
L83,Andrenidae_Halictidae_Colletidae,24,1036.017,194.010,,701.744,,,
L162,Andrenidae_Halictidae_Colletidae,25,1061.812,194.659,,774.506,,,
L129,Andrenidae_Halictidae_Colletidae,26,1032.082,238.883,,880.036,,,
L73,Andrenidae_Halictidae_Colletidae,27,1051.023,274.117,,885.183,,,
L54,Andrenidae_Halictidae_Colletidae,28,1073.000,242.837,,771.368,,,
H71,Andrenidae_Halictidae_Colletidae,29,1074.007,320.297,,1288.397,,,
J148,Andrenidae_Halictidae_Colletidae,30,1040.404,320.000,,1122.312,,,
L61,Andrenidae_Halictidae_Colletidae,31,1070.316,300.015,,1231.320,,,
L110,Andrenidae_Halictidae_Colletidae,32,1118.002,148.489,,554.564,,,
L70,Andrenidae_Halictidae_Colletidae,33,1068.120,191.771,,670.107,,,
H269,Andrenidae_Halictidae_Colletidae,34,1046.323,200.085,,714.809,,,
H168,Andrenidae_Halictidae_Colletidae,35,1296.964,346.092,,1344.345,,,
L65,Andrenidae_Halictidae_Colletidae,36,1259.663,279.613,,1030.116,,,
L14,Andrenidae_Halictidae_Colletidae,37,1302.301,358.274,,1272.157,,,
L93,Andrenidae_Halictidae_Colletidae,38,1302.743,375.300,,1314.876,,,
L9,Andrenidae_Halictidae_Colletidae,39,1316.097,350.013,,1282.064,,,
H5,Andrenidae_Halictidae_Colletidae,40,1527.268,447.272,,1534.948,,,
H10,Andrenidae_Halictidae_Colletidae,41,1204.664,330.388,,1299.055,,,
L174,Andrenidae_Halictidae_Colletidae,42,1197.310,314.579,,1167.675,,,
L3,Andrenidae_Halictidae_Colletidae,43,1180.449,313.129,,1218.676,,,
H192,Andrenidae_Halictidae_Colletidae,44,1214.081,345.284,,1200.060,,,
L63,Andrenidae_Halictidae_Colletidae,45,1178.205,426.793,,1576.081,,,
L28,Andrenidae_Halictidae_Colletidae,46,1188.284,446.285,,1568.000,,,
H217,Andrenidae_Halictidae_Colletidae,47,1186.487,399.656,,1226.132,,437.789,
H243,Andrenidae_Halictidae_Colletidae,48,1192.485,420.005,,1230.443,,,
H216,Andrenidae_Halictidae_Colletidae,49,1274.039,471.468,,1606.009,,,
L173,Andrenidae_Halictidae_Colletidae,50,1284.014,507.425,,1628.044,,,
L94,Andrenidae_Halictidae_Colletidae,51,1186.083,369.389,,1246.815,,,
J119,Andrenidae_Halictidae_Colletidae,52,1160.062,347.223,,1032.473,,,
H233,Andrenidae_Halictidae_Colletidae,53,1044.094,196.010,,756.003,,,
H221,Andrenidae_Halictidae_Colletidae,54,1068.000,278.000,,848.943,,,
L169,Andrenidae_Halictidae_Colletidae,55,1030.017,272.007,,996.098,,,
L68,Andrenidae_Halictidae_Colletidae,56,1057.000,266.030,,900.180,,,
H12,Andrenidae_Halictidae_Colletidae,57,1060.002,218.009,,744.132,,,
H188a,Andrenidae_Halictidae_Colletidae,58,1138.053,242.074,,896.056,,,
L74,Andrenidae_Halictidae_Colletidae,59,1074.419,210.152,,676.924,,,
L138,Andrenidae_Halictidae_Colletidae,60,1060.424,197.023,,770.880,,,
H66,Andrenidae_Halictidae_Colletidae,61,1027.329,178.474,,617.081,,,
L204,Andrenidae_Halictidae_Colletidae,62,1078.267,203.416,,738.024,,,
L197,Andrenidae_Halictidae_Colletidae,63,1060.483,205.000,,678.357,,,
H263,Andrenidae_Halictidae_Colletidae,64,1068.826,187.043,,767.053,,,
H133,Andrenidae_Halictidae_Colletidae,65,1152.028,166.018,,758.095,,,
H170,Andrenidae_Halictidae_Colletidae,66,1092.029,200.010,,740.011,,177.910,
J184,Andrenidae_Halictidae_Colletidae,67,1064.395,206.022,,684.462,,,
L33,Andrenidae_Halictidae_Colletidae,68,1092.359,190.095,,689.290,,,
H59,Andrenidae_Halictidae_Colletidae,69,1073.462,171.105,,611.572,,,
L140,Andrenidae_Halictidae_Colletidae,70,1052.068,164.003,,584.500,,,
J35,Andrenidae_Halictidae_Colletidae,71,1089.058,180.025,,609.021,,,
J134,Andrenidae_Halictidae_Colletidae,72,1060.017,153.003,,594.121,,,
H143,Andrenidae_Halictidae_Colletidae,73,1052.008,146.031,,579.280,,,
H107,Andrenidae_Halictidae_Colletidae,74,1054.000,154.055,,600.120,,,
H16,Andrenidae_Halictidae_Colletidae,75,1060.030,164.575,,NA,,,
H265,Andrenidae_Halictidae_Colletidae,76,1104.004,192.375,,632.674,,,
J242,Andrenidae_Halictidae_Colletidae,77,1076.002,141.796,,568.043,,,
H234,Andrenidae_Halictidae_Colletidae,78,1035.004,136.367,,465.988,,,
H134,Andrenidae_Halictidae_Colletidae,79,1083.066,138.232,,508.270,,,
H75,Andrenidae_Halictidae_Colletidae,80,1072.002,437.114,,437.114,,,
L188,Andrenidae_Halictidae_Colletidae,81,1062.004,133.660,,426.307,,,
H63,Andrenidae_Halictidae_Colletidae,82,1056.613,138.058,,483.994,,,
H279,Andrenidae_Halictidae_Colletidae,83,1046.008,118.343,,422.623,,,
H142,Andrenidae_Halictidae_Colletidae,84,1060.000,135.181,,441.200,,,
J126,Andrenidae_Halictidae_Colletidae,85,1122.007,263.321,,963.004,,123.968,
H267,Andrenidae_Halictidae_Colletidae,86,1044.002,266.182,,819.250,,,
H211,Andrenidae_Halictidae_Colletidae,87,1052.080,258.327,,813.138,,,
L32,Andrenidae_Halictidae_Colletidae,88,1054.057,264.017,,961.216,,,
L52,Andrenidae_Halictidae_Colletidae,89,1078.150,134.000,,444.288,,,
L30,Andrenidae_Halictidae_Colletidae,90,1038.008,131.015,,500.529,,,
H201,Andrenidae_Halictidae_Colletidae,91,1040.002,232.000,,884.000,,257.843,
H199,Andrenidae_Halictidae_Colletidae,92,1034.002,261.725,,867.696,,,
L13,Andrenidae_Halictidae_Colletidae,93,1034.435,242.528,,804.006,,,
J26,Andrenidae_Halictidae_Colletidae,94,1056.485,214.114,,681.692,,,
L51,Andrenidae_Halictidae_Colletidae,95,1041.024,195.023,,629.031,,,
H285,Andrenidae_Halictidae_Colletidae,96,1056.371,203.711,,685.974,,,
L170,Andrenidae_Halictidae_Colletidae,97,1001.131,186.067,,684.812,,,
L57,Andrenidae_Halictidae_Colletidae,98,1071.098,188.521,,511.726,,,
H111,Andrenidae_Halictidae_Colletidae,99,1068.000,130.000,,493.912,,,
L194,Andrenidae_Halictidae_Colletidae,100,1054.121,155.631,,587.042,,,
J17,Andrenidae_Halictidae_Colletidae,101,1066.068,152.895,,578.999,,,
J212,Andrenidae_Halictidae_Colletidae,102,1060.068,165.061,,577.124,,,
J118,Andrenidae_Halictidae_Colletidae,103,1066.068,159.389,,546.114,,,
H220,Andrenidae_Halictidae_Colletidae,104,1074.225,159.355,,683.687,,,
H239,Andrenidae_Halictidae_Colletidae,105,1055.229,154.003,,563.128,,,
H207,Andrenidae_Halictidae_Colletidae,106,1080.224,162.779,,588.129,,,
H110,Andrenidae_Halictidae_Colletidae,107,1042.276,174.929,,570.467,,,
H164,Andrenidae_Halictidae_Colletidae,108,1048.122,176.284,,716.434,,,
L72,Andrenidae_Halictidae_Colletidae,109,1062.188,238.210,,802.160,,,
L103,Andrenidae_Halictidae_Colletidae,110,1101.037,249.359,,850.263,,,
H78,Andrenidae_Halictidae_Colletidae,111,1122.087,179.627,,680.294,,,
J104,Andrenidae_Halictidae_Colletidae,112,1054.047,208.087,,735.840,,,
H104,Andrenidae_Halictidae_Colletidae,113,1130.113,256.000,,934.625,,,
L147,Andrenidae_Halictidae_Colletidae,114,1076.091,228.876,,734.134,,,
J141,Andrenidae_Halictidae_Colletidae,115,1113.582,182.661,,643.140,,,
J224,Andrenidae_Halictidae_Colletidae,116,1116.145,218.147,,701.541,,,
J222,Andrenidae_Halictidae_Colletidae,117,1054.685,219.002,,728.176,,,
