ID,Box,Number,Square_size_pixels,IT_pixels,IT_mm,Length_pixels,Length_mm,Tongue_pixels,Tongue_mm
H114,Apidae_Megachilidae,1,1107.260,506.668,,1182.33,,,
J52,Apidae_Megachilidae,2,1146.769,552.660,,1120.12,,,
L132,Apidae_Megachilidae,3,1089.698,513.061,,1053.479,,,
H218,Apidae_Megachilidae,4,1137.379,568.507,,1219.180,,,
J84,Apidae_Megachilidae,5,1104.261,624.065,,1558.953,,,
L79,Apidae_Megachilidae,6,1124.114,661.465,,1509.310,,,
H70,Apidae_Megachilidae,7,1120.216,646.894,,1485.148,,,
L141,Apidae_Megachilidae,8,1107.102,583.945,,1465.211,,,
J219,Apidae_Megachilidae,9,1101.588,520.247,,1302.677,,,
J122,Apidae_Megachilidae,10,1095.924,538.080,,1240.572,,,
H171,Apidae_Megachilidae,11,1200.007,436.165,,981.599,,464.560,
L98,Apidae_Megachilidae,12,1100.589,420.076,,916.035,,,
H282,Apidae_Megachilidae,13,1188.136,442.995,,991.095,,,
L190,Apidae_Megachilidae,14,1138.408,342.013,,772.312,,,
L131,Apidae_Megachilidae,15,1144.275,408.991,,939.939,,,
J193,Apidae_Megachilidae,16,1138.774,406.110,,989.204,,,
H254,Apidae_Megachilidae,17,1114.949,405.349,,1332.854,,395.781,
H177,Apidae_Megachilidae,18,1110.065,421.374,,1167.867,,,
H203,Apidae_Megachilidae,19,1104.587,406.241,,1217.790,,,
H125,Apidae_Megachilidae,20,1102.621,379.005,,960.208,,,
H240,Apidae_Megachilidae,21,1094.660,379.033,,1308.031,,314.097,
L128,Apidae_Megachilidae,22,1087.244,397.011,,1063.927,,,
H51,Apidae_Megachilidae,23,1100.764,430.057,,1170.438,,,
J164,Apidae_Megachilidae,24,1121.216,245.204,,681.235,,,
J145,Apidae_Megachilidae,25,1128.044,222.002,,682.750,,,
J189,Apidae_Megachilidae,26,1092.222,188.011,,632.620,,,
J113,Apidae_Megachilidae,27,1102.045,218.215,,649.569,,,
J116,Apidae_Megachilidae,28,1142.343,220.009,,764.848,,,
L191,Apidae_Megachilidae,29,1080.816,221.145,,669.108,,,
J88,Apidae_Megachilidae,30,1091.969,278.115,,970.002,,,
L130,Apidae_Megachilidae,31,1065.369,248.008,,841.049,,,
J117,Apidae_Megachilidae,32,1081.066,264.121,,870.588,,,
J194,Apidae_Megachilidae,33,1104.493,262.275,,900.802,,,
J146,Apidae_Megachilidae,34,1110.002,246.033,,921.227,,,
H222,Apidae_Megachilidae,35,1088.735,240.416,,905.106,,,
H191,Apidae_Megachilidae,36,1118.258,238.000,,932.105,,,
H185,Apidae_Megachilidae,37,1128.044,280.492,,1016.868,,,
H101,Apidae_Megachilidae,38,1095.066,241.531,,758.146,,,
J78,Apidae_Megachilidae,39,1100.000,203.199,,874.439,,,
L75,Apidae_Megachilidae,40,1114.007,236.076,,933.038,,,
L92,Apidae_Megachilidae,41,1126.004,250.072,,920.176,,,
J21,Apidae_Megachilidae,42,1120.009,225.568,,929.938,,,
J29,Apidae_Megachilidae,43,1165.067,232.019,,1161.248,,,
H38,Apidae_Megachilidae,44,1008.335,210.010,,872.330,,,
L134,Apidae_Megachilidae,45,1014.049,362.006,,1022.018,,489.794,
L17,Apidae_Megachilidae,46,998.200,304.946,,818.841,,,
H29,Apidae_Megachilidae,47,1024.411,277.953,,793.459,,,
J53,Apidae_Megachilidae,48,1018.002,264.186,,717.349,,,
L105,Apidae_Megachilidae,49,1031.303,414.001,,1047.039,,,
L146,Apidae_Megachilidae,50,1014.071,375.012,,914.219,,,
J39,Apidae_Megachilidae,50b,1055.190,412.167,,1009.400,,,
L15,Apidae_Megachilidae,51,1057.068,467.052,,1392.029,,,
H22,Apidae_Megachilidae,52,1045.122,486.773,,1413.653,,,
L143,Apidae_Megachilidae,53,1055.068,370.086,,1182.461,,,
J57,Apidae_Megachilidae,54,1080.067,360.022,,1095.497,,,
H42,Apidae_Megachilidae,55,1116.007,406.000,,1130.398,,,
L133,Apidae_Megachilidae,56,1310.673,396.913,,1043.000,,,
H57,Apidae_Megachilidae,57,1039.301,333.384,,852.601,,,
L36,Apidae_Megachilidae,58,1042.693,381.005,,1070.904,,,
