Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,22.11.2022,326,Convallaria majalis,no,no,no,,y,y,95,,
Halle,22.11.2022,326,Leucojum vernum,no,no,no,,no,no,,,
Halle,22.11.2022,326,Crocus speciosus,no,no,no,,no,no,,,
Halle,22.11.2022,326,Fragaria vesca,no,y,no,,no,y,50,,
Halle,22.11.2022,326,Leucojum aestivum,no,no,no,,no,no,,,
Halle,22.11.2022,326,Galanthus ikariae,no,no,no,,no,no,,,
Halle,22.11.2022,326,Colchicum autumnale,no,no,no,,no,no,,,
Halle,22.11.2022,326,Galanthus plicatus,no,no,no,,no,no,,,
Halle,05.12.2022,339,Leucojum aestivum,no,no,no,,no,no,,,
Halle,05.12.2022,339,Galanthus ikariae,no,no,no,,no,no,,,
Halle,05.12.2022,339,Colchicum autumnale,no,no,no,,no,no,,,
Halle,05.12.2022,339,Galanthus plicatus,no,no,no,,no,no,,,
Halle,05.12.2022,339,Podophyllum peltatum,no,no,no,,no,no,,,
Halle,05.12.2022,339,Lathyrus vernus,no,no,no,,no,no,,,
Halle,05.12.2022,339,Trollius europaeus,no,no,no,,no,no,,,
Halle,05.12.2022,339,Anemone hupenhensis,no,no,no,,y,y,95,,
Halle,05.12.2022,339,Carex sylvatica,no,no,no,,no,y,100,,
Halle,05.12.2022,339,Anemone nemorosa,no,no,no,,no,no,,,
Halle,05.12.2022,339,Corydalis solida,no,no,no,,no,no,,,
Halle,05.12.2022,339,Hepatica transsilvanica,no,no,no,,no,y,25,,
Halle,05.12.2022,339,Arum italicum,no,no,no,,no,no,,,
Halle,05.12.2022,339,Hepatica nobilis,no,no,no,,no,no,,,
Halle,05.12.2022,339,Asarum europaeum,no,no,no,,no,no,,,Building site
Halle,05.12.2022,339,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,05.12.2022,339,Convallaria majalis,no,no,no,,no,y,100,,
Halle,05.12.2022,339,Leucojum vernum,no,no,no,,no,no,,,
Halle,05.12.2022,339,Crocus speciosus,no,no,no,,no,no,,,
Halle,05.12.2022,339,Fragaria vesca,no,u,no,,no,u,,,Snow
Halle,21.12.2022,355,Podophyllum peltatum,no,no,no,,no,no,,,
Halle,21.12.2022,355,Lathyrus vernus,no,no,no,,no,no,,,
Halle,21.12.2022,355,Trollius europaeus,no,no,no,,no,no,,,
Halle,21.12.2022,355,Anemone hupenhensis,no,no,no,,y,y,100,,
Halle,21.12.2022,355,Carex sylvatica,no,no,no,,no,no,,,
Halle,21.12.2022,355,Anemone nemorosa,no,no,no,,no,no,,,
Halle,21.12.2022,355,Corydalis solida,no,no,no,,no,no,,,
Halle,21.12.2022,355,Hepatica transsilvanica,no,no,no,,no,y,25,covered natural,
Halle,21.12.2022,355,Arum italicum,no,no,no,,no,no,,,
Halle,21.12.2022,355,Hepatica nobilis,no,no,no,,no,no,,,
Halle,21.12.2022,355,Asarum europaeum,no,no,no,,no,no,,covered natural,
Halle,21.12.2022,355,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,21.12.2022,355,Convallaria majalis,no,no,no,,no,no,,,
Halle,21.12.2022,355,Leucojum vernum,no,no,no,,no,no,,,
Halle,21.12.2022,355,Crocus speciosus,no,no,no,,no,no,,,
Halle,21.12.2022,355,Fragaria vesca,no,no,no,,no,y,30,covered natural,
Halle,21.12.2022,355,Leucojum aestivum,no,no,no,,no,no,,,
Halle,21.12.2022,355,Galanthus ikariae,y,no,no,,no,no,,,
Halle,21.12.2022,355,Colchicum autumnale,no,no,no,,no,no,,,
Halle,21.12.2022,355,Galanthus plicatus,y,no,no,,no,no,,,
