Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Leipzig,18.01.2023,18,Bergenia purpurascens,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Roscoea auriculata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Primula denticulata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Globularia cordifolia,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Gentiana lutea,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Hypericum olympicum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anemone pulsatilla,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Phedimus stoloniferus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Clematis stans,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Galanthus nivalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Aegopodium podagraria,no,no,no,,no,no,,covered artificial,
Leipzig,18.01.2023,18,Leucojum vernum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Lathyrus vernus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Allium ursinum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anemone nemorosa,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anemone sylvestris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Geranium sanguineum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Asarum europaeum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Arum maculatum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Hibiscus palustris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Trillium sessile,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Asarum canadense,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Lysichiton americanus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Filipendula vulgaris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anemone hupehensis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Thalictrum minus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Silene pusilla,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Psephellus dealbata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Prunella grandiflora,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Leonurus cardiaca,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Silene vulgaris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Saponaria officinalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Salvia officinalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Crocus vernus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Lavandula angustifolia,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Paeonia officinalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Paeonia peregrina,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Eryngium campestre,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Scabiosa ochroleuca,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Bunias orientalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Helianthemum nummularium,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Salvia amplexicaule,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Tanacetum vulgare,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Tussilago farfara,no,no,no,,no,no,,covered artificial,
Leipzig,18.01.2023,18,Arnica  longifolia,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Campanula rotundifolia,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Menyanthes trifolata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Vinca minor,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Vincetoxicum hinrundinaria,no,no,no,,no,no,,covered artificial,
Leipzig,18.01.2023,18,Galium mollugo,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Plantago lanceolata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Scopolia carniolia,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Cuphea ignea,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Hydrocotyle vulgaris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Trapa natans,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Alchemilla vulgaris,no,no,no,,no,no,,covered artificial,
Leipzig,18.01.2023,18,Fragaria vesca,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Myriophyllum aquaticum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Saxifraga paniculata,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Dryas octopetala,no,no,no,,no,no,,,
Leipzig,18.01.2023,18,Cyclamen coum,no,no,y,75,no,no,,covered natural,
Leipzig,18.01.2023,18,Humulus  lupulus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Lupinus polyphyllus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Urtica dioca,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Iberis sempervirens,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Gaultheria shallon,no,no,no,,no,no,,,
Leipzig,18.01.2023,18,Cyclamen hederifolium,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Acorus calamus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Linum usitatissimum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Dianthus superbus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anthericum ramosum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Convallaria majalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Colchicum autumnale,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Veratrum nigrum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Aquilegia chrysantha,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Caltha palustris,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Eranthis hyemalis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Helleborus niger,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Helleborus viridis,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Anemone transsylvanica,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Podophyllum peltatum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Trollius europaeus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Adonis amurensis,no,no,y,100,no,no,,covered natural,
Leipzig,18.01.2023,18,Silene nutans,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Gentiana thibetica,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Penstemon grandiflorus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Dictamnus albus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Hemerocallis dumotieri,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Vaccinium myrtillus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Vaccinium oxycoccos,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Polygonatum verticillatum,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Geum rivale,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Genista tinctoria,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Iris pseudacorus,no,no,no,,no,no,,covered natural,
Leipzig,18.01.2023,18,Gunnera manicata,no,no,no,,no,no,,,
Leipzig,18.01.2023,18,Eupatorium cannabinum,no,no,no,,no,no,,covered natural,
Leipzig,25.01.2023,25,Bergenia purpurascens,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Roscoea auriculata,no,no,no,,no,no,,covered artificial,
Leipzig,25.01.2023,25,Primula denticulata,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Globularia cordifolia,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Gentiana lutea,no,no,no,,no,no,,covered artificial,
Leipzig,25.01.2023,25,Hypericum olympicum,no,no,no,,no,no,,covered artificial,
Leipzig,25.01.2023,25,Anemone pulsatilla,no,no,no,,no,no,,covered artificial,
Leipzig,25.01.2023,25,Phedimus stoloniferus,no,no,no,,no,no,,covered artificial,
Leipzig,25.01.2023,25,Clematis stans,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Galanthus nivalis,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Aegopodium podagraria,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Leucojum vernum,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Lathyrus vernus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Allium ursinum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Anemone nemorosa,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Anemone sylvestris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Geranium sanguineum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Asarum europaeum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Arum maculatum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Hibiscus palustris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Trillium sessile,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Asarum canadense,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Lysichiton americanus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Filipendula vulgaris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Anemone hupehensis,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Thalictrum minus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Silene pusilla,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Psephellus dealbata,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Prunella grandiflora,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Leonurus cardiaca,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Silene vulgaris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Saponaria officinalis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Salvia officinalis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Crocus vernus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Lavandula angustifolia,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Paeonia officinalis,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Paeonia peregrina,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Eryngium campestre,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Scabiosa ochroleuca,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Bunias orientalis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Helianthemum nummularium,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Salvia amplexicaule,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Tanacetum vulgare,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Tussilago farfara,no,no,y,5,no,no,,,
Leipzig,25.01.2023,25,Arnica  longifolia,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Campanula rotundifolia,no,no,no,,no,no,,removed,
Leipzig,25.01.2023,25,Menyanthes trifolata,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Vinca minor,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Vincetoxicum hinrundinaria,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Galium mollugo,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Plantago lanceolata,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Scopolia carniolia,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Hydrocotyle vulgaris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Trapa natans,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Alchemilla vulgaris,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Fragaria vesca,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Myriophyllum aquaticum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Saxifraga paniculata,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Dryas octopetala,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Cyclamen coum,no,no,y,90,no,no,,,
Leipzig,25.01.2023,25,Humulus  lupulus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Lupinus polyphyllus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Urtica dioca,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Iberis sempervirens,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Gaultheria shallon,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Cyclamen hederifolium,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Acorus calamus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Linum usitatissimum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Dianthus superbus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Anthericum ramosum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Convallaria majalis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Colchicum autumnale,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Veratrum nigrum,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Aquilegia chrysantha,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Caltha palustris,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Eranthis hyemalis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Helleborus niger,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Helleborus viridis,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Anemone transsylvanica,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Podophyllum peltatum,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Trollius europaeus,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Adonis amurensis,y,no,no,,no,no,,,
Leipzig,25.01.2023,25,Silene nutans,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Gentiana thibetica,no,no,no,,no,no,,,
Leipzig,25.01.2023,25,Penstemon grandiflorus,no,no,no,,no,no,,,
